vo_adv_1224001_002.m4a|はい、これ。キミのサンダルかな？
vo_adv_1224001_005.m4a|騎士くん！　あっちの波打ち際に打ち上げられてる！流されないうちに確保して──
vo_adv_1224001_010.m4a|ありがと、騎士くん！せーのっ！
vo_adv_1224001_012.m4a|よかったー、間に合った！だけど……ここは、危ないから木登りは禁止だよ。しばらくそこで風に揺れて、反省しててねー！
vo_adv_1224001_018.m4a|ふう……もう困ってる人はいない、かな？あたしもちょっと座ってひと休み、っと！
vo_adv_1224001_020.m4a|えっ？　あ、何か困りごとですか？　もしかして人手がいるのかな……それなら、騎士くんがもうちょっとしたら戻ってくるし……
vo_adv_1224001_024.m4a|えっ、あの……好き、って……？
vo_adv_1224001_028.m4a|どどど、どうしよう！？　恋バナって、何！？いやいや、何かっていうのはさすがに分かるんだけど、こういうのってあたし、どう答えたら……
vo_adv_1224001_030.m4a|さささ、されたって……！？……何を？
vo_adv_1224001_033.m4a|い、いいいいえあの、何も、ない……です……けどっ！
vo_adv_1224001_035.m4a|えっ！？騎士くん？困ってる人って！？
vo_adv_1224001_039.m4a|騎士くん、困ってる人ってどこ？もっと先の方！？　よーし、急……え？　この辺でいいの？　でも困ってる人はどこに……
vo_adv_1224001_040.m4a|……あたしが困ってたから、助けに来てくれたの？そういうことだったんだー！　えへへ、ありがとー！
vo_adv_1224001_041.m4a|それにしても、あたしたちずいぶん遠くまで来ちゃったみたい。ほら、ビーチがあんなに遠くに見えるよ。
vo_adv_1224001_042.m4a|うん！初めて来たけど、このあたりの浜辺もきれいだね！見て、貝殻だよ！　ヒトデもいる！
vo_adv_1224001_043.m4a|でも、これって……あの人たちが言ってた、二人っきりで海岸を歩くっていう……！？
vo_adv_1224001_044.m4a|そ、そそ、そういうわけじゃないよね！これはただのお散歩だし……！
vo_adv_1224001_045.m4a|…………！ねえ騎士くん。今、何か聞こえたよね。子供の声……
vo_adv_1224001_047.m4a|……今の！　聞こえたよね？行ってみよう！
vo_adv_1224001_049.m4a|あっ、騎士くん、あそこ！岩の上に男の子が取り残されちゃってる！
vo_adv_1224001_050.m4a|満ち潮で戻れなくなっちゃったのかな？泳ぎは得意だし、ここはあたしが行ってくるね！騎士くんはここで戻ってきた子をお願いできる？
vo_adv_1224001_051.m4a|今行くからねー！　動かないで待っててー！
vo_adv_1224001_052.m4a|うーん……あと、ちょっと……！さあ、こっちに手を……
vo_adv_1224001_054.m4a|せーのっ！
