vo_adv_1226001_000.m4a|南の島、楽しかったな……
vo_adv_1226001_001.m4a|わたし、言っちゃったよね。騎士クンに「大好き」って……あの暑くてまぶしい島だから、言えたのかな……
vo_adv_1226001_002.m4a|っ～……！！
vo_adv_1226001_003.m4a|でも……でも……後悔なんかしてない。だってあれは……わたしの……
vo_adv_1226001_004.m4a|本当の……！
vo_adv_1226001_005.m4a|ひゃあぁぁぁっ！き、騎士クン！？　いつからそこに！？
vo_adv_1226001_006.m4a|えっと、全然いてくれていいんだけど……！もうちょっと……気配！　出してくれるとうれしいな、なんて……！それで、今日はどうしたの？
vo_adv_1226001_007.m4a|騎士クンのバイトの、お手伝いを……？
vo_adv_1226001_008.m4a|そっか。もちろん、って言いたいけど……今日はヒヨリちゃんもレイちゃんも留守なの。わたし一人でも、お手伝いできるかな……？
vo_adv_1226001_009.m4a|本当？……『女の子と二人で来て』って、言われたの？
vo_adv_1226001_013.m4a|カップルのためのビーチフェス、ですか……？
vo_adv_1226001_018.m4a|体験モニター……？
vo_adv_1226001_020.m4a|つまり、カップルアクティビティを二人で試しにプレイする、そういうお仕事、ってことですか……？
vo_adv_1226001_022.m4a|な、なるほど……わたしと騎士クンで……カップル、向けの……
vo_adv_1226001_025.m4a|えっ！？
vo_adv_1226001_030.m4a|ああいえ！　……ですよね。カップル向けフェスの体験モニターだし……当然だと思います。
vo_adv_1226001_031.m4a|ええっと……ごめんなさい。わたしと騎士クンは恋人同士では、ない……です。
vo_adv_1226001_033.m4a|……はい。不採用、ですよね……？
vo_adv_1226001_035.m4a|採用！？いいんですか？　恋人同士じゃなくて。
vo_adv_1226001_040.m4a|なるほど……
vo_adv_1226001_044.m4a|は、はぁ……
vo_adv_1226001_046.m4a|だ、大丈夫かな、この会社さん……
vo_adv_1226001_047.m4a|それに、そもそも……
vo_adv_1226001_048.m4a|できるのかな……わたしに演技なんて。確かに、わたしと騎士クンは付き合ってないけど……でも、わたしは騎士クンのこと……
vo_adv_1226001_049.m4a|た、淡々と、恋人同士の演技なんて……
vo_adv_1226001_051.m4a|え、ええっと……
vo_adv_1226001_052.m4a|騎士クン……
vo_adv_1226001_053.m4a|そっか……そうだよね……
vo_adv_1226001_054.m4a|元はといえば、騎士クンが頼まれたバイトだもん。どんなお仕事だとしても全力でがんばるのが騎士クンだし、それが、騎士クンの信用にもつながるなら……
vo_adv_1226001_055.m4a|わたしだって、こ、恋人同士の、演技くらい……！
vo_adv_1226001_056.m4a|──わたしもやります。やらせてください！
vo_adv_1226001_058.m4a|これって……？大きな……風船？
vo_adv_1226001_061.m4a|お、押し……？触れ……！？か、かかか、絡まり！？！？
vo_adv_1226001_062.m4a|いきなりそんなに密着するの！？
vo_adv_1226001_064.m4a|きゃ、きゃあぁぁぁーー！
vo_adv_1226001_065.m4a|は、入っちゃった……！あうぅぅ……見た目よりずっと狭いよぉ。
vo_adv_1226001_066.m4a|し、しかもこれって……バルーンを密閉するってことだよね……？
vo_adv_1226001_067.m4a|つまり、騎士クンが吐いた息をわたしが……わたしが吐いた息を、騎士クンが！？
vo_adv_1226001_068.m4a|──はっ！　だめだめ！　冷静に、冷静に……！これはお仕事なんだから、騎士クンの信用をなくすわけにはいかないの！
vo_adv_1226001_069.m4a|密閉空間なのは忘れちゃおう。透明だし外は見えてるし、密閉されてるはずないよね！……よし！
vo_adv_1226001_071.m4a|あ、あの～！！
vo_adv_1226001_073.m4a|特注……二重……あ、だめ──
vo_adv_1226001_074.m4a|ぷしゅうぅ～……！
vo_adv_1226001_076.m4a|やだ……外が見えない！こんなの、こんな密室で二人きりなんて聞いてないよぉ～！
vo_adv_1226001_077.m4a|いやぁぁぁぁぁぁぁ～～！
vo_adv_1226001_079.m4a|騎士クン、騎士クン！　大丈夫？ああっ、騎士クンの目が回ってる……！？
vo_adv_1226001_080.m4a|ごめんなさい～！　わたしが暴走しちゃったせいで……騎士クンが後ろでグルングルンになってるのに、気付けなくて……！
vo_adv_1226001_081.m4a|うぅぅ……やっぱり騎士クンとカップルを演じるなんて、わたしには無理だったんだ……
vo_adv_1226001_083.m4a|あ、あの、わたし、このバイトやっぱり──
vo_adv_1226001_085.m4a|え……？
vo_adv_1226001_089.m4a|え、ええっ？
vo_adv_1226001_090.m4a|わたしのおかげ？　そんな……わたしはただ、焦ってジタバタしただけで……
vo_adv_1226001_091.m4a|でも、どうしよう……うれしい……！たとえ結果オーライでも、騎士クンの力になれたなんて……
vo_adv_1226001_093.m4a|こんなわたしでも、できることがあるのなら……
vo_adv_1226001_094.m4a|……はい！
vo_adv_1226002_000.m4a|「ユイのおかげ」……
vo_adv_1226002_001.m4a|騎士クンの言葉、うれしかったな……
vo_adv_1226002_002.m4a|ニヤけそうになるのをこらえて、わたしにできることならもう少しがんばってみよう！
vo_adv_1226002_003.m4a|……そう、思ったんだけど……
vo_adv_1226002_004.m4a|これは、さすがに……！
vo_adv_1226002_006.m4a|これは焼きそば……ですか？
vo_adv_1226002_009.m4a|ふ、二人で、両端から……！？ななな、何てことを考えるの……！？
vo_adv_1226002_010.m4a|だ、だってこれ、最後まで食べると必然的にキ、キキ、キキキ……！？　そもそも！こんな近距離で騎士クンと向き合うって……
vo_adv_1226002_011.m4a|ムリ！　ムリムリムリ！　絶対にムリだよぉ！
vo_adv_1226002_013.m4a|……はっ！
vo_adv_1226002_014.m4a|やっ……ええと……あの……ううう……
vo_adv_1226002_015.m4a|騎士クン……
vo_adv_1226002_016.m4a|はぁ……
vo_adv_1226002_017.m4a|このままじゃさっきの二の舞い……きっとまた、騎士クンにも迷惑かけちゃう。
vo_adv_1226002_018.m4a|申し訳ないけど、やっぱりこのバイトは辞退しよう……今すぐ探せば、代わりの人が見つかるかもしれないし。
vo_adv_1226002_019.m4a|……うん。そうと決まれば、かける迷惑は最小限に。社長さんたちに早く伝えなきゃ……！
vo_adv_1226002_020.m4a|社長さんたち、確かこっちの方に……
vo_adv_1226002_027.m4a|え……
vo_adv_1226002_032.m4a|……そうだったんだ……このイベントは二人の、15年来の……
vo_adv_1226002_034.m4a|……？
vo_adv_1226002_041.m4a|………………
vo_adv_1226002_042.m4a|恥ずかしいとか……照れるとか……そんなの……
vo_adv_1226002_043.m4a|二人の重ねてきた、苦労と夢の重みに比べたら……
vo_adv_1226002_044.m4a|……わたしが……やらなきゃ。ううん……やってあげたい。
vo_adv_1226002_045.m4a|──！
vo_adv_1226002_046.m4a|うん、もう平気だよ。心配かけてごめんね。
vo_adv_1226002_048.m4a|はいっ！
vo_adv_1226002_049.m4a|はむはむ……はむはむ……
vo_adv_1226002_052.m4a|盛り上がったカップルの……えっと……こんな感じ、かな？
vo_adv_1226002_053.m4a|えい。ツンツン。
vo_adv_1226002_055.m4a|きゃっ！　やだ騎士クンたら……このー！　ツンツンツンツーン！お腹もほっぺも、ツンツン！
vo_adv_1226002_057.m4a|……はい！
vo_adv_1226002_058.m4a|あ、騎士クン、そっちのほっぺにソースが。んーってして？　んー……
vo_adv_1226002_061.m4a|……普、段……ですか？
vo_adv_1226002_062.m4a|……ふふっ、秘密ですよ～
vo_adv_1226002_064.m4a|さぁ騎士クン、どんどん食べよう！
vo_adv_1226002_065.m4a|……え？
vo_adv_1226002_066.m4a|そ、そうかな。逆光だからじゃないかな？大丈夫、元気だよ。
vo_adv_1226002_068.m4a|……はい！
vo_adv_1226002_069.m4a|はむはむ……はむはむ……
vo_adv_1226002_070.m4a|あっ……
vo_adv_1226002_071.m4a|こ、この距離だとおでこ、くっついちゃうね。……わたしは大丈夫だよ。このまま最後まで食べちゃおう？
vo_adv_1226002_072.m4a|はむっ……
vo_adv_1226002_073.m4a|うん？はむはむ……はむはむ……
vo_adv_1226003_001.m4a|はい、あ～ん。……あれ、届かない？騎士クン、もうちょっとくっつくね。……んしょっと。
vo_adv_1226003_003.m4a|え、窮屈？　ひど～い。だったらこうだ！　え～い幅寄せ幅寄せ！
vo_adv_1226003_005.m4a|騎士クン走って～！え、首がしまる？　やだごめん……！
vo_adv_1226003_009.m4a|ふふ、お役に立てたのなら、うれしいです。
vo_adv_1226003_011.m4a|え……
vo_adv_1226003_013.m4a|…………
vo_adv_1226003_014.m4a|……もちろんです。お力になれるのなら、ぜひ。
vo_adv_1226003_017.m4a|……？　あ、はい。
vo_adv_1226003_019.m4a|…絶、景？
vo_adv_1226003_020.m4a|こんなところに、桟橋が？
vo_adv_1226003_022.m4a|は、はい……！
vo_adv_1226003_024.m4a|………………！！！！
vo_adv_1226003_025.m4a|星に……囲まれてる！？
vo_adv_1226003_027.m4a|上も下も、全部、星……自分がどこにいるのかわからなくなる……きれい……！
vo_adv_1226003_029.m4a|お二人の……？
vo_adv_1226003_030.m4a|──あ、そういえばわたし、聞いちゃったんです。このフェスがお二人の長年の夢だったって、お話されてるのを……
vo_adv_1226003_031.m4a|ご、ごめんなさい！勝手に聞くつもりじゃなかったんですけど──
vo_adv_1226003_033.m4a|いえ、そんなこと……！
vo_adv_1226003_034.m4a|恋人たちのためにイベントをって。そういうふうに考えられるお二人はきっと、素敵な恋をされたんだろうなって……
vo_adv_1226003_035.m4a|うらやましく思いました。
vo_adv_1226003_038.m4a|え……？
vo_adv_1226003_041.m4a|そんな……
vo_adv_1226003_045.m4a|嘘……
vo_adv_1226003_047.m4a|………………！
vo_adv_1226003_050.m4a|え……？
vo_adv_1226003_052.m4a|む、無理なんてそんなこと……
vo_adv_1226003_053.m4a|騎士、クン……
vo_adv_1226003_056.m4a|えっ……？
vo_adv_1226003_058.m4a|あの……
vo_adv_1226003_060.m4a|…………
vo_adv_1226003_061.m4a|え？　う、うん……平……気……
vo_adv_1226003_062.m4a|あ、あれ？ど、どうしたんだろ、わたし……涙が……止まんな……
vo_adv_1226003_063.m4a|……ご、ごめん、なんでもないの……そ、そう、ちょっと目にゴミが……
vo_adv_1226003_064.m4a|違う。違うよ……わたし、安心したんだ。もう嘘をつかなくていいんだ、って……
vo_adv_1226003_065.m4a|なのにまた嘘つこうとしてる……ちょっとしたごまかしだけど、でも……勇気を出さなきゃ……
vo_adv_1226003_066.m4a|あのね、騎士クン。
vo_adv_1226003_067.m4a|このカップルフェスが始まったら、一緒に来ない？今度は、その……お客さんとして。
vo_adv_1226003_068.m4a|ううん。お客さんとしてなら、無理しなくて済むと思う。きっと今日よりもっともっと楽しめちゃう。
vo_adv_1226003_069.m4a|それが、わたしの素直な気持ち……一緒に来てくれる？
vo_adv_1226003_070.m4a|ほんと？ふふっ、勇気を出してよかった。
vo_adv_1226003_071.m4a|……じゃあ、約束。
vo_adv_1226003_072.m4a|うん、騎士クンはきっと守ってくれるよね。でも違うの。約束は、自分に対して。
vo_adv_1226003_073.m4a|次は、もっと素直に、もっと勇気を出して……
vo_adv_1226003_074.m4a|なんでもない。気にしないで。ちゃんと、わたしはわたしの約束を守るから。
vo_adv_1226004_000.m4a|ウォーターバルーンに、愛の一筋焼きそば、二人羽織りかき氷に、カップル騎馬戦……か。
vo_adv_1226004_001.m4a|初めはなんてアクティビティを思いつくんだろうって、驚いちゃったけど……
vo_adv_1226004_002.m4a|でもね。だからこそお客さんは喜んでくれるはずだって、今はそう思うんだ。
vo_adv_1226004_003.m4a|恋に臆病な人って、いるでしょ……？なにかきっかけがないとつい自分の気持ち、後回しにしちゃう人って、いるんじゃないかなって……
vo_adv_1226004_004.m4a|だから、恋をしろー！　楽しめー！　って、大声で言ってくれるこのフェスは、きっと、恋と向き合ういいきっかけになると思う。
vo_adv_1226004_005.m4a|どのアクティビティも、すっごくドキドキしたもん。実際に体験したわたしが言うんだから、間違いないよ。
vo_adv_1226004_006.m4a|ん？　あれ、急に明るくなった？これもなにかの準備──あ！　あああ、あれ？ま、まぶしくて、何も見えないよー！
vo_adv_1226004_053.m4a|あれ、わたし、寝ちゃってた……？
vo_adv_1226004_054.m4a|騎士クン、熟睡してる……一日働きづめで、疲れちゃったよね。ふふ、日焼けしちゃってる……
vo_adv_1226004_055.m4a|…………
vo_adv_1226004_056.m4a|恋なんてしない方が人生は楽、か……確かにそうかもしれないね……
vo_adv_1226004_057.m4a|でも……
vo_adv_1226004_058.m4a|楽じゃなくてもいい。大変でも、自分が自分でいられなくて、苦しくても。
vo_adv_1226004_059.m4a|それでもわたしは一緒にいたいよ……騎士クン。
vo_adv_2102009_004.m4a|起こしちゃってゴメンね騎士クン、眠いよねっ！シェフィちゃんは、そのまま寝かせてきたけど……
vo_adv_2102009_012.m4a|だと、いいんだけど……
vo_adv_2102009_019.m4a|ああっ！人が、結晶の中に閉じ込められちゃってるっ！
vo_adv_2102009_031.m4a|あなたの、願い……
vo_adv_2102009_040.m4a|……？わ、わたしには、何も聞こえないけど……
vo_adv_2102009_045.m4a|すっごく、綺麗な声……
vo_adv_2102009_047.m4a|骨のワイバーンっ！？ランファさんを、守るみたいに……！
vo_adv_2102009_064.m4a|た、たしかに……シャドウたちの声がずっと聞こえてたら、おかしくなっちゃいそうだけど……
vo_adv_2102009_078.m4a|あ、あれっ？騎士クン、目を閉じちゃった……！？
vo_adv_2102009_088.m4a|うん！またお腹すいちゃうけど……仕方ないよねっ……！
vo_adv_2102009_094.m4a|うんっ！ディバイン──……！
vo_adv_2102009_095.m4a|……あ、あれっ！？
vo_adv_2102010_002.m4a|ごめんなさいっ！もう、持たないっ……！
vo_adv_2102010_004.m4a|っあれ？……？なんだかイイ香りがする……森の中みたいな……
vo_adv_2102010_011.m4a|だ、だめっ……わたしの魔法じゃ、結晶化が止まらないよぉ……！
vo_adv_2102010_041.m4a|ペコリーヌちゃん、騎士クンのあの表情……！
vo_adv_2102011_002.m4a|あぶないっ！３匹同時に来てる！
vo_adv_2102011_024.m4a|……あれ？騎士クンはっ？
vo_adv_2102011_051.m4a|無理もないよね。最近は騎士クン、この時間にはもう、とっくに夢の中だったもん……
vo_adv_2102011_052.m4a|……って、あれっ？あの、ランファさんってひと……どこいっちゃったのっ？
vo_adv_2102011_061.m4a|レイちゃん、どうしたの？
vo_adv_2102011_065.m4a|うん。シェフィちゃんは、今ごろベッドでおやすみしてるはずだもん。
vo_adv_2102011_077.m4a|ええっ！？コッコロちゃん、大丈夫っ！？
vo_adv_2102099_005.m4a|うぅっ……ホントはこんな時間に、食べちゃったらダメなのに……あぁっ、止まらないよぉ～っ！
vo_adv_2102099_021.m4a|うぅっ……ほとんど戦ってないのに、しっかりお腹は減っちゃうなんてぇ……
vo_adv_2102099_058.m4a|わぁっ、かわいい……！って、そうじゃなくて！
vo_adv_2104098_014.m4a|──あっ、『ソルオーブ』！出てきたぁ……！
vo_adv_2104098_017.m4a|う、うん。……まだ、半分かぁ……
vo_adv_2104098_018.m4a|…………
vo_adv_2104098_021.m4a|う、うん……こうしているあいだにも、【レイジ・レギオン】の人たちが、また騎士クンを襲ってくるかもしれないし……
vo_adv_2104098_023.m4a|そ、そうだよね……
vo_adv_2104098_025.m4a|う、うん。そうだね。ソルの塔の一番上に登って、確かめるためにも……
vo_adv_2104098_036.m4a|…………？えーっと……
vo_adv_2104098_040.m4a|ね、ねぇ……二人とも、どうしたの？なんだか最近、様子がおかしいような……
vo_adv_2104098_043.m4a|う、うん……
vo_adv_2104098_045.m4a|でも……あと６個かぁ。時間がかかりそうだね。
vo_adv_2104098_055.m4a|ええっ！？ア、アイドルっ！？
