vo_adv_1225001_000.m4a|青い空、白い雲……風は穏やかで、天気は晴朗なれども。さて、どうしたものかな……
vo_adv_1225001_001.m4a|ん？　やあ、キミか。海を眺めてたんだ。
vo_adv_1225001_002.m4a|よかったら隣に来る？ちょうど椅子も空いているし。
vo_adv_1225001_003.m4a|どう？　常夏のバカンスの感想は。私は……まだ実感が湧かないかな。
vo_adv_1225001_004.m4a|どこか夢心地というか、現実味がないというか、今、こうしてリゾートにいるのにね。
vo_adv_1225001_005.m4a|ねえ、バカンスって何をすればいいんだろう。
vo_adv_1225001_006.m4a|一人で考えてみても、出てくるのは修行とか釣りとか、いつもやっている事ばかりで。
vo_adv_1225001_007.m4a|せっかく南の島のリゾートに来ているんだし、夏のバカンスらしく過ごしてみたい、とは思うんだ。
vo_adv_1225001_008.m4a|前に、形だけの旅行は経験したことがあるけれど……あれは家族に付き合わされた堅苦しいものだったから。
vo_adv_1225001_009.m4a|これは……リゾートのガイドブック？へぇ、施設の案内や観光スポットがまとめてあるんだ。
vo_adv_1225001_010.m4a|エリア別の案内に、各種イベントの情報……バカンスの一日プランまで記事になってるのか。かなり充実した内容だね。
vo_adv_1225001_011.m4a|……ねえ、キミって今日の予定は空いてる？
vo_adv_1225001_012.m4a|もしよかったら、なんだけど。このガイドブックを参考に、一緒に島を巡ってみない？
vo_adv_1225001_013.m4a|南の島やリゾートの過ごし方について私はあまり詳しくないし……それなら、この本に頼ってみるのも面白そうかなって。
vo_adv_1225001_014.m4a|決まりだね。それじゃ最初の行き先はどこにしようか。
vo_adv_1225001_015.m4a|地図だとこの辺りだけど……あっ、あれかな？あの鐘が観光スポットらしいよ。意外と近くだったね。
vo_adv_1225001_016.m4a|えっと、ガイドブックによると……想いを込めて鳴らすと幸せが訪れるって書いてある。大きく鐘を響かせるほど効果あり、だって。
vo_adv_1225001_017.m4a|もう順番待ちの列ができてるし、私たちも並ぼうか。
vo_adv_1225001_018.m4a|みんな、思ったより力強く鳴らすんだね。それにしても……
vo_adv_1225001_019.m4a|……このスポットに並んでいるのが、カップルばかりに見えるのは、気のせいだろうか？
vo_adv_1225001_020.m4a|いや……私の思い込みだな。男女の二人組が目につくから、意識してしまっているだけだ。私と彼みたいに、友人同士で来ている人もいるだろうし。
vo_adv_1225001_021.m4a|ただ……いくら観光スポットとはいえ、あちこちハートの形で装飾されているのは少しこそばゆい気持ちになってくるというか……
vo_adv_1225001_022.m4a|順番……あ、ああ、そうか。もう私たちの番が回ってきたんだ。
vo_adv_1225001_023.m4a|この紐を持って、一緒に鐘を鳴らせばいいんだね。後ろの人を待たせても悪いし、早く鳴らしてしまおう。
vo_adv_1225001_024.m4a|っ……これは、遠くで聞くのとじゃ大違いだ。
vo_adv_1225001_025.m4a|まだ音が耳の奥で響いてる気がする…………ふぅ、やっとおさまったよ。
vo_adv_1225001_026.m4a|えっと、これでいいんだよね。でも私たちに訪れる幸せか。一体どんな形だろう。
vo_adv_1225001_027.m4a|ところで、キミは……何をしているの？
vo_adv_1225001_028.m4a|……さすがに置いてないと思うよ。ここは神殿じゃないからね。
vo_adv_1225001_029.m4a|似た物なら、コインを投げ入れる泉っていうのが向こうにあるみたいだけど。あまり遠くなさそうだし、あとで見に行ってみようか。
vo_adv_1225001_030.m4a|それは神殿へお参りする時の作法じゃないかな。確かに、鐘の代わりに鈴を鳴らしはするけれど。
vo_adv_1225001_031.m4a|さて、とりあえず一か所目だ。次はどこに行こうか。キミは行きたい場所とかあるの？
vo_adv_1225001_032.m4a|ふふっ、言葉より雄弁に教えてくれたね。何か食べに行こうか。
vo_adv_1225001_033.m4a|ガイドブックによると……ここのお店は二人以上で頼める限定パフェが大人気なんだって。注文はしてみたけど……来たみたいだね。
vo_adv_1225001_035.m4a|これは……すごい迫力だな……二人以上じゃないと注文できないのも納得だ。
vo_adv_1225001_036.m4a|それじゃアイスが溶けてしまう前に早く食べようか。でも、このスプーン……やけに長いようだけど。
vo_adv_1225001_038.m4a|えっと……？そうやって使う、というのは……
vo_adv_1225001_039.m4a|ああ、なるほど。テーブルを挟んだ相手に食べさせるためにこんなに長く作ってあるわけだね。
vo_adv_1225001_040.m4a|……まさか、本当にやるの？
vo_adv_1225001_044.m4a|本当にやるのか……
vo_adv_1225001_045.m4a|う、圧が強い……で、でも、こういうのはもっとお互いを深く知ってからするものじゃないかな。その、私たちにはまだ早いというか……
