vo_adv_2107002_055.m4a|お姫さまには、指一本触れさせないッスよ！……くぅっ、決まった……！
vo_adv_2107002_061.m4a|ジュンさんは、同じ鎧をいくつも持ってるッスからね！
vo_adv_2107002_070.m4a|ジュンさんの言うことは聞いたほうがいいッス！きっと雨以外にも、いろいろ降ってくるッスよ！
vo_adv_2107002_080.m4a|ひどいッス！なんてやつッスか！
vo_adv_2107003_041.m4a|ふぃぃ～っ！これで本命に逃げられたら、ジュンさんから大目玉だったッス～！
vo_adv_2107003_044.m4a|その人たちなら、向こうでみーんなオネンネしてるッス！
vo_adv_2107003_052.m4a|大人しくおナワにつくッス！袋のネズミってヤツッスよ、ゴウシンぎちょ──
vo_adv_2107003_054.m4a|あいたぁーっ！？
vo_adv_2107003_058.m4a|くぅぅッ……！ト、トモね～ちゃん！このオッサン、かなり強いッス……！
vo_adv_2107003_064.m4a|クリスティーナおばさんのシゴキのほうが、よっぽど痛くてキツかったッス！！
vo_adv_2107003_069.m4a|一撃必殺！タイガーヒーローボンバーッ！！
vo_adv_2107003_074.m4a|悪は……絶対に許さない。それが、自分たち【王宮騎士団（NIGHTMARE）】ッス！
vo_adv_2107003_075.m4a|……ま、またまた決まってしまったッス～！！
vo_adv_2107003_078.m4a|足止めしてくれたんスよね？どうもありがとうッス！
vo_adv_2107003_083.m4a|あっ、ジュンさんッス！お疲れさまっス～！
vo_adv_2107003_085.m4a|見てくださいッス！ヨウギ者は、自分とトモね～ちゃんでちゃーんとカクホしたッスよ！
vo_adv_2107003_087.m4a|へへへ～ッ、どうってコトないッス！
vo_adv_2107003_100.m4a|えええっ！？倒したはずのキンピカ兵士さんが、ピンクの女の子になったッス！？
vo_adv_2107003_104.m4a|思いっきり叩いちゃったッス！ごめんなさいッス～！
vo_adv_2107003_106.m4a|おーっ、なんかアタマいいっぽいッス！カッコいいッスね！
vo_adv_2107003_123.m4a|改造みたいなもんッスか？これまたカッコいいッスね～！
vo_adv_2107003_133.m4a|じゃあ、自分たちはふんじばった兵隊や貴族どもを連行するッス！
vo_adv_2107003_136.m4a|了解ッス！やさしく牢屋にブチ込むッス～！
vo_adv_2107003_159.m4a|なんかカンドーしたッス～！自分は陛下についていくッスよ！ははーっ！
vo_adv_2107003_161.m4a|へっへーん♪早いもん勝ちッスよオバサン！
vo_adv_2107003_179.m4a|なんか楽しそうッス！自分は大賛成ッスよ～！
vo_adv_2109003_067.m4a|フザけないでほしいッス！それってあんたたちの仲間の仕業ッスよね！？
vo_adv_2109003_072.m4a|だからってそんなこと、引き下がる理由にはならないッス！
vo_adv_2109003_078.m4a|うわわっ！？なんかゾロゾロ来たッスよ！
vo_adv_2109005_033.m4a|ホマレさんたちが手伝ってくれるなら、鬼にカナボーってやつッス！一緒に正義を守るッスよ～！！
vo_adv_2109008_014.m4a|ま、待ってほしいッスよ！戦いは終わったんじゃないんッスかっ！？
vo_adv_2109008_084.m4a|一件落着ッス！平和の次にイイ言葉ッスね、一件落着！
vo_adv_2109009_078.m4a|ジュンさんっ！？
vo_adv_2109011_012.m4a|ひゃああああっ！！
vo_adv_2109012_062.m4a|目を覚ますッス！らしくないッスよ、クリスティーナさん！！
vo_adv_2109012_079.m4a|ど、どうしてッスか！？わけがわかんないッスよ～っ！！
vo_adv_5084003_150.m4a|そうッスよ、同じギルドの仲間なんスから……
vo_adv_5084003_154.m4a|でも、でもッス～……
vo_adv_5084003_158.m4a|あっ！　自分も行きたいッス～！あのひとにはいろいろお世話になってるッスから！正義の味方は、こういう時に力になるものッス！
vo_adv_5084606_000.m4a|どうしたらいいッスか……寝てる理由も、起きない理由も分からないなんて、手の打ちようがないッス……
vo_adv_5084606_001.m4a|でも、どんな逆境も諦めないのがヒーローッスよね……自分が挫けそうになった時、いつもあのひとは支えてくれたッス……！
vo_adv_5094001_037.m4a|おつかれさまッス！ここで何してるッスか？
vo_adv_5094001_039.m4a|いや、そうじゃなくてッスね……
vo_adv_5094001_043.m4a|答えになっているような、なっていないような……【王宮騎士団（NIGHTMARE）】の鑑ではあるッスけど……
vo_adv_5094001_050.m4a|そして、承認のサインをするッス！
vo_adv_5094001_053.m4a|バッチリッスー！
vo_adv_5094001_057.m4a|熱心なところは本当に尊敬してるッスけど、しっかり休んでほしいッス！いざって時になんかあったら取り返しがつかないッス！
vo_adv_5094001_064.m4a|あとのことは自分たちに任せるッス！だからジュンさんは、思いっきり羽を伸ばしてくださいッス！
vo_adv_5094001_066.m4a|なんッスか？　自分らに分かることだったら、なんでも答えるッスよ！ね、トモね～ちゃん？
vo_adv_5094001_070.m4a|ジュンさんがトモね～ちゃんみたいに冗談言うなんて珍しいッスね……？あっ！　休暇モードに早速入ったってことッスか！　その調子ッスよ～！
vo_adv_5094001_075.m4a|そうそう！　なんか最近キャンプが流行ってるらしいッスよ！団員の間で話題になってるッス！
vo_adv_5094001_076.m4a|山奥で自然な空気でも吸って、リラックスするといいッスよ！【王宮騎士団（NIGHTMARE）】の野営道具を使うといいッス～！
vo_adv_5094002_049.m4a|まさか事件ッスか！？
vo_adv_5094002_051.m4a|でも、本当に失踪なんッスか？仕事疲れを癒すために、どっかに行ったとかじゃないッスか？
vo_adv_5094002_054.m4a|しかも、休みの日にも無断で出勤してたッスからね……自分たち部下も予定休ですら、休みづらかったッスよ～
vo_adv_5094002_056.m4a|ほんとそうッスね……
vo_adv_5096001_062.m4a|どうしたッスかイノリさん？ダメッスよ、ケンカなんて売っちゃ。
vo_adv_5096001_082.m4a|ジュンさん！？　休暇っててっきりキャンプに行ったんだと思ってたッス……！
vo_adv_5096001_156.m4a|同じチームってことは、ジュンさんも釣りッスか？そんな趣味聞いたことないッスけど……
vo_adv_5096001_164.m4a|自分もヒーローグッズが欲しいッス！それも本物そっくりの技が出るヤツッス！
vo_adv_5096001_191.m4a|アユミさん。船酔いッスか？それならここに薬があるッスよ！
vo_adv_5096001_197.m4a|自分も行くッス！
vo_adv_5096002_026.m4a|大丈夫ッスよ、ヨリねーちゃん！気合でなんとかしてみせるッス！
vo_adv_5096003_046.m4a|あっち見るッス！！次のゲームもう始まるッスよ〜！！早く行くッス！！
vo_adv_5096003_123.m4a|どこにヒントがあったのか全然分かんなかったッス……でも無事に勝ち抜けてよかったッスね！
vo_adv_5096004_025.m4a|ヨリねーちゃん、食事の時も緊張するッスか？心配しなくても、自分たちがそばにいるッスよ！
vo_adv_5096005_045.m4a|……それ本当ッスか？自分はよく分かんないッスけど……勝てればなんでもいいッス！見ててくださいッスジュンさん！　自分、勝ってみせるッス！
vo_adv_5096005_108.m4a|……さっきから進みが遅くなってるッスよ！！無駄口叩く暇があったらちゃんと漕ぐッス！！
vo_adv_5096005_110.m4a|……なんスか？
vo_adv_5096005_114.m4a|３人とも調子に乗ってペース配分してなかったッスか〜！？
vo_adv_5096006_132.m4a|はあっ！　ヨリねーちゃんはやらせないッス！！ナナカねーちゃん！　一気にぶちかますッス！！
vo_adv_5096007_075.m4a|自分がついててあげるッスよ、ヨリねーちゃん！そうだ！　ジュンさんもどうッスか？
vo_adv_7023000_005.m4a|待ってほしいッスよー！はぁ……はぁ……やっと……追いついたッス……
