vo_adv_1007009_000.m4a|あー！{player}、ようやく見つけたの～！
vo_adv_1007009_001.m4a|のんきに挨拶してる場合じゃないの！ほら、ミヤコに会ったらプリンをよこすの！プ～リ～ン～！　プ～リ～ン～～！
vo_adv_1007009_002.m4a|えっ？　これからバイトだから、プリンもお金も時間もないの？む～～……オマエはそういうのばっかりなの！つかえないヤツなの！　ぶー！
vo_adv_1007009_004.m4a|ん～？誰なの？オマエらなんて知らないの！
vo_adv_1007009_007.m4a|ミヤコ、セールスはお断りなの。間に合ってるの。まったく……って、ちょっと待つの！オマエ、プリンって言ったの？
vo_adv_1007009_009.m4a|極楽プリン！？聞いたことない名前なの……！
vo_adv_1007009_011.m4a|極楽気分……！ん～、とってもおいしそうなの～♪ミヤコも食べたいの！　今すぐよこすの～～！
vo_adv_1007009_014.m4a|わかったの！プーリン、プーリン、ごっくらっくプーリン～♪
vo_adv_1007009_015.m4a|知らないヤツらだけど、プリンをくれることは知ってるの！それだけで十分なの！ダメダメなのは、プリンをよこさないオマエのほうなの！
vo_adv_1007009_016.m4a|む～？オマエはバイトがあるって言ってたから無理なの。サボるのはよくないの！
vo_adv_1007009_017.m4a|…………別にミヤコの分が少なくなっちゃうからダメって言ってるんじゃないの。ほんとなの。
vo_adv_1007009_019.m4a|心配するななの！ミヤコがちゃんと、オマエの分まで食べてやるの～♪
vo_adv_1007009_021.m4a|はーいなの！{player}、バイバイなのー！
vo_adv_1007009_023.m4a|入るの～♪ん～……ヘンなところなの。こんなところにプリンがあるの？嘘だったら、ただじゃおかないの！
vo_adv_1007009_025.m4a|向こうのおっきくてヘンな箱の中なの？じー……
vo_adv_1007009_026.m4a|なにかがいっぱい置いてあるの。あの形は……プリンの容器なの！　あれが全部プリンなの？お店みたいに山積みなの！　わーいなの～♪
vo_adv_1007009_032.m4a|もぐもぐ……むむむ、このプリンは……！
vo_adv_1007009_033.m4a|甘いような苦いような、そんなに苦くないような……いつものプリンとは違うおいしさなの！きっと、これが味の深みってやつなの……あむあむ♪
vo_adv_1007009_035.m4a|気に入ったの！オマエら、知らないけどいいヤツらなの～♪……んん？　何を貼ってるの？
vo_adv_1007009_038.m4a|むむむ……？ミヤコ、なんだか嫌な感じがしてきたの。プリンも食べたし、もう帰るの！
vo_adv_1007009_039.m4a|うにゃっ！？
vo_adv_1007009_040.m4a|うぅ……いたいの～おでこ、ぶつけちゃったの。ほんとに出られなくなってるの。
vo_adv_1007009_042.m4a|オマエら……！むきー！！　あったまきたの！ミヤコ、怒ったの！　怒っちゃったの～！
vo_adv_1007009_045.m4a|どんなプリンも……なの？詳しく聞かせろなの！
