vo_adv_1159001_002.m4a|ちょっと本気出して作ってみたんや～♪
vo_adv_1159001_007.m4a|う～……この服、絶対マコトはんに似合うのに～
vo_adv_1159001_012.m4a|うちは、マホマホ王国について話すお茶会をするだけやけど、護身術を教えるマコトはんは、一人やと大変や思ってな。王子はんに手伝いを頼もうって話になったんよ。
vo_adv_1159001_015.m4a|あ、マコトはん、忘れ物やで～
vo_adv_1159001_017.m4a|このリボンをつけ忘れてるで～♪
vo_adv_1159001_019.m4a|あ～ん、いけず～～……
vo_adv_1159001_022.m4a|お出迎えおおきに～うちが作法を担当させていただきますマホいいます。こっちの子が……
vo_adv_1159002_000.m4a|マホマホ王国の騎士、マコトはん用のドレスや～♪ここにちゃんと、狼のアップリケがあるやろ？というわけで、試着してや～♪
vo_adv_1159002_002.m4a|これはカスミはんのアイディアなんよ～♪　布地を厚めにした方が頑丈やし、フリルもいっぱいつけた方がいいと思います、それと、それを着たマコトはんの写真をもらってもいいですかって、言うとったで♪
vo_adv_1159002_005.m4a|……む～マコトはんのいけず～
vo_adv_1159002_008.m4a|その人は、元は貴族じゃなかったんやけど、騎士として大活躍してな？褒美として爵位をもろうたんやて。
vo_adv_1159002_010.m4a|今は騎士として戦ったりしないみたいやけど、街の人たちのために、不正を働く貴族や悪徳商人の検挙、街の整備とか、色々と頑張ってくれてるみたいやで。
vo_adv_1159002_012.m4a|なんで、そないな人から招待状が……はっ！　この前のレッスンで、みんながマホマホ王国に来たいゆうとったから、一緒に来たいのかも……ふふっ、お客はんいっぱいでうち困ってまうわ～♪
vo_adv_1159002_016.m4a|…………ふふっ♪
vo_adv_1159002_018.m4a|……あのな～マコトはん。ホームパーティーやし、服装はまあ、その服でええと思うんよ～……うん、全然、全然ええと思う。
vo_adv_1159002_020.m4a|でもな、ホームパーティーゆうても、ある程度の作法や、喋り方は必要になるってうちは思うんよ。ダンスとかに誘われたら大変やしね～
vo_adv_1159002_022.m4a|逃がさへんよ～♪逃がさないように……えいっ♪
vo_adv_1159002_024.m4a|王子はんも、捕まえるの手伝うて～
vo_adv_1159002_027.m4a|ふふっ、分かってくれてよかったで～♪王子はん、もう放してもええよ。
vo_adv_1159002_029.m4a|ふふっ、そうやっていつもうちのこと気遣ってくれるマコトはんのこと、うち大好きやで～♪優しく教えるさかい、安心してや。
vo_adv_1159002_035.m4a|ん～、５点やね～100点満点で。
vo_adv_1159002_037.m4a|使う言葉を知っているのは分かったんやけど、全部使えばいいってもんやないで～まあ、ちょっとずつやってこか。
vo_adv_1159002_039.m4a|…………っ！？お、王子はんは見ちゃダメやで～！！
vo_adv_1159002_041.m4a|あ、あのなマコトはん。とってもかわいいクマさんなのは分かったんやけど、もう少し自重してもろうて……
vo_adv_1159002_045.m4a|駄目やで～王子はん。足を踏まれても痛がっちゃあかん。紳士はどんなときでも、淑女の失敗を笑って流すものなんや。というわけで、うちがぎゅ～ってしても動いちゃだめやで～♪　ぎゅ～♪
vo_adv_1159002_047.m4a|じゃあ二人とも、始めてええよ～
vo_adv_1159002_050.m4a|二人ともええよ～そのまま、そのまま～♪
vo_adv_1159002_054.m4a|でも、内容は完璧やったで～♪後はもう慣れるだけやし……せや、作法と喋り方を意識しつつ、買い出しに行ってきてもらってええ？
vo_adv_1159002_056.m4a|日常的に使う意識を高めるためやで～これができれば、もうマスターしたも同然や。
vo_adv_1159002_093.m4a|……誰かに見られたらどうなるんや～？
vo_adv_1159002_095.m4a|帰りが遅いから心配して見に来たんやけど、うちの言った訓練もせんと、こんなところで休憩してたんやね～♪
