vo_adv_1221001_006.m4a|どーん☆からの、ぎゅ～っとハグ！
vo_adv_1221001_008.m4a|わわっ？　びっくりした～！アオイちゃん、落ち着いて！　私だよ私っ、ハツネちゃんだよー☆
vo_adv_1221001_010.m4a|あはは♪　大丈夫、大丈夫！おかえり、アオイちゃん！　会いたかったよ～！
vo_adv_1221001_013.m4a|もっちろん☆　今日帰ってくるって、お手紙に書いてあったからね！早くお土産話も聞かせてもらいたかったし！
vo_adv_1221001_018.m4a|……ふむふむ！本当にいろんなことがあったんだね、アオイちゃん！
vo_adv_1221001_022.m4a|だねー☆これなら次の企画もばっちりだよ！
vo_adv_1221001_025.m4a|せっかくのキャンプブームでしょ？だったら、私たちの出番かなーって！
vo_adv_1221001_026.m4a|キャンプといえば、森とか山とかの大自然！エルフの知識が役に立つこと間違いなーし！アオイちゃんも、この前のキャンプはそうだったみたいだし☆
vo_adv_1221001_034.m4a|いつものガイドとは、ちょっと雰囲気が違うもんね～？子どもたちがどんなことを知りたいのか、保護者の人はどうするかとか……も〜、てんてこまいだよ～！
vo_adv_1221001_047.m4a|そうそう！アオイちゃんにやってもらえないかな～？　やってくれるといいな～？うーん、お願いしちゃおっかな〜？　って！
vo_adv_1221001_054.m4a|よかったね、アオイちゃん！
vo_adv_1807001_000.m4a|シオリン、このところ元気なくってさ。しょんぼりしてたから、元気づけてあげたいんだ～！お手伝い、お願いできるかな？
vo_adv_1807001_001.m4a|そう！空気のいいところでパーッと楽しめば、元気が出てくるかなって！あっ、来た来た、シオリンこっちこっち～！
vo_adv_1807001_003.m4a|気にしない気にしない！みんなそろったし、さっそく出発だよ～！
vo_adv_1807001_004.m4a|ほらほら、早く早く！あっ、でも足元には気をつけてね、二人とも！
vo_adv_1807001_006.m4a|ふっふっふ～いいところに気が付いたね、シオリン！
vo_adv_1807001_007.m4a|このリュックには、おやつにお弁当に特製のお茶に、枕とブランケットとその他ピクニックに必要なものがぜーんぶまるっと入っているのだ～！
vo_adv_1807001_009.m4a|あれっ、バレちゃったかな～でもさ、目的地に着いて、きれいな景色の中でお昼寝したら、最高に気持ちいいと思うんだよね～！
vo_adv_1807001_011.m4a|おっ、これまたいい質問だね～！
vo_adv_1807001_012.m4a|これから行くのはね……私とシオリンのほかには誰も知らないとっておきの秘密の場所なんだよ！
vo_adv_1807001_013.m4a|これが本当にもうものすごくすごくすごーくいいところなんだ～！だから、楽しみにしてて！
vo_adv_1807001_015.m4a|そうそう！どんなところなのか詳しくは、着いてみてのお楽しみだよ～！
vo_adv_1807001_016.m4a|それならよし！分かってもらえてうれしいよ♪
vo_adv_1807001_017.m4a|さぁ、目的地までもうちょっと！あと少しだけ、がんばって歩こう！
vo_adv_1807001_018.m4a|お待たせ！　到着だよ～！ここが、私とシオリンのとっておきの場所。秘密の湖、なのだ～！
vo_adv_1807001_019.m4a|うーん、久しぶり～変わってなくてうれしいなぁ！また来れたね、シオリン！
vo_adv_1807001_021.m4a|……シオリン、ぼんやりしてどうしたの？
vo_adv_1807001_027.m4a|そうでしょそうでしょ？私もね、シオリンと一緒に見たかったんだ～！
vo_adv_1807001_029.m4a|夢じゃないよ、シオリン。今日までたくさんがんばったもんね。
vo_adv_1807001_034.m4a|まさか！　そんなこと絶対にないよ。シオリンは自分のやりたいことを、やりたいようにやっていいんだよ。
vo_adv_1807001_035.m4a|倒れちゃったら……って心配はやっぱりあるけど……その時は違うやり方を探したりできるし！何かをやりたい気持ちまで、諦めたらだめなんだよ！
vo_adv_1807001_036.m4a|シオリン。私ね、シオリンと一緒に行きたい場所が、まだまだたーっくさんあるんだ！森を探検して、いっぱい見つけたんだよ！
vo_adv_1807001_037.m4a|だから、ね。これからも、たくさんお出かけしよう！一緒に来てくれる？
vo_adv_1807001_041.m4a|ううん、謝ったりしないで。シオリンは確かにベッドにいることが多いけど……その分すごくすごくがんばり屋さんで、誰よりも勇気があるもん！
vo_adv_1807001_042.m4a|お外に出られるようになるまで、シオリンがどれだけ努力してきたのか私は知ってるよ。
vo_adv_1807001_043.m4a|そんなシオリンを見て、私もしっかりしなくちゃって、元気をいっぱいもらったんだよ。ほんとだよ。
vo_adv_1807001_045.m4a|だからね、シオリンが何か、やりたいことがあるときは私が手伝う！最後までちゃんと付き合って、とことん応援するよ！だから……心配しないで？
vo_adv_1807001_048.m4a|うん。約束する。絶対、また来ようね！　絶対だからね！
vo_adv_1807001_050.m4a|…………シオリン？
vo_adv_1807001_051.m4a|……シオリン！？　ねえ、どうしたのシオリン……！
vo_adv_1807001_056.m4a|ねぇねぇ、{player}くん。どう？　私たちの秘密の湖。気に入ってくれた？
vo_adv_1807001_057.m4a|今日は付き合ってくれてありがとうね！
vo_adv_1807001_058.m4a|シオリンが元気なくて心配だったから、今日は気晴らしができるといいなぁ～！
vo_adv_1807001_059.m4a|なーんて。私も久しぶりに来たくなったんだ。病弱で寝込んでばっかりだったシオリンが初めて自分から行きたいって言いだした、大事な大事な場所なんだよ。
vo_adv_1807001_060.m4a|うん！　そうなの！世界一すてきな場所、だよ！　ね、シオリン！
vo_adv_1807001_062.m4a|あはは、びっくりした？
vo_adv_1807001_064.m4a|ごめんごめん。でもシオリンがぼんやりしてるからだぞ～！
vo_adv_1807001_066.m4a|うんうん！さぁ、せっかくのピクニックだもん！花冠でも作ろうか、あの時みたいに！
vo_adv_1807001_067.m4a|お姉ちゃんがシオリンに似合う最高傑作を作ってあげちゃうぞ～！
vo_adv_1807001_069.m4a|あはは～！そうだったっけ？
vo_adv_1807001_071.m4a|さすがシオリン、記憶力いいんだから。姉としての威厳が失われちゃうじゃない！あっ……そうしたらシオリンがお姉ちゃんになっちゃうとか……！？
vo_adv_1807001_072.m4a|それはそれで……悪くないような気もしないようなするような……！？
vo_adv_1807001_074.m4a|おぉ～うれしいことを言ってくれるじゃない、妹よ……！私も、大切な妹はシオリン一人だけだよ～！
vo_adv_1807001_076.m4a|あはは、ごめんごめん！
vo_adv_1807001_077.m4a|ありがと！せっかく来たんだから、思いっきり楽しいピクニックにしようね♪
vo_adv_1807001_078.m4a|ほら、シオリンも笑顔笑顔！
vo_adv_1807002_001.m4a|うんうん！疲れに効くエルフの森の薬草を入れてみたんだ～提案は{player}くん！
vo_adv_1807002_002.m4a|私も初めてやってみたけど、すっごくいい感じだね～！
vo_adv_1807002_005.m4a|どうしたの？
vo_adv_1807002_007.m4a|え？　あれ、ちょっと待ってよ、シオリ～ン！？
vo_adv_1807002_008.m4a|……あー……行っちゃった{player}くん、何か……聞こえた？……だよねえ……シオリンはやっぱり耳がいいんだね～
vo_adv_1807002_009.m4a|……！{player}くん、今、聞こえた……よね！？あれがシオリンの言ってた音……？
vo_adv_1807002_010.m4a|こっちに近づいてくる！
vo_adv_1807002_011.m4a|見て、森の、奥の方！あれは魔物……！？　大きい…！
vo_adv_1807002_013.m4a|なんなの、あれ……！？
vo_adv_1807002_016.m4a|ええっ！？そんな魔物がこの森にいるなんて話、聞いたことないよ！？
vo_adv_1807002_018.m4a|じゃあ、ここに向かってるってことだよね！？
vo_adv_1807002_019.m4a|とにかく一度安全なところに行こう。このままここにいたら、危ないよ！
vo_adv_1807002_021.m4a|シオリン、早く早く！今日は森を歩いてシオリンも疲れてるし……！
vo_adv_1807002_023.m4a|シオリン？
vo_adv_1807002_034.m4a|えっ？
vo_adv_1807002_036.m4a|シオリン、何言ってるの！？
vo_adv_1807002_039.m4a|こら、何言ってるの！私はシオリンを連れて逃げるもん！遅れさせなんてしないよ！
vo_adv_1807002_041.m4a|……シオリン……？
vo_adv_1807002_050.m4a|……よし、分かった。それなら私も残るよ！
vo_adv_1807002_053.m4a|まずは森の中に行って、二手に分かれて攻撃しよう！うまくすれば進路が変えられるかも！
vo_adv_1807002_057.m4a|シオリン！
vo_adv_1807002_059.m4a|あぁっ！！　いったぁ……もう、……いたずらは、ほどほどにしないとダメなんだからね！
vo_adv_1807002_060.m4a|きらーん！　もう一回、きらきらーんっ！
vo_adv_1807002_061.m4a|はぁ、はぁ……はぁ……なかなか、手ごわいね……
vo_adv_1807002_063.m4a|危ない、シオリン！　はぁあああっ！！
vo_adv_1807002_065.m4a|よ、かった……今の、攻撃がシオリンに当たったら危なかっ……
vo_adv_1807002_066.m4a|だけど……もう、限界……すやぁ……
vo_adv_1807002_071.m4a|シオリン、謝らないでよ。シオリンは弱くなんてない。私は知ってるよ。
vo_adv_1807002_072.m4a|それにさ……これは私がやりたくてやってるんだもん！だから、今日は一緒に来てくれて、ありがと！
vo_adv_1807002_074.m4a|ほら、そろそろおうちに着くよ。安心して、あったかい薬草茶を飲んで、ゆっくり休もう、ね？
vo_adv_1807002_075.m4a|ん……今のは……夢……そっか、私……寝ちゃってたんだ……超能力の使い過ぎで……
vo_adv_1807002_076.m4a|はっ……シオリンは……！？{player}くんは……！？うっ、いたたたた……
vo_adv_1807002_078.m4a|う、うん、どうにかね！って、シオリンの方がボロボロだよ！
vo_adv_1807002_081.m4a|危ない！
vo_adv_1807002_083.m4a|{player}くん！　大丈夫！？立ち上がったらダメだって！いくらなんでも、その体じゃ……
vo_adv_1807002_084.m4a|そっか……キミは……一人で、私とシオリンを守ってくれてたんだね……
vo_adv_1807002_085.m4a|……うん……ありがと……私も負けてられないよね！
vo_adv_1807002_086.m4a|とはいえ……いたた……どうにか、戦えるようになったかな……まだまだ、全力が出せる感じじゃないけど……
vo_adv_1807002_088.m4a|うんうん、そうだよ！私もやりたくてやってるんだよ～！
vo_adv_1807002_089.m4a|それに約束したでしょ？シオリンのやりたいことはとことん応援するって！
