vo_adv_2110001_000.m4a|あ、ちなみにセントールっていうのは別名ケンタウロスとも言って──
vo_adv_2110001_003.m4a|おっと、私としたことが。悪かったね、助手くん……
vo_adv_2110001_004.m4a|……ああっ！　マホさんからのやんわりはんなりとしつつも的確なツッコミ……！た、たまらない……っ！
vo_adv_2110001_010.m4a|うんうん。このお屋敷は、マホさんのご実家が所有しているものだからね。さすが、セントールス一番の大富豪だけのことはある。
vo_adv_2110001_022.m4a|戻れたとしたって、安全とは言い切れないよ。ランドソルに残っている【動物苑】の連絡員からの通信魔法では、あの街が今、とても混乱していると言っていたし。
vo_adv_2110001_027.m4a|他人に説明をしてみるっていうのは、自分の頭の整理にもなるよ。探偵が、推理の仮説を助手に聞かせるみたいにね。
vo_adv_2110001_040.m4a|『現実』……？
vo_adv_2110001_049.m4a|ユイさんにっ？
vo_adv_2110001_053.m4a|……裏取りはできてないってことかな。構わないよ。こっちもそのつもりで、情報を吟味してみるから。
vo_adv_2110001_061.m4a|ええと、ノウェムさん……でいいのかな。君からも情報を提供してくれるなら、助かるよ。
vo_adv_2110001_065.m4a|……認識を、修正……
vo_adv_2110001_079.m4a|……フム。フムフム……
vo_adv_2110001_081.m4a|ええと、ノウェムさん。あなたの話が正しいなら、この世界は……いわば「ぬいぐるみのおうち」みたいなものであって。
vo_adv_2110001_082.m4a|その「ぬいぐるみのおうち」の外側の世界に……私たちの、本当の身体があると。そういうことなのかな。
vo_adv_2110001_084.m4a|どうもありがとう。……その褒め言葉は、ちょっとよくわからないけどね。
vo_adv_2110001_098.m4a|フム、しかし……その【トゥインクルウィッシュ】と覇瞳皇帝の戦いは、いつのものだろう。この前のランドソルでの戦いではないよね。
vo_adv_2110001_099.m4a|さっきノウェムさんは初対面の私に対して、まるで前に会ったことがあるような褒め方をしたけど。それってつまり……私や他のみんなが忘れてしまった、何か大きな出来事があったのかな。
vo_adv_2110001_100.m4a|いや。忘れたどころか、過去がすべて上書きされたとか。『認識の修正』とやらが行われる前と後の、『前』……それがさっき言っていた、『おかしくなる前の世界』なのかな？
vo_adv_2110001_104.m4a|…………えっ？今の仮説、合っているの？　わりと、あてずっぽうだったんだけど……
vo_adv_2110001_105.m4a|えええっ！？　どうしようどうしよう本当にこの身体はアバターとかいう仮のものなのかいっ！？　エリスっていう人の目的はなんなんだいっ！君たちをまとめて退けるなんて、よほど強いってことだよね！？
vo_adv_2110002_050.m4a|マホさん、お疲れさまです。
vo_adv_2110002_054.m4a|ええ。……この先、回復魔法以外にも魔力を使う事態になるかもしれませんし、ね。
vo_adv_2110002_059.m4a|ありがとう、マコトさん。気休め程度かもしれないけれど、何もしないよりは良いからね。
vo_adv_2110002_062.m4a|あくまで、いざという時のための備えだけどね。助手くんたちの様子を見たら、暢気にはしていられないよ。
vo_adv_2110002_076.m4a|うんうん。花の香りと彩りは、気持ちを安らかにしてくれる。病は気からの故事に従うなら、何よりの薬だよ。
vo_adv_2110002_086.m4a|そうかい？私としては、腑に落ちるところもあるというか……点と点が繋がったような気分だよ。
vo_adv_2110002_088.m4a|うん……普段はつい見逃してしまいがちだけど。よく観察してみると、この世界にはたまに不自然なところがあるんだ。わかりやすいところだと、そうだね……
vo_adv_2110002_089.m4a|魔法の音響盤とか、携帯できる遊戯器とか。街の道具屋には、とても便利なマジックアイテムが売っているだろう？
vo_adv_2110002_090.m4a|ふつう道具っていうのは、時間をかけて徐々に便利になるものなんだ。なのにこの世界には、最初から答えがあったかのような洗練された道具がいくつも転がっている。まるで他の世界から持ち込まれたみたいにね。
vo_adv_2110002_093.m4a|道具だけじゃない。『シャドウ』のこととか、気候、謎の遺跡……いつかこの世界のトリックを解き明かしたいと、そう思っていたけれど。まさかこんな形で、タネ明かしされてしまうなんてね。
vo_adv_2110002_098.m4a|戦力的には、覇瞳皇帝以上の強敵と見なくては駄目だろうね。まともにぶつかったら、獣人の国もどれだけの被害が出るかわからない。
vo_adv_2110002_101.m4a|ええ、その通りですマホさん。
vo_adv_2110002_102.m4a|ペコリーヌさんたちの話が本当なら、『エリスの存在理由』と『エリス個人の意志』は矛盾しているみたいだ。できればそこから、解決する手が見つけられれば良いのだけど。
vo_adv_2110002_106.m4a|恐らく、その矛盾がエリスにとっての泣き所なはずだ。ミソラなる人物は、今回のエリスの行動は無理を押してのものだと言っていたそうだけど……
vo_adv_2110002_108.m4a|とはいっても、いつ攻撃を再開してくるかわからない。助手くんたちの治療や、反撃作戦の考案……急いで進めないとね。
vo_adv_2110002_112.m4a|マコトさん。ユイさんは……
vo_adv_2110004_006.m4a|ペコリーヌさんやみなさんと、いろいろ相談させてもらったんだけどね。全員が一丸となって動くのも、それはそれでリスクが高いと思う。
vo_adv_2110004_028.m4a|私だって、可能ならそうしたいところだけどね。でも、敵の正体も力も数も未知数じゃ作戦を立てることだって難しいし。……何より、その……
vo_adv_2110004_030.m4a|……レイさんたちやペコリーヌさんたちに、エリスたちのこと、それに【レイジ・レギオン】との戦いを詳しく聞かせてもらったんだけど。
vo_adv_2110004_031.m4a|私の想像が正しければ、おそらく……敵に内通している人間がいる。【美食殿】か【トゥインクルウィッシュ】の誰かが、ね。
vo_adv_2110004_037.m4a|んっと……ごめんごめん、少々説明がヘタだったね。
vo_adv_2110004_038.m4a|そもそもどうして、こんなことを言い出したかというと。【レイジ・レギオン】の拠点に向けて奇襲をかけるつもりが、逆に攻め込まれたという話が気になったからなんだ。
vo_adv_2110004_040.m4a|そう、それだよ。【美食殿】と【トゥインクルウィッシュ】の奇襲は完全にばれてしまっていたのに、君たちの知らない伏兵は成功した。これはつまり……
vo_adv_2110004_044.m4a|一応言っておくけれど、必ずしも本人に情報を漏らしてしまっている自覚があるとは限らない。
vo_adv_2110004_045.m4a|通信魔法みたいなもので、思考を読み取られているとか。体内に、音を拾うマジックアイテムを埋め込まれているとか。そういう可能性もある……ちょっと楽観的な見方かもしれないけどね。
vo_adv_2110004_048.m4a|賭けではあるけどね。でもエリスが動き出したらどこに誰が、何人居ようと危ないっていうのはペコリーヌさんの言う通りだし……
vo_adv_2110004_050.m4a|もちろん、【トゥインクルウィッシュ】の人たちの中に内通者がいる可能性もあるからだよ。間違いなく該当しないのは、ノウェムさんだけだし。
vo_adv_2110004_051.m4a|ひとまずは。どの側に対して敵が動くか……様子見、だね。
vo_adv_2110004_058.m4a|ええっ！？「私にする」って、カオリさんっ……！？
vo_adv_2110004_065.m4a|──まったく、この人たちときたら。世界の危機どころか、この世界そのものが密室トリックなのかもしれないのに……お気楽すぎて頼もしいくらいだよ、本当に。
vo_adv_2110004_066.m4a|……んっ？
vo_adv_2110004_076.m4a|待って。まだ、現場を見ていないけれど……空間を飛び越えるような大魔法を使ったら、その魔力の流れで私たちも気づくんじゃないかな。ね、マホさん。
vo_adv_2110004_080.m4a|お、落ち着いて！ただちょっと、外の空気を吸いたくなっただけかもしれないだろうっ？
vo_adv_2110005_015.m4a|…………
vo_adv_2110005_016.m4a|うーん……
vo_adv_2110005_018.m4a|ユイさんは、この状況で、周りをさらに心配させるような──そんなに迂闊なひとなのかな。私には、そうは思えない。
vo_adv_2110005_045.m4a|オクトー先輩がここに来る……？　妙だな……本当に{player}を狙っているのか。それとも情報の共有をしていないのか……？
vo_adv_2110005_046.m4a|ああもう……オクトー先輩は、考えが読みにくい！ろくに知ってる相手じゃないはずなのに……これも、『現実』の記憶っていうものなのか……？
