vo_adv_1015009_000.m4a|「こわ～い魔物の大きな口が、お姫様を飲み込んでしまいそうになったその時──」
vo_adv_1015009_001.m4a|「助けに来たよ、お姫様。──と、王子様の、優しい声がしました。」
vo_adv_1015009_002.m4a|「王子様は魔物の攻撃をひらり、ひらりとかわし、お姫様の伸ばした手を掴み、強く握りしめます。」
vo_adv_1015009_003.m4a|「安心して、必ず僕が守るから……！そう言って王子様は、お姫様を腕の中に抱きしめます。そして──」
vo_adv_1015009_004.m4a|──めでたしめでたし。
vo_adv_1015009_007.m4a|うふふ。先生が作った絵本、気に入ってもらえたならうれしいわ～
vo_adv_1015009_008.m4a|{player}君はどうだった？
vo_adv_1015009_009.m4a|自分で描いたものだから少し心配だったけど、{player}君にそう言ってもらえたならよかった。
vo_adv_1015009_010.m4a|だってこの絵本の、王子様のモデルは……
vo_adv_1015009_011.m4a|……ううん、なんでもないわ♪
vo_adv_1015009_012.m4a|そうだ、このあと時間あるかしら？これからみんなと一緒にお散歩に行くんだけど、{player}君も一緒についてきてもらえないかしら。
vo_adv_1015009_013.m4a|あなたに、見せたいものがあるの。
vo_adv_1015009_014.m4a|ふふっ、あらあら。いいお返事ね。じゃあ、行きましょうか。
vo_adv_1015009_015.m4a|みんな～、そろそろお散歩の時間よ～♪先生から離れないようについてきてね～！
vo_adv_1015009_017.m4a|みんな、着いたわよ～
vo_adv_1015009_018.m4a|どうかしら？保育園のみんなで育ててる花壇なの。
vo_adv_1015009_019.m4a|みんなの頑張りもあって、こんなにきれいに咲いてくれたのよ。
vo_adv_1015009_022.m4a|みんなと頑張って作ったこの花壇を、一度、{player}君にも見せてあげたいなって思ってたの。
vo_adv_1015009_023.m4a|あらあら。あなたも一緒にお花を育てたいの？
vo_adv_1015009_024.m4a|でも大丈夫かしら。あなたにはアルバイトもあるし、大変になっちゃうかもしれないけど……
vo_adv_1015009_025.m4a|え？　全然平気？……ふふっ、元気いっぱいね。いい子いい子……♪
vo_adv_1015009_026.m4a|じゃあ私と一緒に……育ててみましょうか。
vo_adv_1015009_027.m4a|安心して、先生がちゃんと教えてあげる。この花壇をもっと賑やかにしましょうね……♪
vo_adv_1015009_028.m4a|そうね……どんなお花がいいかしら。{player}君は育ててみたいお花とかある？
vo_adv_1015009_029.m4a|珍しいお花……アオイちゃんが育ててるみたいなものかしら。気を付けていないと大きくなっちゃうマンドラゴラとか……？
vo_adv_1015009_030.m4a|おいしい……食用のお花、かしら。そういうのもあるけれど……うふふ、食いしん坊さんね～
vo_adv_1015009_031.m4a|う～ん、そうね～私が持っているものは子どもたちでも育てられるように、お世話が難しくないものばかりなの。
vo_adv_1015009_032.m4a|{player}君の期待に応えられるような、特別なお花の種はないわねぇ。
vo_adv_1015009_033.m4a|えっ？　探しに？お花の種を自分で見つけてくるってことかしら？
vo_adv_1015009_034.m4a|そうね、あなたは普段から色々なところを冒険してるものね。ここにはない、珍しいお花も知っているのね。
vo_adv_1015009_035.m4a|{player}君が育てる珍しいお花、私も見てみたいわ。
vo_adv_1015009_036.m4a|でも少し心配ね。道の途中で前みたいに毒キノコを食べたりしたら……いいえ、やる気を出しているのに頭ごなしに止めるのはよくないわ。ちゃんとこの子のことを導いてあげなくちゃ……
vo_adv_1015009_037.m4a|……うん。わかったわ。あなたが育てたいお花を育てるのが一番だもの。
vo_adv_1015009_038.m4a|でも……一つだけお願いがあるの。
vo_adv_1015009_039.m4a|私もついていっていいかしら。先生としてちゃんと{player}君のこと、見ていたいの。
vo_adv_1015009_040.m4a|はい、お願いされました。それじゃあ、ちょうど明日は保育園もお休みだから、一緒に冒険に出かけましょうか。
vo_adv_1015009_041.m4a|うふふ♪お弁当の準備と、お着替えの準備と……色々と用意しなくちゃね。
vo_adv_1015009_042.m4a|う～ん、なんだか先生もワクワクしてきちゃった。出かけてる間のお花のお世話は、アオイちゃんにお願いするとして──
vo_adv_1015009_043.m4a|あっ、おはよう、こっちよ～♪お天気に恵まれて良かったわね。お日さまも行ってらっしゃいって手を振ってるみたい。
vo_adv_1015009_044.m4a|今日はよろしくね。忘れ物はない？　ちゃんとハンカチは持った？身だしなみは……うん。ちゃんとかっこいいわ♪
vo_adv_1015009_045.m4a|傷薬は先生のを分けてあげるわね。よく効くのがあるのよ。もちろん、怪我はしないのが一番だから、先生の言うことをよく聞いてね？
vo_adv_1015009_046.m4a|……なんて、こんなに言わなくてもあなたは大丈夫かしらね。二人きりの冒険だからいつもより心配性なのかも。
vo_adv_1015009_047.m4a|うふふ。じゃあ……出発しましょうか。今日は子どもたちとのお散歩とは違うから、気を引き締めて行きましょう……！
vo_adv_1015009_048.m4a|さっそく、荒涼としていて険しい道のりね。エルフの森とは全然違う景色……
vo_adv_1015009_049.m4a|うっかりして足を踏み外したら大変。危ないから、先生と手を繋いで歩きましょうね。
vo_adv_1015009_050.m4a|さぁ、元気に歩きましょう♪
vo_adv_1015009_051.m4a|～♪
vo_adv_1015009_052.m4a|あ……ごめんなさい。緊張感がなかったかしら。いつものくせで、つい……
vo_adv_1015009_053.m4a|冒険に関しては{player}君の方が慣れているのよね。緊張感を持たなくちゃ。
vo_adv_1015009_054.m4a|うふふ、あらあら。ありがとう、私に合わせてくれて。
vo_adv_1015009_055.m4a|……やっぱり、優しい子ね。
vo_adv_1015009_056.m4a|あらあら、いけないわ。顔を合わせてすぐに武器を構えるなんて。
vo_adv_1015009_057.m4a|魔物ちゃんも、そんなに大きな口を開けてたら、みんながビックリしちゃうでしょう？
vo_adv_1015009_058.m4a|先生たちね、この先に進みたいだけなの。通してもらえるかしら？
vo_adv_1015009_059.m4a|うふふ。えらいえらい。ナデナデしてあげる……♪
vo_adv_1015009_060.m4a|甘えん坊な魔物ちゃんね～♪
vo_adv_1015009_061.m4a|……あら？　どうしたの{player}君？口を開けたまま、固まっちゃって……？
vo_adv_1015009_062.m4a|あら、気持ちのいい場所に着いたわね～♪この辺りでお弁当にしましょうか。
vo_adv_1015009_063.m4a|地面にシートを敷いて、と。はい、もう座っても大丈夫よ♪
vo_adv_1015009_064.m4a|うふふ、お弁当は私のお手製よ～冒険には体力がいるから、お肉を多めにしてあるわ。デザートにはウサギさんの形に切ったリンゴもあるわよ～♪
vo_adv_1015009_065.m4a|それにしても、あなたは普段、こんなふうに冒険してるのね。すごいわねぇ……♪
vo_adv_1015009_066.m4a|え？　今日は少し違う？あら、そうなの……？
vo_adv_1015009_067.m4a|それって、とっても楽しいってことよね？よかった。先生も頑張って準備した甲斐があるわ～
vo_adv_1015009_068.m4a|でも、もっと先へ進むのよね。じゃあお弁当でたっぷりと栄養を取って、気を抜かずに進みましょうね……♪
vo_adv_1015009_069.m4a|はい、あ～ん……しっかり味わって食べてね……♪
vo_adv_1015009_070.m4a|うふふ。この調子なら、この冒険も無事に終われそうね……
vo_adv_1015009_071.m4a|……はぁ……はぁ……
vo_adv_1015009_072.m4a|大丈夫？まだ歩けるかしら……？もし疲れたら、遠慮なく先生に言ってね。
vo_adv_1015009_073.m4a|冒険も本番ってところかしらね……こんな場所があるなんて……
vo_adv_1015009_074.m4a|私？　心配してくれてありがとう。先生は元気いっぱい、よ。だって先生だもの、あなたを守らなくちゃいけないから、疲れてなんて……いられない、わ……
vo_adv_1015009_075.m4a|……はぁ……はぁ……
vo_adv_1015009_076.m4a|エルフの森の外は、やっぱり広いわね。本で読んだりするものとは違う、本当の冒険……実際に体験してみると、こんなに大変なのね……
vo_adv_1015009_077.m4a|でも、疲れてる様子なんてあの子には見せられないわ。だって私は先生で、あの子の母親代わりになるって決めたんだから。
vo_adv_1015009_078.m4a|記憶を失って、何もわからないあの子を……守ってあげたい。
vo_adv_1015009_079.m4a|だから、しっかりしないと──
vo_adv_1015009_080.m4a|──あらっ？
vo_adv_1015009_081.m4a|あ……ありが、とう……
vo_adv_1015009_082.m4a|あらあら、ダメね、私ったら。ごめんなさい。先生として、しっかりしなくちゃいけないのに……
vo_adv_1015009_083.m4a|私が、{player}君を守らないと……
vo_adv_1015009_084.m4a|……！
vo_adv_1015009_085.m4a|あなたが……私を……？
vo_adv_1015009_086.m4a|……力強い腕。私の体をしっかりと支えてくれてる。
vo_adv_1015009_087.m4a|こんなに……力強かったのね。
vo_adv_1015009_088.m4a|……ごめんなさい。先生、あなたを守らなくちゃって張り切りすぎちゃってたわね。
vo_adv_1015009_089.m4a|あなたがこんなにたくましくなってたこと、全然……気付いていなかった。
vo_adv_1015009_090.m4a|そうね……じゃあここからは……
vo_adv_1015009_091.m4a|……私も、あなたに甘えさせてもらおうかしら……♪
vo_adv_1015009_092.m4a|わぁ……！すごくきれい……！
vo_adv_1015009_093.m4a|エルフの森にもないお花がたくさんね～ここなら、あなたの期待通りのお花の種が見つかりそう。
vo_adv_1015009_094.m4a|大変な道のりだったけど、ここまで来た甲斐があったわ……♪
vo_adv_1015009_095.m4a|……ううん。お礼を言いたいのは先生の方よ。
vo_adv_1015009_096.m4a|{player}君は、私を守ってくれたもの。とっても……うれしかったわ。
vo_adv_1015009_097.m4a|この冒険の一番の収穫は、あなたの成長を肌で感じられたことね……♪
vo_adv_1015009_098.m4a|さぁ、お花の種を貰って帰りましょう。この冒険の思い出と一緒に、きれいなお花を咲かせるの。
vo_adv_1015009_099.m4a|うふふ……どんなお花が咲くのかしら。楽しみね……♪
vo_adv_1015010_000.m4a|そうそう。そこに種を撒いて、優しく土をかけてあげて。
vo_adv_1015010_001.m4a|あとはお水をしっかりと飲ませてあげてね。
vo_adv_1015010_002.m4a|はい、よくできました。これであとは芽が出るのを待つだけよ。
vo_adv_1015010_003.m4a|これから毎日、忘れずにお水をあげましょうね。
vo_adv_1015010_004.m4a|えっと、そうねぇ……エルフの森は土も栄養たっぷりで植物を育てやすい環境だから、毎日ちゃんとお水をあげれば大丈夫だと思うけど～
vo_adv_1015010_005.m4a|あ。一つ、大切なものがあるわね。
vo_adv_1015010_006.m4a|お花だけじゃなくて、どんなものにでも……『なにかを育てる』ときに必ず必要なもの。
vo_adv_1015010_007.m4a|──愛情よ。
vo_adv_1015010_008.m4a|うふふ。まだピンとこないかしら？でもね、これは忘れちゃいけないものなの。
vo_adv_1015010_009.m4a|{player}君も愛情を込めてお世話をしてみてね。そうすればきっと、このお花も応えてくれるはずだから。
vo_adv_1015010_010.m4a|今日も一日の始まりね～♪さ、子どもたちが来る前に準備をしなくっちゃ。遊び道具と絵本を持って、と……
vo_adv_1015010_011.m4a|……あら？　{player}君……おはよう。今日はずいぶん早いのね？いつもは他の子どもたちが集まる頃に来るのに……
vo_adv_1015010_012.m4a|……え？　水やり？あらあら、気が早いわね～
vo_adv_1015010_013.m4a|うふふ。頭にかわいい寝ぐせができてるわよ？そんなに急いで来てくれたの？
vo_adv_1015010_014.m4a|朝の分はいつも私がまとめてあげているから、そんなに頑張らなくてもいいのに……
