vo_adv_1179001_000.m4a|あっ、いたー！　ヒデサーイ！
vo_adv_1179001_001.m4a|ちょすちょす～♪　もー、人いっぱいすぎ～待ち合わせ場所、わかんなくなっちゃったし。
vo_adv_1179001_002.m4a|うちね、ヒデサイと一緒にハロウィンのお出かけするの楽しみにしてたんだ～♪
vo_adv_1179001_003.m4a|ほらヒデサイ、早く行こ！今日は一日うちに付き合ってもらうんで、そのつもりでよろ～♪
vo_adv_1179001_004.m4a|さっすがハロウィン！みんな色んなカッコしてんね？
vo_adv_1179001_005.m4a|お店も看板デコったりしてさ、超かわいくない？うち、こういう雰囲気わりと好きかも。
vo_adv_1179001_006.m4a|一緒にワイワイ騒ぐっていうか、盛り上げてる感あるっていうか。みんな楽しそーじゃん？　ていうか実際楽しいし！
vo_adv_1179001_007.m4a|きゃっ！？
vo_adv_1179001_010.m4a|ううん、うちの方こそごめんね～……って、あーーっ！！
vo_adv_1179001_011.m4a|うん、事務所の後輩なんだ～そのコーデ、めちゃ決まってんね！
vo_adv_1179001_013.m4a|でも、こんなとこでどしたの？　お出かけちう？
vo_adv_1179001_019.m4a|だ、だいじょぶかな……？ちょっち心配だけど……
vo_adv_1179001_020.m4a|……ううん、誰だって初めてのお仕事は緊張するよね。がんばってね、後輩ちゃん。うちも心の中で応援してるし！
vo_adv_1179001_031.m4a|……ごめんね、ヒデサイ？うち、どーしても気になっちゃって。
vo_adv_1179001_032.m4a|後輩ちゃんが、一人でお仕事できるようになるためにうちが変についてかない方がいいかなーって思ったけど……
vo_adv_1179001_033.m4a|でも、初めてのお仕事って緊張するじゃん？うーん……うちの心配しすぎかな？
vo_adv_1179001_034.m4a|今の物音、あっちの方じゃない？　ヒデサイ、行こ！
vo_adv_1179001_036.m4a|後輩ちゃん、怪我してない！？
vo_adv_1179001_039.m4a|だいじょぶ、だいじょぶだから、とりあえず落ち着こ？うちがいるから。
vo_adv_1179001_040.m4a|……って言ったけど、どうしよ～？
vo_adv_1179001_041.m4a|……でも、イベントの出演までもう時間なくない？小物とかアクセなら、なんとか見つけられそうだけど……
vo_adv_1179001_042.m4a|あっ、そっか！　ヒデサイ超ナイス！
vo_adv_1179001_043.m4a|ねね、出るって言ってたイベントのこと、うちに教えて？あとイメージとか、ちょっと変わっちゃってもだいじょぶ？
vo_adv_1179001_045.m4a|りょ！　うちにまかせといて！もにカワに仕上げてみせちゃうし！
vo_adv_1179001_046.m4a|ふんふんふふーん♪ここは、こんな感じで留めて……っと。
vo_adv_1179001_047.m4a|こーやって、露店で売ってた小物とかでアレンジするっしょ？そしたら服の汚れちゃったとこも、ハロウィンの仮装っぽくてイイ感じに見えるじゃん？
vo_adv_1179001_048.m4a|あ、ヒデサイ。そっちのピン取ってくれる？……おっけー、ありがと！
vo_adv_1179001_050.m4a|ううん、うちが好きでやってることだし。えーっと……ここはリボンで隠しちゃえばいっかな？
vo_adv_1179001_052.m4a|後輩ちゃんって、今日が初めてのお仕事なんだよね。服とか見ても、めっちゃ気合入ってる感じするし！
