vo_adv_1017009_000.m4a|…………
vo_adv_1017009_001.m4a|……うぅ～ん。
vo_adv_1017009_002.m4a|やっぱりいつもの調子が出ないね～あんまり眠れてないからかな～？
vo_adv_1017009_003.m4a|えっ？　あっ……！
vo_adv_1017009_004.m4a|ハイタ～イ♪
vo_adv_1017009_005.m4a|あは～、元気な挨拶だったね～でもこの挨拶、男の子は「ハイサイ」って言うさ～ね～覚えておくといいさ～♪
vo_adv_1017009_006.m4a|それで、今日はどうしたさ～？私はね～【自警団（カォン）】のパトロール中だよ～！
vo_adv_1017009_007.m4a|なんか困ったことでもあった～？私に言ってみるといいよ～
vo_adv_1017009_008.m4a|【自警団（カォン）】としてじゃなくても、{player}と私の仲だからね～♪
vo_adv_1017009_009.m4a|あ～……恥ずかしいところ、見られちゃったね～
vo_adv_1017009_010.m4a|私は元気が取り柄だから、沈んだとこ見られるのはでーじ恥ずかしいさ～
vo_adv_1017009_011.m4a|でも、気にしなくていいよ～！そんな大したことじゃないし、すぐ元通りになるさ～！
vo_adv_1017009_012.m4a|え……気になる？私と{player}の仲、だから……？
vo_adv_1017009_013.m4a|えへへ、私の台詞、逆に言われちゃったね～♪そんなに教えてほしいの～？本当に大したことじゃないんだよ～
vo_adv_1017009_014.m4a|……懐かしい夢を、見たんさ～
vo_adv_1017009_015.m4a|私の……故郷の夢をね～
vo_adv_1017009_016.m4a|{player}は覚えてるかなー？　前にも言ったけど～私、故郷に帰れなくて一人で野宿とかしてたところを、いろいろあって【自警団（カォン）】に保護してもらったんだよー
vo_adv_1017009_017.m4a|故郷に帰る方法が見つかるまで、この街で暮らすつもりだったんだけど～結局まだ、方法は見つからないままさ～
vo_adv_1017009_018.m4a|でも、平気だったんだよ～？衣食住には不足してないし、仕事も見つかったし、大事な仲間もできたしね～
vo_adv_1017009_019.m4a|なのに最近、ふと故郷の夢を見ちゃってさ～無性に寂しくなっちゃったってわけさー
vo_adv_1017009_020.m4a|完全にホームシックってやつかな。らしくないよね～、笑い飛ばしてほしいさ～
vo_adv_1017009_021.m4a|ん～、あはは～……♪くすぐったいさ～……でも、気持ちいいね～♪{player}の優しさが手のひらから伝わってくるよ～……
vo_adv_1017009_022.m4a|あはは～♪　急に変な顔してどうしたさ～？もしかして、楽しい気分にさせようとしてくれたの～？{player}は優しいね～♪
vo_adv_1017009_023.m4a|心配してくれてありがとさ～でも、こればっかりはどうしようもないからね、そんなに気にしなくても大丈夫よ～
vo_adv_1017009_024.m4a|もっと～？私の故郷のこと、そんなに興味があるさ～？
vo_adv_1017009_025.m4a|なら任せるさ～！{player}にもっと故郷のこと知ってもらって、大好きになってもらいたいからね～♪
vo_adv_1017009_026.m4a|そうだね～私の故郷はどこからでも海が見えてね、いつもキラキラ輝いてるんだよ～
vo_adv_1017009_027.m4a|てぃーだ……お日さまがでーじ眩しくて、その日差しを、青く澄んだ海が受け止めて輝いてるわけさーこっちじゃ見ない植物も多くて、すごく色鮮やかなところなんだよー
vo_adv_1017009_028.m4a|食べ物も珍しいのがいろいろあるんだよ～魚はいっぱい取れるし、てぃーだの恵みで育った野菜は格別！ゴーヤーにソーキにパイナップル、おいしいものたくさんさ～
vo_adv_1017009_029.m4a|街はいつも賑やかでね～耳を澄ますと三線の音が聞こえてきて、そのリズムに合わせて踊ってる人たちがいたりして……
vo_adv_1017009_030.m4a|それにそれに……あは～やっぱり、実際に見て、感じるのが一番だね～……
vo_adv_1017009_031.m4a|ダメさ～こんな調子じゃみんなを心配させちゃうよ～
vo_adv_1017009_032.m4a|……うん。もう、故郷のことは考えないようにする！すっきり頭の中から忘れて、今できることをやるさー！
vo_adv_1017009_033.m4a|もちろんさー！いつまでも悩んでるなんて、私らしくないからねー
vo_adv_1017009_034.m4a|そうと決まれば、パトロール再開さー！サボってたら【自警団（カォン）】のみんなに怒られちゃいそうだから、そろそろ行くねー！
vo_adv_1017009_035.m4a|それじゃあ、またね～！
vo_adv_1017009_036.m4a|…………
vo_adv_1017009_037.m4a|さぁ～今日も張り切ってパトロールに出発だよ～！体を動かしてれば、ホームシックなんてすぐ消えてなくなるさー！
vo_adv_1017009_038.m4a|今日はてぃーだも明るくて、いい天気だねー故郷の日差しを思い……
vo_adv_1017009_039.m4a|ってダメダメ～！またぼんやりしちゃうさー！仕事に集中、集中よ～！
vo_adv_1017009_040.m4a|とはいえ、最近街は平和だからね～世界中が平和なのはすごくいいことだけど、いろいろ余計なこと考えそうになっちゃうねー……
vo_adv_1017009_041.m4a|……んっ？あれ？　なんか眩しいさー？
vo_adv_1017009_042.m4a|お日さまの光が、何かに反射して直接目に入ってくるみたいな～？まるで故郷の海辺に、じゃなくて～この光は、どこから～……
vo_adv_1017009_043.m4a|あ～っ！{player}、何やってるのー！？
vo_adv_1017009_044.m4a|今後ろに隠したの、鏡さ～！？{player}がイタズラしてたんだね～？
vo_adv_1017009_045.m4a|鏡で、てぃーだの光を反射させてたでしょー！も～！　そういうことしちゃダメだよ～？
vo_adv_1017009_046.m4a|私はパトロール中だからもう行くね～あんまりイタズラしてたら、捕まえてお説教だよ～？マコトにゲンコツされちゃうからね～？
vo_adv_1017009_047.m4a|なんだったのかなー？イタズラしたいお年頃ってやつかなー？昔、私にもあった気がするさ～
vo_adv_1017009_048.m4a|故郷にいたころ、ヤシの木に登ったりして～って、また思い出しそうになってるさ～！？
vo_adv_1017009_049.m4a|余計なことは考えない！そうだっ、ご飯でも食べてお腹を膨らませるさ～！
vo_adv_1017009_050.m4a|ん～？　ありがとさ～！モグモグ、やっぱり苦みが足りないね～！本物はもっと苦くて、炒めるとおいしいんだけど……
