vo_adv_1190001_000.m4a|──つまり、この問題の答えは……３です。
vo_adv_1190001_001.m4a|21の中に７が何個あるかって考えれば、簡単に計算できるわよ～もっと数字の大きな割り算でも、同じように解けば大丈夫。
vo_adv_1190001_002.m4a|じゃあ、次はもう少し難しい問題に挑戦してみましょう。……っと、その前に、ちょっと失礼するわね。
vo_adv_1190001_007.m4a|……ごめんね、お待たせ。
vo_adv_1190001_008.m4a|えっ、なんのこと？　……空耳じゃないかしら？さあ、続きだけど、どこまで話したっけ……
vo_adv_1190001_009.m4a|あっ、そうそう！次はちょっと難しい割り算に挑戦するところだったわね。
vo_adv_1190001_010.m4a|じゃあ……112を７で割ってみましょう。３桁の計算は少し難しいと思うから、チャイムが鳴るまで考えてみてね。
vo_adv_1190001_011.m4a|はーい、今日の授業はここまでにしましょう。さっきの答えは、16でした～！
vo_adv_1190001_012.m4a|みんな分かったかしら？帰ったらしっかりと復習するのよ。
vo_adv_1190001_014.m4a|ふふ、いい返事ね。それじゃあ、気をつけて帰るのよ。さようなら～！
vo_adv_1190001_016.m4a|あっ、{player}君はちょっと教室に残ってくれる？話があるの……
vo_adv_1190001_017.m4a|あのね、実は……
vo_adv_1190002_017.m4a|学院長！　廃校を回避するために、カリキュラムの改善をする必要があると思いますっ！
vo_adv_1190002_019.m4a|生徒たちのことを思えば、迷っている場合じゃありません。
vo_adv_1190002_020.m4a|私は……
vo_adv_1190002_048.m4a|みんな、おはよ～う！
vo_adv_1190002_051.m4a|ふふ、元気いっぱいな挨拶ね～！研修から戻ってきたから、今日からまた担任として頑張るわね。
vo_adv_1190002_052.m4a|ということで……まず小テストを始めましょう～！答案用紙を配っていくわね～
vo_adv_1190002_053.m4a|私がいなかった間、学院長先生の集中講座を受けていたでしょ？その成果を見せてもらいたいの。
vo_adv_1190002_054.m4a|みんな、すっごく頑張ってたって聞いてるから、いい結果を期待してるわね♪
vo_adv_1190002_055.m4a|はい、みんな準備はできたかな～？それじゃあ……始めっ！
vo_adv_1190002_056.m4a|……………………どうして？
vo_adv_1190002_057.m4a|……集中講座をしたのに、進歩がないわ……みんな……しっかり勉強してたじゃない……
vo_adv_1190002_061.m4a|…………{player}君、ちょっと話せる？空き教室、行きましょう…………
vo_adv_1190002_062.m4a|どうしたらいいのかしら……闇の力を使ってもいい点が取れないなんて……
vo_adv_1190002_063.m4a|もう廃校は避けられないのかしら……？みんなのことを思って、闇の力を使ったんだけど……
vo_adv_1190002_064.m4a|私もよ……みんなが楽しんで勉強してるところを見るのって、いつもとってもうれしい気持ちになるの。
vo_adv_1190002_065.m4a|結果だけを求めた集中講座なんて、みんなには意味がなかったのね……そんな当たり前のことも忘れてたなんて……
vo_adv_1190002_066.m4a|そう、よね……楽しくないことをやらされるなんて、辛いわよね……
