vo_adv_1021004_000.m4a|お兄ちゃ～ん……♪
vo_adv_1021004_001.m4a|え、えへ……今日も一緒に、お買い物しましょう……♪
vo_adv_1021004_002.m4a|といっても……今日は私、とくにお遣いを頼まれてないんですぅ……
vo_adv_1021004_003.m4a|だから、お兄ちゃんの買いたいものを優先しましょう……♪
vo_adv_1021004_004.m4a|いつもお兄ちゃんには、荷物を運ぶのとか手伝ってもらってますからね……
vo_adv_1021004_005.m4a|その恩返しに、行きたいお店とかあったら案内しますよぅ……♪
vo_adv_1021004_006.m4a|お店によっては、ひとりだと近寄りがたい雰囲気だったりするけど……
vo_adv_1021004_007.m4a|お兄ちゃんと一緒なら、安心……すっごく、いつも助かっちゃってますぅ……♪
vo_adv_1021004_008.m4a|えへへ……私も月初めだからお小遣いもらったし、欲しいものがあったら自分の買い物もしますけどね……
vo_adv_1021004_009.m4a|魔法少女ベルルちゃんの、グッズとか見たいかも……♪
vo_adv_1021004_010.m4a|あれっ……？ベルルちゃんって、ご存知ないですか……？
vo_adv_1021004_011.m4a|うちの国に昔いたっていう伝説の英雄をモデルにした、キャラクターなんですけどね……？
vo_adv_1021004_012.m4a|どこかの劇団が、けっこう昔にベルルちゃんを主役にした演劇をやって……
vo_adv_1021004_013.m4a|それが大流行して、登場人物を変えたりしながらずっと上演されてますぅ……
vo_adv_1021004_014.m4a|わりと、子供向けの内容なので……文房具とか絵本とか、玩具とか……
vo_adv_1021004_015.m4a|子供が好むものにデザインが使われてて、グッズもいろんな種類があるんですよぅ……♪
vo_adv_1021004_016.m4a|私、それ集めてるんですぅ……ベルルちゃん、昔から好きで……
vo_adv_1021004_017.m4a|この服装も、ベルのかたちをしたハンマーも、ベルルちゃんを真似っこしてるんですよぅ……♪
vo_adv_1021004_018.m4a|えへへ、ちょっと子供っぽいですかね……
vo_adv_1021004_019.m4a|でもベルルちゃんみたいに、強くて優しい女の子になりたいから……♪
vo_adv_1021004_020.m4a|ひゃわっ！？なな、何っ？
vo_adv_1021004_021.m4a|お兄ちゃん、全身が光ってますよぅ……？それこそ、魔法少女が変身するときみたいに……！？
vo_adv_1021004_075.m4a|お兄ちゃん、大丈夫ですか……？
vo_adv_1021004_076.m4a|ちょっと、ぼうっとしてただけ……？それなら良かったですけど、体調が悪いなら言ってくださいね……？
vo_adv_1021004_077.m4a|今日は急ぎの用事もないですし、無理に付きあわせるのは申し訳ないですぅ……
vo_adv_1021004_078.m4a|ひゃっ、ひゃん……？お、お兄ちゃん……？どうして、私の手を引っぱるのぉっ……！？
vo_adv_1021004_079.m4a|えっ……？そっちを、見ればいいんですか……？
vo_adv_1021004_080.m4a|あっ……何かすっごい、ひとだかりができてますね……？
vo_adv_1021004_081.m4a|わ、わっ……？あれっ、ベルルちゃん……！ベルルちゃんがいるっ……！
vo_adv_1021004_082.m4a|何か新商品の宣伝のために、売り子さんがコスプレしてるみたい……？
vo_adv_1021004_083.m4a|わぁ、再現度が高い……♪あれは第三期から登場した、プリンセスモード……！
vo_adv_1021004_084.m4a|ち、近くで見たいっ……！あぁでも、すごい人混みで近寄れない……？
vo_adv_1021004_085.m4a|わわっ……？お兄ちゃん、肩車してくれるんですか……？
vo_adv_1021004_086.m4a|ち、ちっちゃい子みたいで恥ずかしい……！
vo_adv_1021004_087.m4a|あはは……魔法少女が大好きで、見ただけで興奮するって……ふつうに私、ちっちゃい子でしかないけど……♪
vo_adv_1021004_088.m4a|はい……見えますよ、ベルルちゃん……あぁ、ステキですぅ……♪
vo_adv_1021004_089.m4a|ぐ、グッズとかも売ってるみたいだから……行列になっちゃってるけど、並んじゃ駄目ですか……？
vo_adv_1021004_090.m4a|うう……今日はお兄ちゃんの買い物を、優先しようと思ってたのに……
vo_adv_1021004_091.m4a|はうぅ？べつに良いよ、って……？お兄ちゃんも、楽しいんですか……？
vo_adv_1021004_092.m4a|そう言ってもらえたら、ほっとしますけど……♪
vo_adv_1021004_093.m4a|私もいつか、ベルルちゃんみたいに強くなりますね……
vo_adv_1021004_094.m4a|魔法は使えないし、まだまだ駄目な子だけど……
vo_adv_1021004_095.m4a|がんばります、きっと成長してみせますぅ……
vo_adv_1021008_000.m4a|ふっふっふ。王さま、これが馬鹿には見えない服でございます。
vo_adv_1021008_001.m4a|む、むふ～……♪だいぶ上手に、演じられるようになってきた気がしますぅ……
vo_adv_1021008_002.m4a|これなら、本番までには何とかなりそう……♪
vo_adv_1021008_003.m4a|……！？ひぇっ……？
vo_adv_1021008_004.m4a|おおお、お兄ちゃん……？いつから、そこに……？
vo_adv_1021008_005.m4a|み、み、見ましたか……？うぁあっ、私もうお嫁に行けない……！
vo_adv_1021008_006.m4a|ぐすん……えっ、何をしてたのかって……？
vo_adv_1021008_007.m4a|えっとあのうそのう、何と言えばいいんでしょう……？
vo_adv_1021008_008.m4a|お、お芝居の、練習……！
vo_adv_1021008_009.m4a|ふぇ……お兄ちゃんも最近は、【サレンディア救護院】で暮らしてるから……
vo_adv_1021008_010.m4a|知ってると思いますけど、ていうか一緒に聞いてたはずですけど……
vo_adv_1021008_011.m4a|【サレンディア救護院】、だいぶ経営が安定してきたから……
vo_adv_1021008_012.m4a|ギルドとしてのお仕事もしよう、って話になってるじゃないですか……
vo_adv_1021008_013.m4a|それで、えっと……介護施設とか保育園とかを訪問して、ちょっとした劇をやることになりましたよね……
vo_adv_1021008_014.m4a|私あがり症だから、無理かなって思ったんですけど……
vo_adv_1021008_015.m4a|ママ・サレンもみんなも、演技が上手だねって褒めてくれたし……
vo_adv_1021008_016.m4a|わ、私、あんまり何もできないけど……お芝居、楽しいし……
vo_adv_1021008_017.m4a|【サレンディア救護院】のみんなには、いつもお世話になってるから……
vo_adv_1021008_018.m4a|が、がんばりたい……劇をちゃんと、成功させたいからっ……
vo_adv_1021008_019.m4a|人目につかないところで、こっそり練習をしてるんですぅ……
vo_adv_1021008_020.m4a|ふぇ……？どうして急に、手をパチパチするの……？怖いっ……！
vo_adv_1021008_021.m4a|えっ……？お芝居、上手でしたか……？
vo_adv_1021008_022.m4a|褒めてくれるんですね、{player}お兄ちゃん……♪
vo_adv_1021008_023.m4a|え、えへへ……でも本番では、みんなの前でお芝居をしなきゃいけないから……
vo_adv_1021008_024.m4a|私、緊張して上手にできないかも……
vo_adv_1021008_025.m4a|だから……お兄ちゃん、良かったらお芝居の練習に付きあってほしいですぅ……
vo_adv_1021008_026.m4a|ひとに演技を見せることに、慣れなくっちゃいけないし……
vo_adv_1021008_027.m4a|お兄ちゃんなら安心っていうか、怖くないから……
vo_adv_1021008_028.m4a|だ、駄目ですかね……？甘えすぎ、ですか……？
vo_adv_1021008_029.m4a|ひぇっ……！？おお、お兄ちゃん……？また何か、光ってますよ……？
vo_adv_1021008_030.m4a|な、何なのぉ……？うぁぁん、やっぱりお兄ちゃんも怖い……！
vo_adv_1021008_084.m4a|お兄ちゃん……？
vo_adv_1021008_085.m4a|どうしたんですか、ぼうっとしてますけど……お、お医者さんを呼んできましょうか……？
vo_adv_1021008_086.m4a|ふぇ……？大丈夫なんです、か……？
vo_adv_1021008_087.m4a|あんまり無理はしないでくださいね、心配ですよぅ……？
vo_adv_1021008_088.m4a|一緒の場所で暮らしてるんです、家族になったんですから……
vo_adv_1021008_089.m4a|何か困ったことがあったら、相談してくださいね……
vo_adv_1021008_090.m4a|え、えへ……私じゃ、頼りないかもしれないけど……♪
vo_adv_1021008_091.m4a|あぁ、もう日が暮れてきちゃった……子供は、おうちに帰る時間ですね……
vo_adv_1021008_092.m4a|夢中になってお芝居の稽古をしてたから、時が経つのを忘れちゃってました……
vo_adv_1021008_093.m4a|私、もう帰らなくちゃ……お稽古は、うちでもできるし……
vo_adv_1021008_094.m4a|早く帰らないと、ママ・サレンが心配しちゃう……
vo_adv_1021008_095.m4a|あはは……私、いま『うち』って言いましたね……
vo_adv_1021008_096.m4a|すっかり【サレンディア救護院】が、私のおうちになっちゃってる……♪
vo_adv_1021008_097.m4a|それって、とっても有り難いことだけど……やっぱり、ほんとの両親とも会いたいな……
vo_adv_1021008_098.m4a|それでせめて、私は幸せに暮らしてるって伝えたい……
vo_adv_1021008_099.m4a|夢みたいな話ですけど……今回の劇が評価されて、私が立派な役者になって……
vo_adv_1021008_100.m4a|それでおおきな劇場とかで、お芝居ができるようになったら……
vo_adv_1021008_101.m4a|どこかにいるかもしれない両親も、私を見つけてくれるかなぁ……？
vo_adv_1021008_102.m4a|な～んて……え、えへへ……♪
