vo_adv_2109001_052.m4a|みんなーおやつの時間だよーっ！
vo_adv_2109001_059.m4a|うんっ♪いいよー！
vo_adv_2109001_070.m4a|えーっ？あんなにあったのにー？
vo_adv_2109001_074.m4a|わわっ！スライムっ！？
vo_adv_2109003_004.m4a|そう簡単には捕まんないよーだっ！
vo_adv_2109003_013.m4a|わわっ！何この粉っ！？
vo_adv_2109003_021.m4a|や、やばっ！！
vo_adv_2109003_036.m4a|こっちも負けてらんない！クルミ！
vo_adv_2109003_038.m4a|せーのでいくよっ！
vo_adv_2109003_040.m4a|『ぷうきち！』
vo_adv_2109003_052.m4a|ママ・サレン！！
vo_adv_2109005_024.m4a|手助け？
vo_adv_2109008_042.m4a|でも、戦いは終わったんだよね？それなら……
vo_adv_2109011_003.m4a|それだけじゃないよ！王宮の空が、燃えてる……！
vo_adv_5084623_000.m4a|お兄ちゃん、もう目が覚めたかなぁ？　それとも、まだ、なのかな。ぷうきち、もう目が覚めないなんてこと、ないよね？
vo_adv_5084623_002.m4a|うぅ～ぷうきち～！　だけどやっぱり、私怖いよ……お兄ちゃんがもし起きてくれなかったらって考えたら……ふええぇん……
vo_adv_5088000_009.m4a|うんっ！　私とクルミとぷうきちで見ておくから安心して！ねっ、クルミ。
vo_adv_5088000_034.m4a|たぶんすぐにわかるから気にしなくていいよ。それよりミサキ、せっかく来たんだから一緒に遊びましょう♪
vo_adv_5088000_044.m4a|他にもあるよ！　えっとね……
vo_adv_5088000_051.m4a|むしろこれくらいかわいいものよ。でも、晩御飯の準備するなら私たちも手伝うわ。
vo_adv_5088000_064.m4a|きっと風でガタガタ鳴っただけでしょ。よくあることだけど、また扉を修理してもらわないといけないね。
vo_adv_5088001_012.m4a|そう、今案内してたんだ！で、最後にミサキが泊まる予定の部屋に行ったら……
vo_adv_5088001_019.m4a|うん、もちろん！　みんなで寝るのも楽しそうだよ～！みんなで寝れば怖くない♪
vo_adv_5088001_023.m4a|どうにか、って……？
vo_adv_5088001_026.m4a|あっ、お兄ちゃんだー！
vo_adv_5088001_029.m4a|お鍋もいくつか消えていて、
