vo_adv_1025009_000.m4a|あ、あのっ！{player}さん！
vo_adv_1025009_001.m4a|私……私を……
vo_adv_1025009_002.m4a|──私を、雇ってくださいませんかっ！
vo_adv_1025009_003.m4a|あ……お、驚いちゃいますよね。すみません、こんなこと急に。
vo_adv_1025009_004.m4a|色々あって気が動転してて、{player}さんの姿を見たら思わず……
vo_adv_1025009_005.m4a|ええと……はい。説明するのもお恥ずかしい話ではあるんですけど……
vo_adv_1025009_006.m4a|……やっちゃいました。
vo_adv_1025009_007.m4a|その、私……サレンディア救護院で、いつもみたいにドジをして、大切なものを壊してしまったんです。
vo_adv_1025009_008.m4a|お嬢さまは気にしなくていいと言ってくださいましたが、私はどうしても、自分が許せなくて……
vo_adv_1025009_009.m4a|大切な……ものだったのに……
vo_adv_1025009_010.m4a|それで私、思わず救護院を飛び出してきちゃったんです。
vo_adv_1025009_011.m4a|でも、よく考えたら私、救護院以外に行ける場所がなくて、そんなとき、{player}さんの姿を見かけて……
vo_adv_1025009_012.m4a|え？は、はい……！
vo_adv_1025009_013.m4a|すみません、何もかもいきなりで……
vo_adv_1025009_014.m4a|でも、本当にいいんですか？【美食殿】のみなさんのギルドハウスをお借りして……
vo_adv_1025009_015.m4a|……自由に使っていい、ですか。ふふっ、ありがとうございます。では、ご厚意に甘えさせていただきますね。
vo_adv_1025009_016.m4a|それでえっと、今日は他のみなさんは……？
vo_adv_1025009_017.m4a|……いない？お出かけ中なんですか。ということは二人きりなんですね。
vo_adv_1025009_018.m4a|このかたと……二人きり……？いえいえ、何をドキッとしちゃってるんですか私！救護院でいつも一緒だったじゃないですか！
vo_adv_1025009_019.m4a|そ、そうだっ。何もしないのもあれですから、お茶をお入れしますね。キッチン、少しお借りします！
vo_adv_1025009_020.m4a|えっと、お茶、お茶～わっ、すごい。見たことのない茶葉がいっぱい……というかこれは……魔物の……？
vo_adv_1025009_021.m4a|……見なかったことにしましょう。こ、こっちの普通っぽい茶葉を使わせていただきます。
vo_adv_1025009_022.m4a|えへへ。お世話になるからには、お役に立たないと。ご恩には奉公で報いるのがメイドの流儀です♪
vo_adv_1025009_023.m4a|バッチリとおいしいお茶をお出しして～……あれ？　なんでしょうこれ、なんか黒い煙が……それに変な匂いも……っ！？
vo_adv_1025009_024.m4a|ひゃわあああ～っ！なんですかこれ～～っ！？茶葉じゃなかったんですか～～～っ！？
vo_adv_1025009_025.m4a|うぅ……すみません……結局失敗して、お茶が見たことのない色になっちゃいました……
vo_adv_1025009_026.m4a|本当、ですか……？その割には飲んだ瞬間、喉を押さえて天井を見つめていましたけど……
