vo_adv_1025009_048.m4a|スズメッ？
vo_adv_1025009_049.m4a|あ……{player}か。ごめん、ちょっと今立て込んでて。スズメが……
vo_adv_1025009_050.m4a|え？あの子今、【美食殿】のギルドハウスにいるの？
vo_adv_1025009_051.m4a|……そう。よく考えてみれば、そうよね。スズメが頼りそうなのはあんたくらいだったわ。
vo_adv_1025009_052.m4a|今すぐ連れ戻しに……と言いたいところだけど、{player}の所にいるなら、そうね……
vo_adv_1025009_053.m4a|スズメのこと、そのまま預かっててもらえないかしら。
vo_adv_1025009_054.m4a|ああ、怒ってるとかじゃないのよ。あの子のドジはいつものことだし、あたしは全然気にしてないわ。
vo_adv_1025009_055.m4a|ただ今回は、あの子の方が……気にしてるんじゃないかしら。
vo_adv_1025009_056.m4a|……聞いたのね。ええ、そのとおりよ。
vo_adv_1025009_057.m4a|これなんだけど。見事に粉々になっちゃったのよね。
vo_adv_1025009_058.m4a|これはね、昔……あたしからあの子にプレゼントしたものなのよ。
vo_adv_1025009_059.m4a|失敗してばかりで毎日落ち込んでたあの子を見かねて、そんなこと気にしなくていいのよ、ってね。
vo_adv_1025009_060.m4a|子どもの頃の贈り物だから、大したものじゃないんだけどね。
vo_adv_1025009_061.m4a|……それでもあの子は、ずっと大事にしてた。こまめに磨いたりしてね。
vo_adv_1025009_062.m4a|それが今回、こんなことになっちゃって……あの子としても、堪えてるんじゃないかしら。
vo_adv_1025009_063.m4a|だから、心が落ち着くまでで構わない。悪いんだけど……スズメのこと、頼めるかしら。
vo_adv_1025009_064.m4a|あんたになら、安心して任せられるし。
vo_adv_1025009_065.m4a|ありがと。相変わらず優しいのね。
vo_adv_1025009_066.m4a|……え？一緒にこの破片も貸してほしいの？
vo_adv_1025009_067.m4a|別に構わないけど……
vo_adv_1025009_068.m4a|…………
vo_adv_1025009_069.m4a|じゃあ、はい。なくさないようにね。
vo_adv_1025009_070.m4a|スズメのこと、くれぐれもお願いね。その……色々と信じられないドジをするかもしれないけど、できる限り心を広くもって、見守ってあげてね。
vo_adv_1025009_071.m4a|……な～んて、{player}にいちいち言うことでもないわよね、ふふっ。
vo_adv_1025010_099.m4a|…………
vo_adv_1025010_100.m4a|まったく、あの子ったら……
vo_adv_1025010_101.m4a|勝手にドジして、勝手に思い詰めて、勝手に出ていったりして。
vo_adv_1025010_103.m4a|……ふふっ。いいわ、あたしがスズメの分まで遊んであげる。
vo_adv_1025010_105.m4a|気にしなくていいのよ。さ、行きましょ。なにして遊ぶ？
vo_adv_1025011_002.m4a|お、お馬さんごっこ……いいわよ。
vo_adv_1025011_005.m4a|待って待って。さすがに二人も乗せて歩けないんだけど……！
vo_adv_1025011_007.m4a|そ、そうなの？　タフなのねあの子…………分かった。あたしも覚悟を決めるわよ……！
vo_adv_1025011_092.m4a|そう。スズメは元気なのね。
vo_adv_1025011_093.m4a|……よかったわ。
vo_adv_1025011_094.m4a|でも、スズメがそんなことを言ってたなんてね。
vo_adv_1025011_095.m4a|バカ、そんなわけないじゃない！って、今すぐ言いに行きたい気分だけど……
vo_adv_1025011_096.m4a|それじゃ、きっとあの子の中では解決しないわよね。まったくあの子ったら……
vo_adv_1025011_097.m4a|子どもたちも寂しがってるじゃない。仕方のない子だわ、本当に。
vo_adv_1025011_098.m4a|……そう、ね。
vo_adv_1025011_099.m4a|きっかけは用意してたつもりだったけど……時間が解決してくれる、なんていうのは、何もしないことを正当化するいいわけみたいなものよね。
vo_adv_1025011_100.m4a|分かったわ。じゃあ、少し待っててもらえるかしら。
vo_adv_1025011_101.m4a|あんたには色々とお願いしちゃって悪いけど、最後に一つだけ、頼まれてもらえるかしら。
vo_adv_1025011_102.m4a|……ちょっと、荒療治にはなるけどね。
vo_adv_1025012_036.m4a|…………
vo_adv_1025012_038.m4a|メイドの募集を見てきてくれたのよね？
vo_adv_1025012_041.m4a|だったら、実技形式で見せてもらえるかしら。……ちょうど、家事もたっぷりと溜まってるのよね。
vo_adv_1025012_045.m4a|お皿洗いからよろしくね。
vo_adv_1025012_049.m4a|……うん。じゃあ、次は床掃除を頼めるかしら。
vo_adv_1025012_053.m4a|……よし。じゃあ次は……そうね。冷たいお茶でも入れてもらえるかしら。
vo_adv_1025012_058.m4a|…………
vo_adv_1025012_060.m4a|ふぅ。
vo_adv_1025012_062.m4a|まったく。最後の最後で、やってくれたわね。……スズメ。
vo_adv_1025012_064.m4a|ちょっと待ちなさい、スズメ。──合格よ。
vo_adv_1025012_066.m4a|どうしたの？あんたを雇うって言ってるのよ。あたしのメイドとして働いてちょうだい。
vo_adv_1025012_067.m4a|元々クビにしたつもりなんてさらさらないけどね。
vo_adv_1025012_069.m4a|来ないわよ。だってその応募用紙、一枚しかないもの。
vo_adv_1025012_071.m4a|その一枚しか作ってないの。あんた専用よ、大事になさい。
vo_adv_1025012_074.m4a|そ。こいつに協力してもらって、あんたがここに来るきっかけを作ってもらったのよ。
vo_adv_1025012_076.m4a|はぁ～……あのね、スズメ。いつあたしがいいメイドが欲しい、なんて言ったの？優秀で、ドジをしないメイドが欲しいなんて言ったかしら？
vo_adv_1025012_078.m4a|失敗することなんてどうだっていいのよ。壁を壊そうが、床に穴を開けようが、お皿を割ろうが、それこそ食器棚を丸ごと倒したってね……まぁそこまではありえないか。
vo_adv_1025012_079.m4a|うちに……あたしに必要なのは、ドジで、抜けてて、危なっかしくて。だけど一生懸命で、よく気が利いて、近くにいるだけで笑顔になれる。
vo_adv_1025012_080.m4a|……そういうメイドよ。
vo_adv_1025012_082.m4a|っとと。もう、また転びそうになってるじゃない。
vo_adv_1025012_085.m4a|ああ、これね。……ほら。
vo_adv_1025012_086.m4a|これで元通り、ね。
vo_adv_1025012_089.m4a|かけらが足りなかったら、捜しに来なきゃでしょ？……ここに。
vo_adv_1025012_091.m4a|破片を貸してくれって言いだした時点で、直そうとするのは分かってたからね。きっとこいつならそうするだろうって。
vo_adv_1025012_092.m4a|それで捜しに来たところを捕まえて、かる～く説教しておしまい、のつもりだったけど……
vo_adv_1025012_093.m4a|なかなか戻ってこないんだもの。やきもきさせられたわよ？
vo_adv_1025012_095.m4a|はぁもう。こんなことならやっぱり、無理やりにでも連れ戻しておくんだったわ。
vo_adv_1025012_097.m4a|ふふ。……おかえり、スズメ。
vo_adv_1025012_099.m4a|あ～、ところでスズメ？……一つ、確認しておきたいことがあるんだけど。
vo_adv_1025012_101.m4a|今まで、ずっとこいつと一緒にいたのよね。
vo_adv_1025012_103.m4a|……あたしに仕えるより、楽しかったんじゃない？
vo_adv_1025012_105.m4a|思いっきり動揺してくれたわね。はぁ～……そっかぁ。そうよねぇ。そいつ、優しくて頼りになるしねぇ。
