vo_adv_1220001_000.m4a|あ、{player}さん、こんにちは。お待ちしていました。
vo_adv_1220001_006.m4a|そこで私が呼ばれたんです。幽霊船を捕まえるために力を貸してほしいと。
vo_adv_1220001_007.m4a|それに今回の依頼には、あなたのお力を借りた方がいいと占いで出ましたので。
vo_adv_1220001_013.m4a|……占いの結果が出ました。このまま北北西に針路を取っていただければ、目的の船に出会えるかと思います。
vo_adv_1220001_014.m4a|ただ、まだぼんやりと存在を感じる程度なのでかなり距離があるとは思いますが。
vo_adv_1220001_018.m4a|もう、お父さん。失礼でしょ。
vo_adv_1220001_021.m4a|お気遣いありがとうございます。{player}さん、ここはお言葉に甘えて、休ませてもらいましょうか。
vo_adv_1220001_022.m4a|ふぁぁ……あ、すみません。依頼の準備に明け方までかかってしまって、少し寝不足なんです。
vo_adv_1220001_023.m4a|このまま長丁場になるのなら、少し仮眠を取った方がいいかもしれませんね。
vo_adv_1220001_024.m4a|あなたもよければどうですか？このベッド、ふわふわしてて寝心地いいですよ。
vo_adv_1220001_025.m4a|あ、あの……{player}さん？
vo_adv_1220001_027.m4a|その、私が言ったのは……二段ベッドですから、空いている上の方でという意味で……
vo_adv_1220001_028.m4a|あなたが嫌でなければ……ご一緒でも構いませんけれど……うぅ。
vo_adv_1220001_031.m4a|あ…………
vo_adv_1220001_032.m4a|……い、いえ。何でもないです。おやすみなさい。
vo_adv_1220001_033.m4a|おはようございます。ゆっくり眠れましたか？
vo_adv_1220001_034.m4a|え、えっと、その……ちょっと目が冴えてしまったので、幽霊船の位置を占っていました。
vo_adv_1220001_035.m4a|今ちょうど結果が……こ、これは！
vo_adv_1220001_036.m4a|きゃああああっ！？
vo_adv_1220001_038.m4a|甲板の方で何かあったみたいですね。{player}さん、行きましょう。外の様子が気になります。
vo_adv_1220001_042.m4a|どいてくださいっ！！
vo_adv_1220001_045.m4a|っ……この感じは……あなたが……幽霊船の船長ですね。
vo_adv_1220001_047.m4a|私たちは、みなさんの旅を終わらせに来ました。
vo_adv_1220001_050.m4a|くぅっ……！　あの、私たちの話を──
vo_adv_1220001_053.m4a|これは{player}さんの力……！これなら……！
vo_adv_1220001_055.m4a|すみません、少し大人しくなってもらいます……！やああぁーーーーっ！！
vo_adv_1220001_059.m4a|これでみなさん揃ったみたいですね。
vo_adv_1220001_061.m4a|無駄というのは？
vo_adv_1220001_069.m4a|だから、私が呼ばれたんです。
vo_adv_1220001_071.m4a|この場にいるみなさんの……長い旅を終わらせるために。
vo_adv_1220001_072.m4a|ありがとうございます、{player}さん。儀式の準備まで手伝ってもらって。
vo_adv_1220001_073.m4a|私が受けた依頼は、幽霊船の捜索。そして──
vo_adv_1220001_074.m4a|彷徨える幽霊たちの解放だったんです。
vo_adv_1220001_076.m4a|平和的にお話で解決できればと思っていたんですが、状況が状況だったので、戦うことになっちゃいましたけど。
vo_adv_1220001_077.m4a|それが強い者に従うという彼らの流儀に沿っていたみたいで。結果的に、話もすんなりと聞いていただけました。
vo_adv_1220001_078.m4a|聖水を盆に、清めの火を焚いて……星辰も正しい位置に来ていますね。
vo_adv_1220001_079.m4a|これで準備が整いました。{player}さん、私に強化をお願いします。
vo_adv_1220001_080.m4a|星の導きよ、安らぎを抱く母なる海よ。彷徨える者の罪に赦しを、かの者たちの魂に安らぎを──
vo_adv_1220001_083.m4a|みなさんと幽霊船に巣食っていた澱みを祓いました。これで、もうこの船に縛り付けられることもないはずです。
vo_adv_1220001_089.m4a|分かりました。まだ星辰の位置が変わらないうちにみなさんを送ってしまわなくてはいけないですから。
vo_adv_1220001_095.m4a|それを言うならお父さんもじゃない。{player}さんにばかり無茶言わないで。
vo_adv_1220001_096.m4a|でも、確かに分担した方が良さそうですね。ずいぶん霧が出てきてますし……
vo_adv_1220001_097.m4a|占いでナビゲートしますので、私の示した方向に進んでもらえますか？疲れた時には、私が代わりに漕ぎますから。
