vo_adv_1211001_007.m4a|こんにちは。あの、{player}くんはいるかしら？
vo_adv_1211001_009.m4a|ええっ！？　ずっと眠りっぱなしなの！？大丈夫かしら……あ、あの、迷惑でなければお見舞いしたいんだけど……
vo_adv_1211001_013.m4a|ええ、もちろん。
vo_adv_1211001_015.m4a|これ？　あ、気にしないで。なんでもないから、なんでも。
vo_adv_1211001_017.m4a|……こうしてキミの寝顔をまじまじ見るのって初めてかも。いつもは酔って寝ちゃった私が寝顔を見られる側なのにね。
vo_adv_1211001_018.m4a|もしキミがこのまま目覚めなかったら……う、ううん、そんな不謹慎なこと考えちゃダメよね！変なこと考えないようにしないと……！
vo_adv_1211001_019.m4a|……ダメ。考えないようにしようとすればするほど、ネガティブなことばっか想像しちゃう…………気分を変えるために、ほんの少しだけアレを……
vo_adv_1211001_021.m4a|うぃ～……ひっく。あ～、おはえんなさい～♪
vo_adv_1211001_023.m4a|私ね～{player}くんが起きるまでここで飲むことにしたから！うぇへへ～♪
vo_adv_1211001_025.m4a|やだ～！　帰りたくない～！彼に聞いてもらいたいこと、いっぱいあるもん！彼がいなきゃ私、仕事なんてやってらんないの！
vo_adv_1211001_026.m4a|ぐびぐび……ぷはぁ！……大人ってのはねぇ、大変なの！子供のあなたに、それがわかるぅ！？
vo_adv_1211001_028.m4a|あー、酷ーい！　雑にあしらったー！あーあ！　彼ならちゃんと話を聞いてくれるのにな～！
vo_adv_1211001_042.m4a|んぐんぐ……ぷはぁ！
vo_adv_1211001_045.m4a|あれぇ？　麦しゅわ、全部なくなっちゃったぁ？新しいの買ってこなきゃ……
vo_adv_1211001_047.m4a|むー、なによぉ！　ジャマする気ぃ！？こちとらねぇ、麦しゅわと{player}くん以外に、人生にやすらぎ感じらんないのよぉ！　ジャマするならぁ……！
vo_adv_1211001_053.m4a|やった、麦しゅわ、麦しゅわ～♪麦しゅわが私を待ってるわ～！
vo_adv_1211001_101.m4a|あのう……ごめんなさい。
vo_adv_1211001_103.m4a|その反応……やっぱり私、迷惑かけちゃってたみたいね……実はさっき、道端で目が覚めたんだけど……それまで何やってたかあんまり覚えてなくって……
vo_adv_1211001_104.m4a|ほ、本当にごめんね！？　彼以外の前で、変なところ見せないようにしてたのに……もしこのまま目覚めなかったらと思うと、つい飲み過ぎて……
vo_adv_1211001_105.m4a|彼は私にとってもかけがいのない人だから……今度、改めてみんなとお見舞いに来るわ。それじゃあ……
vo_adv_1222001_000.m4a|よし、こっちの案件はこの書類でおしまい！次は……はぁ、この取引か～
vo_adv_1222001_001.m4a|どう考えても桁を間違えてるわよね、この発注数……ううん、これも今週中に確認を入れないと。あとあと面倒なことに──
vo_adv_1222001_002.m4a|えっ？　ああ、キミか……今日は配達のバイト？　ありがと、ごくろうさま。
vo_adv_1222001_003.m4a|でもごめんなさい、今ちょっと手が離せないから……受け取りは他の誰かにお願い。じゃ、よろしくっ！
vo_adv_1222001_006.m4a|ううん、こっちの資料は来週の頭までだけど、週末に催促が来るかもだし……よし、今やっちゃいましょ！
vo_adv_1222001_011.m4a|──タマキさん？　聞こえてるわよ。そんなに休みたいなら役所手続きにでも行ってもらおうかしら。待ち時間にたっぷり休めるわよ～？
vo_adv_1222001_013.m4a|そう？　じゃ、外回りを頼むわね。この商材、なるはやで届けてって先方から言われてるから。よろしく。
vo_adv_1222001_018.m4a|ちょ、ちょっとタマキさん、肝心の商材を忘れてるわよ！？待ちなさいってば～！
