vo_adv_1036009_000.m4a|あ、{player}さんじゃないですか。こんにちは、今日はいいお天気ですね。
vo_adv_1036009_001.m4a|ご機嫌そうだねって……分かりますか？明日、学校で身体測定をするんです。
vo_adv_1036009_002.m4a|いくら記憶がない{player}さんでも、身体測定は分かりますよね？……どうして首をひねるんですか。
vo_adv_1036009_003.m4a|もう、仕方がない人ですね。私が教えてあげます。
vo_adv_1036009_004.m4a|身体測定というのは、定期的に身長や体重を測って、前からどのくらい成長したかを知るためのものなんです。
vo_adv_1036009_005.m4a|ど、どういたしまして。これくらい、当たり前のことですから。もっと分からないことがあったら何でも聞いてくださいね。
vo_adv_1036009_006.m4a|むっ。なんか子ども扱いしてませんか？気のせい？　ならいいんですけど……
vo_adv_1036009_007.m4a|って、なに自然に頭をなでてるんですか！
vo_adv_1036009_008.m4a|もう。私の方が物知りなんですから、子ども扱いしないでほしいです。
vo_adv_1036009_009.m4a|でもこんな風に子ども扱いできるのも今のうちですから、大目に見てあげますけど。
vo_adv_1036009_010.m4a|どうしてって……決まっています。私の身長がぐんぐん伸びて、{player}さんの手なんか届かなくなっちゃうからです！
vo_adv_1036009_011.m4a|なんですかその優しげな目は！さては信じてませんね！？
vo_adv_1036009_012.m4a|なら、明日またここに来てください！身体測定で私がどれだけ成長したか教えてあげますから！
vo_adv_1036009_013.m4a|牛乳もちゃんと飲んでるし、好き嫌いも、ちょっとだけ克服できましたし！……これは{player}さんのおかげでもありますけど。
vo_adv_1036009_014.m4a|お母さんだって、子どもの成長はあっという間だって言ってたんですから！
vo_adv_1036009_015.m4a|{player}さんの身長なんてすぐに追い越して、今度は私があなたをナデナデしちゃいますからね！
vo_adv_1036009_016.m4a|……はぁ。
vo_adv_1036009_017.m4a|あ……来てしまったんですね。約束の時間通り……今日は遅刻しなかったんですね。遅刻してもよかったのに……
vo_adv_1036009_018.m4a|ええっと、今日は何の約束でしたっけ？またかくれんぼしますか？それとも、ピクニックに行きましょうか！
vo_adv_1036009_019.m4a|あぅっ……！
