vo_adv_2107002_052.m4a|──ミクマ流剣術・陣風ッ！
vo_adv_2107002_062.m4a|君たちが今日この日、荒事を起こすということは、すでに情報があがっていた。いかに人手不足の我々といえど、それなりの準備をさせてもらったよ。
vo_adv_2107002_079.m4a|あいつ！味方を盾にしてっ！？
vo_adv_2107003_040.m4a|追いついたっ！もう逃がさないよ、ゴウシン議長！
vo_adv_2107003_045.m4a|あとは、君たちだけだよ……！
vo_adv_2107003_049.m4a|──たっ！
vo_adv_2107003_051.m4a|話はもういいかな？手下たちもやっつけたし、そろそろ本命を捕らえさせてもらうよ！
vo_adv_2107003_055.m4a|マツリちゃんっ！？
vo_adv_2107003_059.m4a|全身マジックアイテムだらけの、豪華装備みたいだね……！
vo_adv_2107003_062.m4a|確かに、装備は強力だ……
vo_adv_2107003_065.m4a|うん！ジュンさんの鎧みたいな信念も、まったく感じない！要するにっ──
vo_adv_2107003_067.m4a|そんな鍛錬の足りない拳で！汚れた野望を、掴ませたりはしないってことだよ！
vo_adv_2107003_068.m4a|ミクマ流奥義──阿修羅っ！！
vo_adv_2107003_077.m4a|えーっと……クレジッタさん？一応、協力してくれたってことでいいのかな。
vo_adv_2107003_081.m4a|物陰……？
vo_adv_2107003_088.m4a|えっ？見ていた、ってことはジュンさん……
vo_adv_2107003_093.m4a|あれっ？姫様たちも。
vo_adv_2107003_103.m4a|そうだったんだね。それじゃあ、さっきはもう少し手加減するべきだったかな……
vo_adv_2107003_107.m4a|えっと。それじゃあ君も私たちと同じで、ランドソルとユースティアナ陛下に忠誠を誓う臣下……ってことでいいのかな。
vo_adv_2107003_124.m4a|えーっと、ちょっと邪魔しないでおこうねマツリちゃん。
vo_adv_2107003_134.m4a|人数が多いから、牢屋がすし詰めになっちゃいそうだけど……そこは、我慢してもらうしかないね。
vo_adv_2107003_151.m4a|でもそれじゃ、陛下は針の筵に座り続けることになるんじゃ……
vo_adv_2107003_164.m4a|……ジュンさん。
vo_adv_2107003_167.m4a|この国を守るために、私たちの力を使ってください。気兼ねなく、なんなりとご命令を。
vo_adv_2107003_173.m4a|クレープっ？任務をしながら、ですか……？
vo_adv_2107003_181.m4a|そうですね。恐怖政治に加担させられるよりは、よっぽど楽しくてやりがいのある命令です。
vo_adv_2109003_064.m4a|ここから先は、行かせないよ！
vo_adv_2109003_068.m4a|君たちの真の狙いは、七冠……覇瞳皇帝だね。なら、王宮に来た君が本命ってことさ！
vo_adv_2109003_073.m4a|{player}くんたちが戻るまで、ここで食い止める……！
vo_adv_2109003_081.m4a|ジュンさんは！？
vo_adv_2109005_029.m4a|カヤさんに、イノリさんっ！？それに……！
vo_adv_2109008_015.m4a|そうだね、マツリちゃん。もう動けないなら、拘束してしまえばいい。
vo_adv_2109008_082.m4a|そうですね。全力で支える甲斐があるというものです。
vo_adv_2109009_009.m4a|……気をつけて。あいつ、普通じゃないよ……！
vo_adv_2109009_053.m4a|やっぱりあの人は、信頼できないっ……
vo_adv_2109009_086.m4a|君たちの事情は知らないけど……内輪揉めは、そこまでにしてもらいたい。
vo_adv_2109009_108.m4a|い、ったた……
vo_adv_2109010_037.m4a|再会……？
vo_adv_2109010_102.m4a|彼のことが目的、って……
vo_adv_2109011_014.m4a|くそっ、よくも！
vo_adv_2109011_016.m4a|でもッ──
vo_adv_2109011_131.m4a|ぅ、ぅぅっ……
vo_adv_2109012_044.m4a|くうっ……！
vo_adv_2109012_063.m4a|おかしいのは、彼女だけじゃない。あっちも……
vo_adv_2109012_069.m4a|そいつらは、王都の平和を乱す敵だよ！君だって、【王宮騎士団（NIGHTMARE）】の一員だろう……！
vo_adv_2109012_076.m4a|陛下っ！
vo_adv_2109012_141.m4a|もちろん……私たちもお供させてもらいますからね、ジュンさん。
vo_adv_5084003_147.m4a|ジュンさん。
vo_adv_5084003_149.m4a|陛下のこと……彼女に伝えなくていいんですか？
vo_adv_5084003_153.m4a|やっぱりそう、ですよね……このことを知ってるのって、まだ一部の王宮関係者と、私たち【王宮騎士団（NIGHTMARE）】くらいなんですよね。
vo_adv_5084003_157.m4a|分かりました、ジュンさん。……でも、個人的に{player}さんのお見舞いに行くくらいは、大丈夫ですよね？
vo_adv_5084635_000.m4a|……こんな冗談、全然笑えないよ。話したいことがたくさんあるんだ。早く目を覚ましてほしいな……
vo_adv_5084635_001.m4a|……なんて、弱気になってる場合じゃないよね。ただ待ってるだけじゃ私らしくないって、きっとあなたは言うだろうね……
vo_adv_5094001_036.m4a|あれ？　ジュンさん……？
vo_adv_5094001_040.m4a|えっと……今日、予定休でしたよね？人員に不足はありませんし、どうして仕事をしているのかなって……
vo_adv_5094001_042.m4a|…………
vo_adv_5094001_044.m4a|……ジュンさん。ちょっといいですか？
vo_adv_5094001_048.m4a|では、この欄に申請のサインをしてください。
vo_adv_5094001_054.m4a|やれやれ……休暇の許可はしたことがあっても、申請をしたことがないなんてね……
vo_adv_5094001_056.m4a|はあ……有給が溜まりすぎですよ。しかも、今日みたいに予定休も無断出勤していたなんて……
vo_adv_5094001_059.m4a|毎日休まず働いて鍛錬を積んでいる……なんて、言わないでくださいね。
vo_adv_5094001_061.m4a|この機会にしっかりと休んでもらいますからね。もし休みの間に、緊急時以外で仕事をしているところを見つけたら、陛下に報告させてもらいますよ。
vo_adv_5094001_062.m4a|私とマツリちゃんはともかく、他の団員たちに示しがつきませんから……
vo_adv_5094001_067.m4a|うん。例えば……なにをして過ごせばいいか分からない……とか？なんてね、くすっ。
vo_adv_5094001_072.m4a|えっと……私は冗談のつもりで言ったんだけど……
vo_adv_5094001_074.m4a|う～ん……せっかくの休みなんだし、どこか静かなところで、ゆっくり過ごしたらいいんじゃないですか。
vo_adv_5094002_048.m4a|やあ、今日はどうしたんだい？
vo_adv_5094002_050.m4a|はぁ……飲んだくれエルフに、友達のいないエルフ……？う〜ん……目撃情報は、うちには来てないね。
vo_adv_5094002_052.m4a|そうそう。ジュンさんみたいにね。まあ、あれは私たちが休ませたみたいなものだけど。
vo_adv_5094002_053.m4a|あなたには言ってなかったね。今ジュンさんは珍しく休暇中なんだ。溜まりに溜まった有給を消化するためにね。
vo_adv_5094002_055.m4a|今は、山奥のキャンプ場でのんびりと過ごしている頃かな？そうしていてほしいと、心から思うよ……
vo_adv_5094003_090.m4a|あなたには言ってなかったね。今ジュンさんは珍しく休暇中なんだ。溜まりに溜まった有給を消化するためにね。
vo_adv_5094003_091.m4a|今は、山奥のキャンプ場でのんびりと過ごしている頃かな？そうしていてほしいと、心から思うよ……
vo_adv_7021000_000.m4a|ここにあなたの記憶の手がかりが……初めて来たけど、想像していたよりずいぶんと高い塔だね。
vo_adv_7021000_002.m4a|どこに行くんですか？　塔はこっちですよ。
vo_adv_7021000_006.m4a|…………
