vo_adv_1040009_000.m4a|HEY　YO！　私！　前途洋々！ニューフレンド！　自然とあがる抑揚！
vo_adv_1040009_001.m4a|それもこれも全部おまえと！友達になれたからなんだYO！
vo_adv_1040009_002.m4a|HEY　YO　WOW　WO～W♪私たちマブダチ尽きない話題　WOW　WOW　YEAH～♪
vo_adv_1040009_003.m4a|ひゃあああ～っ！？{player}さん！？
vo_adv_1040009_004.m4a|い、いらっしゃってたんですね！すみません、気付いてなくて……！
vo_adv_1040009_005.m4a|実は以前一緒にテーマソングを作って以来、ラップにハマってて……
vo_adv_1040009_006.m4a|団長さんと友達になれて、うれしくて……その気持ちがパッションとなってほとばしって、新作ができてしまったので、つい口ずさんじゃってました……！
vo_adv_1040009_007.m4a|タイトルも考えたんですよ！名付けて『ニュー・ＢＢ団友達賛歌』……！
vo_adv_1040009_008.m4a|『ニュー』には『新しい』という意味だけでなく友達を得て禁断の領域へ『入』ったという意味も掛けてて、そこはかとないかわいげも感じられる会心のネーミングなんです！
vo_adv_1040009_009.m4a|……って、すみません。一方的に話しちゃって。友達と話せることがうれしくて、つい舞い上がっちゃって……！
vo_adv_1040009_010.m4a|………………………………………………………………
vo_adv_1040009_011.m4a|…………えへへ。
vo_adv_1040009_012.m4a|いえ、私とあなたが本当に友達になれたんだなって実感できて、改めてうれしくなっちゃって。
vo_adv_1040009_013.m4a|だって、今みたいに会話が続かない時って、焦って変なことを口走ったりしちゃうじゃないですか。
vo_adv_1040009_014.m4a|でも、あなたが相手ならそんな私も受け止めてもらえる気がして、安心して次になにを話せばいいのか考えられるので。そういうのって、とても友達だなって気がして……えへへ。
vo_adv_1040009_015.m4a|あっ、そうです！せっかく友達になれたんですし、なにか友達らしいことをしませんか！？
vo_adv_1040009_016.m4a|えっと……そうですね…………
vo_adv_1040009_017.m4a|あやとり……はいつもしてますし……しりとり……は悪くないですけど……もっと友達っぽいのがいいですよね……？
vo_adv_1040009_018.m4a|その……私から言い出しておいてこんなこと言うのも変な話ですけど……友達ってどういうことをするんですかね……？
vo_adv_1040009_019.m4a|友達同士ですること……友達……友達……
vo_adv_1040009_020.m4a|あっ、そういえば！王様ゲーム！　王様ゲームがやりたいです！
vo_adv_1040009_021.m4a|友達が集まって、わいわいやるゲームの定番だとどこかで聞いた覚えがあります！
vo_adv_1040009_022.m4a|実は……以前一人でやろうとして失敗してしまったのですが……でも、{player}さんという友達ができた今なら、きっとできると思うんです！
vo_adv_1040009_023.m4a|ではさっそく始めましょう！こんなこともあろうかと、くじは準備してありますので！ささ！　こちらをどうぞ！
vo_adv_1040009_024.m4a|言われてみれば……ルール的にはそうかもしれませんね……でも、今の私たちなら、なんとかできるんじゃないかと思うんです！やってみましょう！
vo_adv_1040009_025.m4a|それじゃあ、どちらかを選んでください！右にしますか？　それとも左にしちゃいますか……？
vo_adv_1040009_026.m4a|おおっ！　右にするんですね！いやぁ～、お目が高い！これで私がなにか一つ命令を……！
vo_adv_1040009_027.m4a|ええっ……！？や、やっぱり左にする……？そ、そんなぁ……
vo_adv_1040009_028.m4a|ほ、本当に左でいいんですか……？いいんですね……！？　絶対に後悔しませんね……！？わ、わかりました……
vo_adv_1040009_029.m4a|うぅ……では、いきますよ……！王様だ～れだ……っ！？
vo_adv_1040009_030.m4a|そんなぁ……何回やっても王様になれませんでした……団長さん、強すぎますよぉ～……！
vo_adv_1040009_031.m4a|え……？どっちが当たりなのか、全部表情に出てた……！？な、なんということでしょう……！？
vo_adv_1040009_032.m4a|さすがＢＢ団の団長さん、見事な観察眼という他ありません……！団長さんが私の顔をじっと見ていた時に気付けなかった、私の完敗です……！
vo_adv_1040009_033.m4a|でも……ずっと負け続けちゃいましたし、いっぱい罰ゲームもしましたけど、思った通り、とても楽しいゲームでした！
vo_adv_1040009_034.m4a|これもきっと、団長さんのおかげですね！ありがとうございます！明日からもまた、よろしくお願いしますね！　それでは！
vo_adv_1040009_035.m4a|あっ、{player}さん！あの後一人で練習していたんですけど、王様ゲームって本当に奥深いですね！
vo_adv_1040009_036.m4a|私はまだまだ王様ゲームを極めたとは言えないレベルですので、敵わないとは思いますけど……いつかまたリベンジさせてくださいね！
vo_adv_1040009_037.m4a|ところで……もしよければ今日はビンゴゲームがしたいです！
vo_adv_1040009_038.m4a|以前からしてみたくて、いろいろと景品を用意していたんです！私がこれまでに作ってきた詩集や、ミニマイフレンドくんなど、ラインナップも充実してます！
vo_adv_1040009_039.m4a|ビンゴカードもちゃんと準備してありますので！さっそく始めましょう！
vo_adv_1040009_040.m4a|{player}さん！今日は二人でビーチベースボールをしませんか！
vo_adv_1040009_041.m4a|ハツネさんに聞いてからずっと興味があったのですが……友達がいないとできない遊びだったので……でも、いまならできるんじゃないかと思って……！
vo_adv_1040009_042.m4a|……あれ？なんだか難しい顔をしていますね？どうかしましたか？
vo_adv_1040009_043.m4a|ハッ……！もしかして、ビーチベースボールはあまり好きじゃなかったとか……？
vo_adv_1040009_044.m4a|すすす、すみません……！　すみません……っ！私としたことが、最近は自分のやりたいことばっかりで、{player}さんのことを考えられていませんでした……！
vo_adv_1040009_045.m4a|えっ……？友達だからその程度じゃ怒らない……？そ、そうでしたか……！　ほっ……よかったです～……！
vo_adv_1040009_046.m4a|それじゃあ、どうして難しい顔を？なにか考え事でも……？
vo_adv_1040009_047.m4a|言われてみれば……そうですね。
vo_adv_1040009_048.m4a|でも……私には、あなたというかけがえのない友達がもういるので……
vo_adv_1040009_049.m4a|たしかに、ＢＢ団を{player}さんが作った目的は友達を作ることでしたし、もっと友達が多ければできることも増えて楽しいんじゃないかとも思います。
vo_adv_1040009_050.m4a|でも……そんなの、私には高望みな気がしていて……それに、{player}さんと遊べるだけでも楽しいです。ぼっちとはバイバイできたように思うんです。
vo_adv_1040009_051.m4a|だから、無理してこれ以上友達を作らなくてもいいんじゃないかと……思うんですけど……
vo_adv_1040009_052.m4a|な、なんと……！？
vo_adv_1040009_053.m4a|ダメでしたか……これはこれで身の丈に合っているような気がしていたんですが……
vo_adv_1040009_054.m4a|ですが、これまでも{player}さんはＢＢ団の団長さんとしてずっと正しかったですし、今回もきっと私には見えていないなにかが見えているんですよね……！
vo_adv_1040009_055.m4a|わかりました……！　こうなったら友達として、ＢＢ団員として……！{player}さんについていきます！
vo_adv_1040009_056.m4a|お、おーっ！
vo_adv_1040010_000.m4a|ど、どどどどどどどど、どうしましょう……！？私みたいなぼっちが、街に友達を作りに行くなんて……
vo_adv_1040010_001.m4a|大丈夫でしょうか……？やっぱりぼっちだとバレた瞬間、みんなから石を投げられていじめられちゃったりするんでしょうか……？
vo_adv_1040010_002.m4a|落ち着くんだ、アオイ！こういう時は、深呼吸しながらてのひらに『エルフ』と書いて飲み込むとリラックスできるぞ！
vo_adv_1040010_003.m4a|そ、そうですよね……！ひっひっふ～……ひっひっふ～……それから……『エルフ』と書いて……ごっくん……！
vo_adv_1040010_004.m4a|ひゃあああ～～～っ！？ごめんなさいごめんなさいごめんなさいごめんなさい！お願いですから石は投げないでくださ～いっ！
vo_adv_1040010_005.m4a|ああ、団長さんでしたか……！すみません、街に行くと聞いて動揺してしまって……！心を落ち着けたくて『だいじょぶマイフレンドくん』と話してました。
vo_adv_1040010_006.m4a|やっぱり、行かなきゃダメなんでしょうか……？正直に言うと……とても怖いです……
vo_adv_1040010_007.m4a|街に行ったことがないわけじゃないですけど……目的があって仕方なく行ったことがあるという程度ですし……
vo_adv_1040010_008.m4a|どうしても人とすれ違う時には、絶対に目が合わないように、ほふく前進していたくらいですし……
vo_adv_1040010_009.m4a|それに、街に行っても友達ができるとは思えません。{player}さんと友達になれただけでも奇跡のようなものですから……
vo_adv_1040010_010.m4a|そんな友達作り検定10級くらいの私がさらに友達を増やすだなんて……まだ早すぎますよぉ！
vo_adv_1040010_011.m4a|うっ……！正論が痛い……！たしかに……そのとおりです。
vo_adv_1040010_012.m4a|それに{player}さんがそう言うからには、きっとなにかしらの意図があるのでしょうし……
vo_adv_1040010_013.m4a|わかりました……！怖いですが、がんばってみます……！
vo_adv_1040010_014.m4a|と、到着しちゃいました……それで、まずはなにをするんですか……？
vo_adv_1040010_015.m4a|ええ～っ！　いきなりですか！？
vo_adv_1040010_016.m4a|そそそ、そんなの無理ですよ！……ほんとうに……やらなきゃダメですか……？
