vo_adv_1029010_002.m4a|よければ私たちが相談に乗りますけど。
vo_adv_1029010_004.m4a|真の……？　難しいこと聞きますね。でも、私はノゾミはもう十分にトップアイドルだと思いますけど。
vo_adv_1029010_007.m4a|ス、スケールが大きすぎて卒倒しそうです……でも、沢山の人に歌を聴いてもらえるのは純粋にうれしいですね。
vo_adv_1029010_011.m4a|あ、お客さんみたいですね。はい、どちら様ですか？
vo_adv_1029010_015.m4a|あ、それなら聞いたことがあります。たしか神殿に舞台を設置して、そこで伝統音楽を演奏するんですよね。見たことはありませんが、かなり大がかりなものだと伺ってます。
vo_adv_1029010_022.m4a|……お話はよく分かりました。でも、どうして私たちなのでしょう？人気や実力のあるアイドルなら他にもいますし。
vo_adv_1029010_034.m4a|あ、ありがとうございます……でもこんな大舞台なんて……
vo_adv_1029010_045.m4a|……分かりました。ノゾミがそう言うなら、私も出演します。
vo_adv_1029010_047.m4a|はい。ここまで本気になったノゾミは止められませんし、それに私も見てみたいんです。ノゾミの目指す真のトップアイドルがどういうものなのかを。
vo_adv_1029010_065.m4a|お疲れ様ですツムギ……あれ、ノゾミはまだですか？
vo_adv_1029010_067.m4a|ええ、ノゾミ何だかハイになってるみたいで、大丈夫だって聞き流されてしまいました……
vo_adv_1029011_002.m4a|はい、しっかりと修正できてますよ。ね、ノゾミ？
vo_adv_1029011_004.m4a|ノゾミ？
vo_adv_1029011_007.m4a|はい。タイミングも動きもバッチリでした。気にすることないですよ。
vo_adv_1029011_010.m4a|いいものにしようという思いが強すぎて、何度やっても納得がいかないみたい……こうなるともう誰が言っても聞かなそうだし、一体どうしたら……
vo_adv_1029011_012.m4a|信頼しているあなたの言うことなら、ノゾミもきっと聞いてくれると思います。どうかよろしくお願いします。
vo_adv_1029012_006.m4a|カルミナファンも駆けつけてくれてますね。心強いです。……でもやはり普段の客層とはちょっと違いますね。
vo_adv_1029012_007.m4a|私たちではなく、『奉音祭祀』を見に来ている年配のお客さんです。私たちのファンではありませんから、厳しい目を向けられるかもしれません。
vo_adv_1029012_011.m4a|……あ！　あれを見てください！
vo_adv_1029012_020.m4a|分かりました。お願いします、ノゾミ。
vo_adv_1029012_058.m4a|ノゾミ、まだ一曲目ですよ！
vo_adv_1042009_000.m4a|長旅お疲れさまでした、{player}さん。もうすぐ目的地の村に着きますよ。
vo_adv_1042009_001.m4a|到着したらまずは村の代表にご挨拶して、それからリハーサルですね。
vo_adv_1042009_002.m4a|あ、はい。そう、ですね……
vo_adv_1042009_003.m4a|え？　緊張してるのかって？ふふ、あなたには隠しても分かってしまいますよね。
vo_adv_1042009_004.m4a|はい、ちょっとだけですけど。ランドソル以外でのソロ公演は初めてですから。
vo_adv_1042009_005.m4a|でも、大丈夫ですよ。緊張感はもちろんありますけど、今はそれ以上に楽しみなんです。
vo_adv_1042009_006.m4a|これまであなたと練習してきたこと、そして以前のソロライブの成功が、自信になっているのかも。
vo_adv_1042009_007.m4a|今日の公演が上手くいけばアイドルとして、そして唱喚士としてまた一歩成長できると思うんです。
vo_adv_1042009_008.m4a|絶対にいいステージにしますので、どうか最後まで見届けてくださいね。
vo_adv_1042009_009.m4a|着きましたね。のどかでいい雰囲気の村です。さっそく村長さんにご挨拶を──
vo_adv_1042009_011.m4a|えっ、な、なんですか！？
vo_adv_1042009_016.m4a|そ、それはうれしいのですが、何でしょう、圧がすごいといいますか……
vo_adv_1042009_018.m4a|えっと、あなたは……
vo_adv_1042009_020.m4a|い、いえ、こちらこそお招きいただき光栄です。あの、この歓迎ぶりは一体……
vo_adv_1042009_024.m4a|～～♪　……んん、もう一度、～～♪　……
vo_adv_1042009_025.m4a|……これじゃダメだ。～～♪
vo_adv_1042009_026.m4a|よくないといいますか……少し戸惑っています。
vo_adv_1042009_027.m4a|この村の人たちは、私が来るのを心の底から歓迎してくれています。一体、今日という日をどれだけ楽しみにしていたのか。
vo_adv_1042009_028.m4a|それを考えると、いつも以上に失敗はできないと考えてしまい、楽しみたいとか、そんな余裕は吹き飛んでしまいました。情けないですね、ほんと……
vo_adv_1042009_029.m4a|そうですよね。不安ならそれを振り払うくらい自信をつければいいんです。
vo_adv_1042009_030.m4a|そんな当たり前のことを忘れるくらい緊張してたんですね。恥ずかしい限りです……
vo_adv_1042009_031.m4a|でも、あまり時間もないし、休んでいる暇は……
vo_adv_1042009_032.m4a|ううん、こんな調子で続けてもいいことはありませんね。お菓子でも食べましょうか……
vo_adv_1042009_033.m4a|{player}さん、ありがとうございます。お話ししているうちに、少し落ち着いてきました。
