vo_adv_1209001_000.m4a|──な、なんじゃ、お主。もう来たのか？
vo_adv_1209001_001.m4a|まだ約束の時間には早かろう。ふふ、そんなにわらわに会いたかったのかのう？
vo_adv_1209001_002.m4a|しかしあいにく、まだ晴れ着の着付けが済んでおらぬ。今しばらくその場で目を塞いで待つがよい。
vo_adv_1209001_003.m4a|うむ、うむ。帯よし、髪型もよし……ふっ、完璧じゃな。
vo_adv_1209001_004.m4a|待たせたのう。もう目を開けてよいぞ。
vo_adv_1209001_005.m4a|ふふふふ……改めて目の当たりにしてみて、どうじゃ？わらわの晴れ着姿の感想は。
vo_adv_1209001_006.m4a|正月の縁起物の力で取り戻した、この真の姿に相応の……実に艶やかで、気品あふれるたたずまいであろう？
vo_adv_1209001_007.m4a|我ながら惚れ惚れする美貌、そして威容なのじゃ。これぞ、わらわの支配者としての格に相応しい装束と言えよう。
vo_adv_1209001_008.m4a|……ほれ、お主、なにを呆けておる。口にすべき気の利いた文句が、一つや二つと言わず、千や万はあるじゃろう？
vo_adv_1209001_009.m4a|いつもの、かわいいとか愛くるしいとか、そういうのでなく……もっとこう……あるじゃろ？　場に適した言葉がのう。
vo_adv_1209001_010.m4a|そうじゃろそうじゃろう、もっと褒め称えるがよいぞ♪わらわが絶世の美女であることなぞ、もはや言うに及ばぬ事実ではあるがのう。
vo_adv_1209001_011.m4a|聞き飽きた文句もしばらく耳にせぬと恋しくなるものじゃ。……今後も定期的に口にするよう心がけよ。
vo_adv_1209001_012.m4a|うむ！　お主、よく分かっておるではないか。いかにも、今のわらわは格好良くて、絢爛豪華なのじゃ。いつにも増してのう♪
vo_adv_1209001_013.m4a|この姿を目にすれば、民草たちもたちどころに膝を折り、わらわに忠誠を誓うことじゃろうな。
vo_adv_1209001_014.m4a|さて、このままわらわの艶姿を堪能させてやりたいところじゃが……
vo_adv_1209001_015.m4a|今回、お主を呼び立てたのはほかでもない。わらわはこれから、お主や【悪魔偽王国軍（ディアボロス）】の配下、愛する眷属たちのために、盛大な新年会を催すつもりなのじゃ！
vo_adv_1209001_016.m4a|今後の世界征服のため、この機会に眷属たちの士気を高め、わらわへの忠誠心をより強固なものとする計画じゃ。
vo_adv_1209001_017.m4a|そこでお主には、ランドソルへの買い出しを命ずる。……お主はわらわの一番の眷属なのじゃから、二つ返事で引き受けてくれるはずじゃろう？
vo_adv_1209001_018.m4a|な、なんじゃ、その子犬のような目は？わらわは支配者なのじゃから、そのような些末な事柄にはかまけていられぬ。
vo_adv_1209001_019.m4a|……し、しかし、お主がどうしてもと言うなら、まあ……
vo_adv_1209001_020.m4a|これはほんとうに仕方なく、しょうがなくじゃが……わらわ直々に買い出しに付き添ってやっても、別段やぶさかでは……ない。
vo_adv_1209001_021.m4a|じゃが、ちゃんとエスコートするのじゃぞ？眷属であるお主の振る舞いも、わらわの体裁に関わるのじゃからな。
vo_adv_1209001_022.m4a|……ほ、ほれ、わらわの手を取るがよい。エスコートの初歩中の初歩であろう。
vo_adv_1209001_023.m4a|んっ。……苦しゅうないぞ。
vo_adv_1209001_024.m4a|おっと……うかうかはしてられぬな。昼のうちに準備を済ませ、夜にはあやつらを盛大に迎えてやらねば。いざ、出発じゃ！
vo_adv_1209001_025.m4a|おお、賑わっておるのう。かき入れどき真っただ中という風じゃな。大した人出じゃ。
vo_adv_1209001_026.m4a|さて、ひとまずは雑煮に使う餅を確保せねばならぬな。この盛況ぶりでは、いつ売り切れてもおかしくなさそうじゃ。
vo_adv_1209001_027.m4a|ほう、早速か。さすがわらわの眷属、目がよいのう。……ん？　どの店の話をしておる？手近な店先にはそれらしいものが見当たらぬが……
vo_adv_1209001_029.m4a|ほほう、餅つき会。なるほど、そんな催しが……ただ列に並んでおるだけで餅が手に入る、というわけじゃな？これは好都合じゃな。わらわたちも行ってみるのじゃ。
vo_adv_1209001_030.m4a|……むぅ、いったいどうしたというのじゃ？列がまったく進まなくなってしまったぞ……
vo_adv_1209001_035.m4a|ふふ、言うと思ったのじゃ。お主はほんとうにお人好しじゃのう。
vo_adv_1209001_036.m4a|望むままにするがよい。民草に寄り添い、ときには手を差し伸べるのも支配者の務めじゃ。
vo_adv_1209001_038.m4a|……へ？　カップル？カカカ、カップルじゃと！？
vo_adv_1209001_039.m4a|こ、こやつめ、ははははは……なにを申すか……カ、カップルじゃなどと……わらわたちは主人と眷属であって、そのような浮ついた間柄では──
vo_adv_1209001_041.m4a|う、うむ、少々であれば構わぬ。我が眷属、お主らに貸し与えてやろうではないか。
vo_adv_1209001_042.m4a|──そら。またひとかたまり、つきあがったぞ。持っていくがよい。
vo_adv_1209001_044.m4a|だいぶ列が短くなってきたではないか。もうひと頑張りじゃぞ。
vo_adv_1209001_045.m4a|なんじゃ、あと少しじゃというのに。
vo_adv_1209001_046.m4a|仕方あるまい、わらわも手を貸してやろう。この真の姿であれば、多少の力仕事なぞ造作もない。
vo_adv_1209001_047.m4a|さあ、わらわに息を合わせよ。こういった共同作業は互いの呼吸が肝心じゃからな。
vo_adv_1209001_048.m4a|うむ……うむうむ、その調子じゃ。このまま一気呵成につき終えてしまおうぞ♪
vo_adv_1209001_049.m4a|しかし……つい助け舟を出してしまったが、これは……か、体の距離が、近い……耳元にこやつの息が……はぅっ！
vo_adv_1209001_053.m4a|──ふふふ、夫婦ぅっ！？
vo_adv_1209001_054.m4a|あっ！？　いかん、臼のふちを打ってしまった……お主、腕を痛めはせんかったか？
vo_adv_1209001_055.m4a|う、うむ。こっちも大事ない、心配には及ばぬぞ。
vo_adv_1209001_056.m4a|今のはわらわが力みすぎてしまったようじゃの。次はちと加減する……しばし息を整えさせてもらおう。
vo_adv_1209001_059.m4a|こ、この老夫婦め……よくもまあ次から次へと、そんな甘ったるい言い回しが湯水のごとく出るものじゃな。……くっ、顔が熱い……
vo_adv_1209001_060.m4a|ええい、平常心、平常心じゃ。たかが冷やかしの文句に心を惑わされてはならぬ。深呼吸で平静を取り戻すのじゃ。すー、はー……
vo_adv_1209001_061.m4a|……よし、もう大丈夫じゃぞ。次はしっかり狙いを定めて打ち据えてくれる！
vo_adv_1209001_062.m4a|ふふ、そうじゃな。これも【悪魔偽王国軍（ディアボロス）】のみなのため、民草のため……ひいては世界征服のためじゃ。
vo_adv_1209001_063.m4a|列に並んでおる民草も残り少ない……このまま一気にさばき切ってしまおうではないか。
vo_adv_1209001_064.m4a|ゆくぞ、我が眷属よ！フルパワーで残りの餅をつきまくってやるのじゃ！
vo_adv_1209001_066.m4a|ぜーっ、はーっ、ぜー……う、うむ。まあ、この程度であればお安い御用というやつじゃ。……思ったよりかは重労働であったがの。
vo_adv_1209001_068.m4a|ふふん、未来の支配者たるわらわ自らついた餅じゃぞ。お主らは必ずや幸運にあやかれるであろう、喜ぶがよい。
vo_adv_1209001_070.m4a|そっ、そうじゃな……もうそういうことにしておくがよいわ……
vo_adv_1209001_071.m4a|はーっ、なにやら体が火照ってしょうがないのう。ひさびさに体を動かしたせいやもしれぬ……
vo_adv_1209001_072.m4a|へ、平気じゃ……こっ、こら、顔を覗き込むでないわ！
vo_adv_1209001_074.m4a|おお、ようやくじゃな。これだけあれば餅は十分じゃろう。雑煮にしても焼いて食うても事足りる。計画通りじゃ♪
vo_adv_1209001_075.m4a|おっと……とはいえまだ一品目じゃったな。まだまだ買い出さねばならぬ食材が山とあるぞ。さあ、次なる店へ赴くのじゃ。我が眷属よ！
vo_adv_1209001_076.m4a|……ほれ、なにをボサっとしておる。早く手を繋がぬか。わらわをエスコートする約束じゃろう？手を取るのは初歩中の初歩と言ったであろうに。
vo_adv_1209001_077.m4a|……うむ、それでよいぞ。優しく包むようにじゃ。ふふっ。
vo_adv_1209001_078.m4a|──よし、これにて新年会の準備、完了じゃな。お主もよく働いたのう、褒めてつかわすぞ。
vo_adv_1209001_079.m4a|餅つき会で手にした餅で、雑煮をたっぷり用意できた。ミヤコのために、プリン味の餅もこしらえてやったわ。
vo_adv_1209001_080.m4a|新年会でこの豪華な食卓をみなで囲めば……わらわの信望も青天井になることじゃろうな。
vo_adv_1209001_081.m4a|な、なんじゃ、また急に笑顔になりおって……別に……この程度は支配者を名乗るなら当然の行いじゃ。
vo_adv_1209001_082.m4a|お主や【悪魔偽王国軍（ディアボロス）】のみなの働きに相応の代価を用意してやったまでのこと……大したことではない。
vo_adv_1209001_083.m4a|わらわにも……？ふっ、眷属の身のほどで主人を労おうとは、なかなか見上げた心がけじゃのう。
vo_adv_1209001_084.m4a|支配者として、本来であればそのような言葉には甘えられぬが……眷属の気遣いを無下にするのも気が咎める。
vo_adv_1209001_085.m4a|ならば、お主の正月をわらわによこすがよい！
vo_adv_1209001_086.m4a|今日の買い出しは慌ただしかったからのう。後日改めて街へと赴き、とっくりとわらわをエスコートするのじゃ。
vo_adv_1209001_087.m4a|お主から言い出したのじゃから、二言はなかろう？……ふふ、約束じゃぞ♪
vo_adv_1209002_000.m4a|ふふ、改めて見ても大層な活気じゃ。こうしてお主と歩いておるだけで、さしものわらわも浮足立った気分になってしまうのう。
vo_adv_1209002_001.m4a|うん？　あの店で売られておるのは……玩具のたぐいか？ずいぶん種類があるんじゃな、どれも見慣れぬ形をしておる。
vo_adv_1209002_002.m4a|ほう、そんなものがあるのじゃな。とうに正月は制したものとタカをくくっておったが……
vo_adv_1209002_003.m4a|わらわの知らぬ正月の文化は、まだまだ多くあるようじゃ。この機会に見聞を深めておくとしようかの。
vo_adv_1209002_004.m4a|手始めに、お主、この玩具はなんというのじゃ？
vo_adv_1209002_005.m4a|ほうほう。この羽根というのを打ち返し合って遊ぶのじゃな？どれも風情のある絵柄があしらわれておるではないか。なかなか雅じゃ♪
vo_adv_1209002_006.m4a|古城にはまだ手つかずで殺風景な部屋もあるからのう、賑やかしに飾っておくのもよいやもしれぬ。
vo_adv_1209002_007.m4a|ではこっちの玩具は……すごろく、と書かれておるがの。しばし待つがよい、わらわがなにか当ててみせよう。
vo_adv_1209002_008.m4a|ふむ。ボードゲームのたぐい、ではないかの？……ふふ、当たりじゃな？　一目見てピンときたのじゃ！
vo_adv_1209002_009.m4a|ああいった遊びは子供らにはちと小難しいからのう、派手な装飾で目でも楽しめるよう工夫しておるわけじゃな。
vo_adv_1209002_010.m4a|【悪魔偽王国軍（ディアボロス）】のみなのために一つ買い与えてやるとするか。きっと喜ぶはずじゃ。
vo_adv_1209002_011.m4a|して、その横にあるこれは……うーむ、こっちは皆目見当がつかぬのう。お主、これはなんという玩具で──
vo_adv_1209002_012.m4a|って、なっ……！？　お主、あれを見よ！繁華街の真ん中を魔物が歩き回っておるではないか！？
vo_adv_1209002_013.m4a|なにゆえみな悠長にはしゃいでおるのじゃ！……いや、何やらあの魔物、動きが不自然なような……
vo_adv_1209002_014.m4a|ししまい？　……本物の魔物ではないのか。たしかに言われてみれば、下に人の足が生えておるな……なるほど、ハリボテのたぐいか。
vo_adv_1209002_015.m4a|……あれに頭を噛まれると邪気を祓ってくれて幸福が訪れる、じゃと？いったいどういう理屈でそうなるのじゃ。面妖なのは出で立ちだけではないようじゃの。
vo_adv_1209002_016.m4a|ふふ、お主、今しがた口を利いておる相手が誰か忘れたか。伝説の吸血鬼じゃぞ？わらわは噛む側であって噛まれる側ではない。
vo_adv_1209002_017.m4a|むしろわらわに首筋をひと噛みされるほうが、よほど幸運に恵まれるかもしれぬな。
vo_adv_1209002_018.m4a|どうじゃ、お主。年も明けたことじゃし、新年を祝してわらわに、こう……ひと噛みされてみるというのは──
vo_adv_1209002_020.m4a|な、なんじゃ、今の野太い悲鳴は？獅子舞……の、中身から聞こえたようじゃが……
vo_adv_1209002_021.m4a|むっ、路地裏に逃げてゆくではないか。何事かあったようじゃな……
vo_adv_1209002_022.m4a|あっ、こ、これ、お主！まさかあの獅子舞を追うつもりか？またそうやっていたずらに首を突っ込みおって……
vo_adv_1209002_023.m4a|今はわらわをエスコートしている最中じゃろうに……つくづく落ち着きのないやつじゃの～！
