vo_adv_1045009_000.m4a|ぐふふ～♪胸が高鳴ります～♪
vo_adv_1045009_001.m4a|はい～♪クウカの心を熱くする情報が手に入りまして……
vo_adv_1045009_002.m4a|ってド、ドＳさん！？いつの間にクウカの隣に！？
vo_adv_1045009_003.m4a|はっ！？　もしやドＳさんは、いつもクウカのそばにいるのですか！？『どんな時でもお前を見ているぞ』と……！そんな……クウカ、すべてを見られていたのですねっ！？
vo_adv_1045009_004.m4a|……偶然通りかかっただけ？あ、そうなのですか。ちょっと残念……
vo_adv_1045009_005.m4a|えっと、クウカがうれしそうに悶えていた理由ですよね？その、少し前に酒場で踊っているとき……珍しいアクセサリーの噂を聞いたのです。
vo_adv_1045009_006.m4a|なんでも、すごく刺激的なものなのだとか。
vo_adv_1045009_007.m4a|意外に思われるかもしれませんがクウカ、実はそういったアクセサリーに興味がありまして。
vo_adv_1045009_008.m4a|？　なにやら、深く頷かれてしまいました……
vo_adv_1045009_009.m4a|それでですね、今からその珍しいアクセサリーを取りに行ってみようかと思うのです。
vo_adv_1045009_010.m4a|本当はギルドの皆さんにも手伝ってもらおうかと思ったのですが、どなたもいなかったので、一人なのです……
vo_adv_1045009_011.m4a|しかし、燃え上がったクウカの体はもう、辛抱ならないのです……！
vo_adv_1045009_012.m4a|ちょっぴり危険な地下迷宮らしいのですが、クウカ、今から挑戦してきます……！
vo_adv_1045009_013.m4a|えっ？ドＳさんも、クウカと一緒に……？
vo_adv_1045009_014.m4a|も、もしや、罠に引っ掛かって抵抗できないクウカを遠くから眺めて楽しむつもり、とか……
vo_adv_1045009_015.m4a|……でも、ドＳさんに一緒に来てもらえるのはとても心強いです。是非、よろしくお願いします……！
vo_adv_1045009_016.m4a|ぐふふ……青々と茂った草原……なんという冒険日和でしょう……♪
vo_adv_1045009_017.m4a|そういえば、ドＳさんと二人きりでの冒険……久しぶりな気がしますね……
vo_adv_1045009_018.m4a|ドＳさんと初めて出会った時を思い出します……♪魔物討伐に一緒に来てほしいというお願いでクウカを人気のない場所へと誘い出したドＳさんは、あんなことやこんなことやそんなことを……♪
vo_adv_1045009_019.m4a|ひぇぇっ！？　聞いていたんですか！？いっ、言えるわけないじゃないですか……！ドＳさんの人格破綻者っぷりの数々、クウカの口からはとても～！
vo_adv_1045009_020.m4a|でも、どうしてでしょう。ドＳさんがいるだけで、クウカ、安心しています……
vo_adv_1045009_021.m4a|はっ！？　まさかこれは、クウカの身も心も飼いならそうという、ドＳさんの罠……！？
vo_adv_1045009_022.m4a|恐ろしいです……この冒険、クウカは耐えられるのでしょうか……！
vo_adv_1045009_023.m4a|ここが、噂で聞いた地下迷宮……
vo_adv_1045009_024.m4a|薄暗くて、ぼんやりとした明かりが妖しげで……ぐふふ♪
vo_adv_1045009_025.m4a|こんな場所でドＳさんと二人きり……これはもしや、とんでもないことが起きてしまうのでは……！？
vo_adv_1045009_026.m4a|えっ、えぇっ！？ドＳさん、突然マントを外すなんて……！
vo_adv_1045009_027.m4a|もしや、誰の目にも留まらない状況がドＳさんの欲望に火を点けて……！？
vo_adv_1045009_028.m4a|……あ、寒いから？マントを貸していただけるのですね、ありがとうございます……
vo_adv_1045009_029.m4a|この辺り、足場が濡れていますね……
vo_adv_1045009_030.m4a|はっ！　この状況、アレが起こりえます……！二人は足を滑らせ、お互いの体が絡み合い……！
vo_adv_1045009_031.m4a|あっ、はい……！
vo_adv_1045009_032.m4a|ドＳさんの手、温かいです……
vo_adv_1045009_033.m4a|奥の方まで入ってしまいましたね、ドＳさん……
vo_adv_1045009_034.m4a|ここまで、想像していたようなハプニングはありませんでした……ドＳさんのおかげで、順調です……
vo_adv_1045009_035.m4a|でも油断はできません！ドＳさんのことです、少しでもクウカが隙を見せたら──
vo_adv_1045009_036.m4a|ええぇっ！？
vo_adv_1045009_037.m4a|や、やっぱり、きましたっ！？この力強い抱擁、ドＳさん、完全にクウカを手中に～～～！？
vo_adv_1045009_038.m4a|あ、あのっ、ドＳさっ、その……！
vo_adv_1045009_039.m4a|お、お手柔らか、にぃ……
vo_adv_1045009_040.m4a|へっ？
vo_adv_1045009_041.m4a|……魔物がいるから、静かに？
vo_adv_1045009_042.m4a|あ、は、はい……
vo_adv_1045009_043.m4a|なんとか戦わずやり過ごせそう、ですね。
vo_adv_1045009_044.m4a|……ぐふふ。
vo_adv_1045009_045.m4a|あれからなんのハプニングもありませんね……クウカの心が、物足りなさを覚えています……
vo_adv_1045009_046.m4a|でも、どうしてでしょう。物足りないけれど……楽しいのは。
vo_adv_1045009_047.m4a|こうしてドＳさんと一緒に、同じ目的をもって冒険するのが……クウカは、楽しいのでしょうか。
vo_adv_1045009_048.m4a|そう考えると、クウカはなんだか……くすぐったい気持ちになります。
vo_adv_1045009_049.m4a|……あ。どうやら行き止まりのようですね。ということは、この辺りに……
vo_adv_1045009_050.m4a|ありました、祭壇です～！ここに、その刺激的なアクセサリーがあるらしいのですが……
vo_adv_1045009_051.m4a|た、確かに刺激的ですが……それはただの魔物の骨ではないでしょうか。ド、ドＳさんが着けろというのなら……クウカ、頑張りますが……
vo_adv_1045009_052.m4a|そ、そうなのでしょうか……？特に刺激的って感じはしませんが……
vo_adv_1045009_053.m4a|……あれ？祭壇の上に、何か載っていますね。
vo_adv_1045009_054.m4a|これって……指輪、でしょうか？
vo_adv_1045009_055.m4a|ただの指輪に見えますけど、これが、刺激的なアクセサリー……？
vo_adv_1045009_056.m4a|あっ、クウカの指にぴったり……
vo_adv_1045009_057.m4a|？　はい、特になんとも……
vo_adv_1045009_058.m4a|ひっ、ひぇえっ！？
vo_adv_1045009_059.m4a|ビリビリっとした刺激が、クウカの体を駆け抜けました～！？
vo_adv_1045009_060.m4a|ひゃああっ！？
vo_adv_1045009_061.m4a|まっ、間違いありません！指輪から発せられるこの痺れ……！これが、刺激的なアクセサリーです！
vo_adv_1045009_062.m4a|刺激的って、こういう意味だったのですね！クウカ今、とっても痺れてます～♪
vo_adv_1045009_063.m4a|えっ？あ……そうですよね。間違ってクウカ以外の人が着けてしまったら、大変ですよね。
vo_adv_1045009_064.m4a|少し残念ですが……元の場所に戻しておきましょう。
vo_adv_1045009_065.m4a|あ……あれ？
vo_adv_1045009_066.m4a|この指輪……外れません……！？
vo_adv_1045009_067.m4a|うぅんっ！？
vo_adv_1045009_068.m4a|ド……
