vo_adv_1168001_000.m4a|『タマキのたい焼き屋』、開店にゃ！食後のおやつに一ついかがかにゃ～？
vo_adv_1168001_003.m4a|まいどにゃ♪すぐに準備するにゃ！
vo_adv_1168001_004.m4a|ふっふっふ……これはうれしい悲鳴にゃ……お昼ご飯も食べられないぐらい繁盛するにゃんて……！
vo_adv_1168001_005.m4a|でも……これじゃ、午後から体が持たないにゃ……猫の手も借りたい気分にゃ……
vo_adv_1168001_006.m4a|いいのかにゃ！？　ううっ……ありがたいにゃ……！ん～！　たい焼きと一緒で、このシンプルさがたまらないにゃ……！
vo_adv_1168001_008.m4a|って味わってる場合じゃないにゃ！待っててにゃ！　今すぐたい焼きを焼くから──
vo_adv_1168001_009.m4a|……え？手伝うって……それは助かるにゃ！　あたしが作るから、{player}は注文を取ってほしいにゃ！
vo_adv_1168001_010.m4a|報酬はもちろん！たい焼きの賄いをお腹いっぱいごちそうするにゃ♪
vo_adv_1168001_011.m4a|{player}、ありがとにゃ！おかげでたくさん売れたにゃ！
vo_adv_1168001_012.m4a|でも……一人でできることは限られてるし、もっと効率よくたい焼きを作らないと厳しいにゃ。
vo_adv_1168001_013.m4a|これはついに、工場で学んだことを生かす時が来たにゃ……あたしが『自動たい焼きメーカー』を開発するにゃ！
vo_adv_1168001_014.m4a|仕事が終わったら、さっそくチャレンジにゃ！！
vo_adv_1168001_015.m4a|……ふぅ、今日もよく働いたにゃ。工場長から使用許可をもらったことだし、さっそく取り掛かるにゃ！
vo_adv_1168001_016.m4a|あれ？　どうして{player}がここにいるにゃ！？もう帰ったのかと思ってたにゃ。
vo_adv_1168001_017.m4a|そのやる気に満ちた顔……もしかして、また手伝ってくれるのかにゃ？さすがあたしの相棒にゃ♪　それなら歓迎するにゃ！
vo_adv_1168001_018.m4a|とはいえ、これはあたしの挑戦でもあるにゃ！{player}はアドバイザーとして、あたしをサポートしてほしいにゃ！
vo_adv_1168001_019.m4a|それじゃさっそく……とりゃりゃりゃりゃーにゃー！！
vo_adv_1168001_020.m4a|──というわけで、『ワンダーバッグニャン号・アルファ』完成にゃ！
vo_adv_1168001_021.m4a|ふっふっふ……見た目で判断したらダメにゃ。
vo_adv_1168001_022.m4a|説明するにゃ！　あたしが背負っているこのカバンは、中で勝手にたい焼きを焼いてくれるようになったにゃ！
vo_adv_1168001_023.m4a|つまり……ただの道具入れから、ランドソル初の自動たい焼きメーカーに進化したにゃっ！！
vo_adv_1168001_024.m4a|まぁ自動といっても、このリモコンで操作しないといけなくて……とにかく、たい焼きを作らせてみるにゃ！！
vo_adv_1168001_025.m4a|見てるにゃ。カバンの中で作られたたい焼きは、内蔵しているアームが取り出して、あたしに渡してくれるにゃ！　ほら、こんな風に……
vo_adv_1168001_026.m4a|……んん？アームがたい焼きを持ってこにゃい……？
