vo_adv_1169001_000.m4a|はーい、ちょっとお待ちいただけますかー？
vo_adv_1169001_001.m4a|あら、{player}くんじゃない。こんなところでどうしたの？
vo_adv_1169001_002.m4a|ああ、配達のお仕事なのね。ご苦労さま。
vo_adv_1169001_003.m4a|ええ、少し前からね。この工場で、子ども向けのおもちゃを作っているの。
vo_adv_1169001_004.m4a|前にキミと一緒に、リゾートの再生ビジネスをしたの、覚えてる？真夏のビーチで食材を探したり、温泉を掘ったり……
vo_adv_1169001_005.m4a|その時にマスコットになりそうなぬいぐるみも作ったでしょ？ペロペロセラピーに使うペロペロフィッシュの……
vo_adv_1169001_006.m4a|そう！　そのペロペロ君の製造をしたのが、このおもちゃ工場なのよ。ちょうどアルバイトの募集の張り紙を見かけてね。それで応募して、採用してもらったってわけ。
vo_adv_1169001_007.m4a|っと……こうしておしゃべりをしてる場合じゃなかったわね。それじゃ、荷物を倉庫の方まで運んでくれる？
vo_adv_1169001_008.m4a|私が案内するわ。機械とか足元の配線に気を付けてね。
vo_adv_1169001_009.m4a|よいしょ……っと！
vo_adv_1169001_010.m4a|これで荷物は全部ね。個数も問題なし。受け取りのサインはここでいいかしら？
vo_adv_1169001_012.m4a|あら？　この声は……
vo_adv_1169001_013.m4a|工場長？　何か探し物でも？
vo_adv_1169001_015.m4a|どうしたんですか？　こんなところで。次に作る新商品の企画が思い浮かばないんですか？
vo_adv_1169001_020.m4a|これはいったい……
vo_adv_1169001_023.m4a|工場長、発注書を見せてもらえますか？
vo_adv_1169001_024.m4a|なるほど、この納期でこれだけの数を納品するとなると、ちょっと大変ですね。
vo_adv_1169001_025.m4a|でも、この範囲なら工場の稼働率を上げて対応すれば、スケジュール的に十分間に合うんじゃないですか？ちょっと残業は必要になるでしょうけど。
vo_adv_1169001_026.m4a|あら？　そういえば今日はお休みの人が多いですね。なにかあったんですか？
vo_adv_1169001_028.m4a|そうですね。私がここに応募したのも、「求むアルバイト！！　即戦力大募集！！　」って張り紙がされてたからですし。
vo_adv_1169001_030.m4a|まあギルドの方で少し手伝うこともあったので、私にできる範囲ですけど。
vo_adv_1169001_032.m4a|ああ、だから今日はお休みが多いんですね。でもそれなら、明日からのシフト調整で十分間に合いそう──
vo_adv_1169001_034.m4a|明日は来ない？　じゃあ明後日から……
vo_adv_1169001_036.m4a|なるほど。そうなんですね、半月後に……
vo_adv_1169001_037.m4a|は、半月後！？
vo_adv_1169001_039.m4a|それじゃ、ここにいる人だけで半月後まで？ええっと……確認しますけど、なじみの問屋さんが出してきた納期は……
vo_adv_1169001_041.m4a|あ、頭が痛くなってきたわ……
vo_adv_1169001_044.m4a|これだけ大口の発注なら、関係各所への伝達に時間がかかるでしょうし……今から交渉しても、納期は調整できないでしょうね。
vo_adv_1169001_045.m4a|ただでさえ人手の欲しい大口発注なのに、労働力は圧倒的に不足、そして納期はギリギリ。……ふふふ、かえって楽しく感じてきちゃったわね。
