vo_adv_1171001_000.m4a|やっぱり住むなら、海辺のおうちだよねっ。
vo_adv_1171001_001.m4a|自然に溶け込むログハウス。窓を開けると目の前に青い海と白い砂浜が広がるの。朝は心地いい潮風を感じながら、夜眠るときには波の音が子守唄……♪
vo_adv_1171001_002.m4a|ねっ？住むなら絶対、海辺のおうちがいいよねっ？
vo_adv_1171001_003.m4a|あれ？　言ってなかったっけ。お姉ちゃんね、おうちを探してるんだ。
vo_adv_1171001_004.m4a|どうしたの、{player}くん。すっごく心配そうな目でお姉ちゃんを見つめてるね？
vo_adv_1171001_005.m4a|おうちの場所を忘れちゃったとか、おうちから追い出されちゃったとか、おうちが爆発して消えちゃったわけじゃないよっ？
vo_adv_1171001_006.m4a|ちゃんとランドソルに住む場所はあるんだけど、他のところにも借りてみようかなって思ってるの。
vo_adv_1171001_007.m4a|いわゆる別荘ってやつ？えへへ、別荘って言うとなんだか贅沢な響きだけどね。
vo_adv_1171001_008.m4a|実際のところは【ラビリンス】の別拠点、いざというときに隠れられるセーフハウスって感じだけど……
vo_adv_1171001_009.m4a|でもでも、ギルドのものなら自由に使ってもいいわけだし？ちょっとくらい好みで選んじゃったっていいよね？
vo_adv_1171001_010.m4a|そしてそのまま弟くんと一緒に住んじゃったりなんかしても……えへへ。
vo_adv_1171001_011.m4a|というわけでね弟くんっ！今日呼んだのは、一緒におうちを探してもらうためなんだよっ♪
vo_adv_1171001_012.m4a|わぁっ♪弟くん、やる気満々って感じだね！ふふっ、二人で理想のおうちを見つけようねっ？
vo_adv_1171001_013.m4a|安心して弟くん♪そのお仕事なら、お姉ちゃんが代わりにやっておいてあげたよ。お姉ちゃんキミと海に行くために頑張っちゃった！　褒めて褒めて♪
vo_adv_1171001_014.m4a|さぁっ、いざ理想のおうち探しに！しゅっぱーつ、だよっ♪
vo_adv_1171001_015.m4a|{player}くん、こっちこっち♪
vo_adv_1171001_016.m4a|じゃ～んっ♪
vo_adv_1171001_017.m4a|どうどう？お姉ちゃんの水着だよっ？
vo_adv_1171001_018.m4a|あ～、なんで水着に？　って顔だね？んもう、弟くんったら分かってないなぁ。
vo_adv_1171001_019.m4a|姉と弟が一緒に海に来たら、なにはともあれ水着に着替えるものなんだよ？
vo_adv_1171001_020.m4a|そうなんだよ♪それで弟くん、次にどうしたらいいかは分かるかな？
vo_adv_1171001_021.m4a|ふむふむ。……おうちを探す？
vo_adv_1171001_022.m4a|う～ん、合ってるけど間違ってるよ！これはもう、お姉ちゃんがしっかり教えてあげないとだね。
vo_adv_1171001_023.m4a|いい？目の前に水着に着替えたお姉ちゃんがいたら、まずはた～っくさん、褒めてくれなくちゃ♪
vo_adv_1171001_024.m4a|え？　おうちを探しに来たはず？もう！　{player}くんは真面目なんだから～！お姉ちゃんのお願いを真剣に考えてくれてるのはうれしいけど♪
vo_adv_1171001_025.m4a|でも、はぁ……ショックだなぁ。この水着、一生懸命選んだのになぁ。{player}くん、喜んでくれるかなぁ～って考えながら。
vo_adv_1171001_026.m4a|……チラッ。
vo_adv_1171001_027.m4a|えっへへ♪ほんとに？　お世辞じゃない？もっとよく見て、正直なキミの気持ちを聞かせてっ♪
vo_adv_1171001_028.m4a|ありがとっ♪そんなに喜んでくれるなんて、頑張って選んだ甲斐があったよ～！
vo_adv_1171001_029.m4a|そんなにっ？ふふっ、喜んでもらえるのはうれしいけど、弟くんにそこまでじっくり見られちゃうと、お姉ちゃん照れちゃうな。
vo_adv_1171001_030.m4a|それじゃあ{player}くんにも褒めてもらえたし、そろそろ目的を果たさないとね！
vo_adv_1171001_031.m4a|あ、でもでも、弟くんがお姉ちゃんと遊びたいんだったら、全然、そっちを優先するよっ？
vo_adv_1171001_032.m4a|えっ、まずはおうち探しから？遊びよりも私の用事を優先してくれるんだね……！お姉ちゃん、感激だよ～！
vo_adv_1171001_033.m4a|ご褒美に、これからお姉ちゃんがおいしいごはんをご馳走してあげる！え？　おうち探しが先？　うん、分かってる。……しっかりしてるなぁ、{player}くん。
vo_adv_1171001_034.m4a|すみませーん。貸し物件屋さんって、ここですよね？
vo_adv_1171001_036.m4a|そうなんです！いくつか紹介してもらえたらなって。
vo_adv_1171001_038.m4a|はいっ、ラブラブなんです♪
vo_adv_1171001_039.m4a|っていけないいけない。浮かれてる場合じゃないよね。えっと、あまり目立たない感じで、でもちゃんと住める感じのおうちってありますか？
vo_adv_1171001_041.m4a|はいっ、お願いします！
vo_adv_1171001_042.m4a|弟くんっ、すっごくワクワクするね！二人で理想の愛の巣を見つけようね……♪
vo_adv_1171001_044.m4a|わぁ～っ！おうちも大きくてリゾートハウスみたい！
vo_adv_1171001_045.m4a|ねっ、どうかな{player}くんっ？こんな場所に住めたらいいと思わない？
vo_adv_1171001_046.m4a|だよねだよねぇ！朝起きたら、毎日砂浜を二人で散歩するんだ。波打ち際で水のかけあいっこなんかもしちゃったりして♪
vo_adv_1171001_047.m4a|よし、{player}くん！実際にやってみよっか。え～いっ♪
vo_adv_1171001_048.m4a|ほらほら、どうしたの？弟くんもお姉ちゃんにいっぱいかけていいんだよっ？
vo_adv_1171001_049.m4a|きゃあっ♪そうそう、勢いがあって格好いいぞ♪
vo_adv_1171001_050.m4a|ここに住めば、毎日こうやって海で大はしゃぎできそうだね。ねっ、弟くん？
vo_adv_1171001_052.m4a|今すぐにでも借りちゃいたいくらい、理想的ですっ！
vo_adv_1171001_054.m4a|むぐっ……！なんとなくお高いだろうなぁとは思ってたけど、そんなに……さすがにちょっと手が出せないかな～
vo_adv_1171001_055.m4a|【ラビリンス】がもうちょっと資金潤沢だったらいいんだけど……
vo_adv_1171001_057.m4a|次はログハウスだねっ！さっきよりは小さいけど、木の温かみがあるおうちもイイ感じ……♪
vo_adv_1171001_058.m4a|海辺からはちょっと離れちゃうけど、歩いてすぐだし、隠れ家感がいい味出してるね。
vo_adv_1171001_059.m4a|静かな場所でひっそりと、二人だけの時間を過ごす……うんうん、いいねっ！
vo_adv_1171001_060.m4a|心配はいらないよっ♪ここにお姉ちゃんと住めば、弟くんはどこにも行かなくていいから。お姉ちゃんがぜ～んぶお世話してあげるっ♪
vo_adv_1171001_061.m4a|この辺りは木の実とか果物とかも採れそうだし、自給自足できちゃうよっ。お姉ちゃんが毎日、おいしいごはんを作ってあげるねっ？
vo_adv_1171001_062.m4a|え？　それはちょっと？どうして～～～？
vo_adv_1171001_064.m4a|う～ん……何件か回ってみたけど、どのおうちも夢が広がるいいおうちだったね。
vo_adv_1171001_065.m4a|でもやっぱり、どれもお高いね～今の経済状況じゃ、簡単には借りられないかなぁ……
vo_adv_1171001_066.m4a|えへへ、ごめんね{player}くん。お姉ちゃんのわがままに付き合わせちゃって。弟くんと一緒に過ごせたらなぁって考えてたら、つい暴走しちゃった。
vo_adv_1171001_067.m4a|さ、海辺のおうちは諦めて、海で遊んでいこっか。せっかくだから、これくらいは楽しまないとね。
vo_adv_1171001_068.m4a|えっ……？探すって……海辺のおうちを？
vo_adv_1171001_069.m4a|確かに、もっと探してみてもいいけど……いいの？　せっかく海に来たんだから、遊んだ方が楽しいよ？おうち探しは単なるお姉ちゃんのわがままだし……
vo_adv_1171001_070.m4a|……っ！
vo_adv_1171001_071.m4a|ありがとう、{player}くん……お姉ちゃん、感激だよ。
vo_adv_1171001_072.m4a|なんだろ。今すぐギュ～って抱きしめたいくらいうれしいのに、そうするのがちょっと……恥ずかしい、ような。変な気持ち……えへへ。
vo_adv_1171001_073.m4a|じゃあ、{player}くん！私たちの理想のおうちを、もっと探そっか！
vo_adv_1171001_074.m4a|あの～、この辺りで安い物件とかって──
vo_adv_1171001_075.m4a|海が近くて、きょうだい水入らずで暮らせるような──
vo_adv_1171001_076.m4a|私と弟くんの愛の巣──
vo_adv_1171001_077.m4a|色々と情報収集してみたけど、やっぱり見つからないね……
vo_adv_1171001_078.m4a|いつの間にかすっかり暗くなっちゃったね。{player}くん、そろそろ……
vo_adv_1171001_079.m4a|え？　明日も？付き合ってくれるのはうれしいけど、うれしいけど～！
vo_adv_1171001_080.m4a|……？{player}くん、それ、手に何を持ってるの？
vo_adv_1171001_081.m4a|ゴミ拾いもしてたなんて、えらいぞ弟くん！ナデナデしてあげちゃう♪
vo_adv_1171001_082.m4a|でもその紙きれ、なにか書いてあるみたいだけど……ちょっと見せて？
vo_adv_1171001_083.m4a|……これ……広告？随分汚れてるけど……
vo_adv_1171001_084.m4a|これ……物件の広告だよっ！？しかも安い……！
vo_adv_1171001_085.m4a|これなら、今の私でも手が届きそう……！
vo_adv_1171001_086.m4a|私、ここにする！
vo_adv_1171001_087.m4a|いいの！こんなチャンス、二度とないかもしれないし！
vo_adv_1171001_088.m4a|うん？　広告をよく見てみた方が？そんなの平気だよっ。{player}くんがこれを拾ったのは、運命なんだよきっと♪
vo_adv_1171001_089.m4a|よぉっし！お姉ちゃん、絶対にこの物件を手に入れるからねっ！
vo_adv_1171001_090.m4a|そして絶対、弟くんと一緒に海辺のおうちに住むんだから！
vo_adv_1171002_000.m4a|格安物件を見つけたのはいいけど、……困っちゃった。
vo_adv_1171002_001.m4a|借りるためのお金がちょっと足りないんだよね。実際に借りるのはもっと先の予定だったから……
vo_adv_1171002_002.m4a|でもあんなお値打ちな物件、放っておいたらきっとすぐに借りられちゃうよね。今のうちに契約しておきたいなぁ……
vo_adv_1171002_003.m4a|えっ？ここで？
vo_adv_1171002_004.m4a|そっか……海水浴に来てるお客さんがいっぱいいるし、一気にお金を稼げるかも……！
vo_adv_1171002_005.m4a|さすが弟くんだね！だったら道具とか、街に取りに戻らなきゃね！
vo_adv_1171002_006.m4a|急ぐよっ、弟くん！
vo_adv_1171002_007.m4a|クレープ屋ラビリンス、出張店！オープンだよっ♪
vo_adv_1171002_008.m4a|……と、勢いよくお店を開いたのはいいけど。
vo_adv_1171002_009.m4a|お客さんはそんなに来てくれないね……まぁランドソルでも閑古鳥が鳴いちゃってるし、場所を変えたからって簡単にはいかないかなぁ。
vo_adv_1171002_010.m4a|周りを見た感じ、ライバル店も多いんだよね。
vo_adv_1171002_011.m4a|かき氷にトロピカルジュース、タコ焼きに焼きそば、アイスクリームに……たい焼きとかもあるんだ。
vo_adv_1171002_012.m4a|思いっきりお客さんが被っちゃう感じだね。うちのクレープ、味も見た目も普通だからなぁ……
vo_adv_1171002_013.m4a|{player}くん！？呼んでくるって……お客さんの呼び込みに行ってくれるの！？
vo_adv_1171002_014.m4a|ありがとう……！お姉ちゃんのためにそこまでしてくれるなんて、私、いい弟をもって幸せ者だよ～～～！
vo_adv_1171002_015.m4a|……でも大丈夫？呼び込み、一人で行ける？お姉ちゃんがついていかなくても平気？
vo_adv_1171002_016.m4a|あっ、お姉ちゃんがついていったらお店が空っぽになっちゃうか。でも、でも……！
vo_adv_1171002_017.m4a|じゃあせめて、目が届く範囲で呼び込みしてね！絶対だよっ？
vo_adv_1171002_018.m4a|お姉ちゃんとの約束だからね～～～！
vo_adv_1171002_024.m4a|……{player}くん、何してるんだろう。なんか砂浜の上を這いずり回ってるけど……
vo_adv_1171002_025.m4a|多分、落とし物をした人がいたりして、一緒に捜してあげる、とか言ってるんだろうなあ。
vo_adv_1171002_026.m4a|でも弟くん、こんなに広い砂浜をそんな風に捜してたらきりがないと思うな？
vo_adv_1171002_027.m4a|……うぅ、大丈夫かなぁ弟くん。
