vo_adv_1175001_003.m4a|ふぅん……こうなるとは思っていたけれど……想像以上の混雑っぷりね。
vo_adv_1175001_004.m4a|私が診察すれば早いんだろうけど……先々のことを考えるとあまりよくないのよね。いつまでも私がここにいるわけにはいかないし。
vo_adv_1175001_005.m4a|となると……あの部屋にあったものが使えるかしらね……
vo_adv_1175001_008.m4a|ごめんなさい、私も今ちょうど用事ができたところなの。申し訳ないけど、力になれないわ。
vo_adv_1175001_010.m4a|それと、悪いけどしばらく院長が使っていた研究室を借りるわよ。
vo_adv_1175001_013.m4a|大丈夫よ。多少の危険は慣れっこだわ。
vo_adv_1175001_014.m4a|それに、患者がこんなに待ってるんだもの。急がなくちゃね。
vo_adv_1175001_035.m4a|ふふ……できたわ……！
vo_adv_1175001_036.m4a|これで必要な薬はおおむね用意できたわね。あとは機器の最終調整が終われば全部解決するはずだわ。
vo_adv_1175001_037.m4a|本当は新薬も試しておきたいんだけど……
vo_adv_1175001_038.m4a|あら、{player}君？ずいぶん焦っているみたいだけど、どうしたのかしら？
vo_adv_1175001_039.m4a|なるほど。話は分かったわ。
vo_adv_1175001_040.m4a|そういうことなら私に考えがあるの。ちょうど私の準備も終わったところだし、都合がいいわ。
vo_adv_1175001_041.m4a|大丈夫。危ないことはしないわ。私に任せて。こういう仕事こそ、私の領分なわけだし。とりあえず、その患者を呼んできてもらえるかしら？
vo_adv_1175001_042.m4a|あなたたちね、噂の患者は。……なるほど、これは重症ね。急いで手術しないと危険だわ。
vo_adv_1175001_044.m4a|ふふ、分かったわ。私が治してあげる。
vo_adv_1175001_046.m4a|ただし、条件があるの。
vo_adv_1175001_048.m4a|あら、目が覚めたのね。手術は無事成功したわ。しばらく安静にしていれば、動けるようになるわよ。
vo_adv_1175001_050.m4a|私は仕事をしただけよ。感謝ならあなたをここに連れてきた子に言いなさい。それとこれ、いちおう渡しておくわね。
vo_adv_1175001_053.m4a|あら、むしろ私の診察料としては良心的なくらいよ。
vo_adv_1175001_056.m4a|あなたを連れてきた子かしら？あの子なら、私の『実験台』になってもらったわよ。
vo_adv_1175001_058.m4a|安心しなさい。命に別状はないわ。……っと、この足音は……ちょうど来たみたいね。
vo_adv_1175001_066.m4a|言ったでしょ、命に別状はないって。
vo_adv_1175001_072.m4a|まあ、そういうことよ。理解できたかしら？ところで、これは私からの提案なんだけど……
vo_adv_1175001_073.m4a|あなたも、完治したらこの子と一緒にこの病院で働くのはどうかしら。実はちょうど力仕事ができる男手が足りていないの。必要なら、この子と同じ薬も処方してあげるわ。
vo_adv_1175001_074.m4a|もし、この提案をのんでくれるなら……それで手術費の代わりにしてあげるわよ。
vo_adv_1175001_080.m4a|ふふっ、契約成立ね。これで私の最後の仕事も終わったわ。
vo_adv_1175001_082.m4a|ええ、私はあくまで一時的な勤務医だから。仕事が終わったら帰らなきゃいけないのよ。あなたたちのことはちゃんと引き継いでおくから、安心しなさい。
vo_adv_1175001_084.m4a|感謝する必要はないわ。私は仕事をしただけだもの。それじゃあ。もう悪い事、するんじゃないわよ。
vo_adv_1175001_086.m4a|ええ。やることは全部終わったから。それに、もう私がいなくてもあなたたちはやっていけるでしょう。
vo_adv_1175001_089.m4a|それは買いかぶり過ぎよ。私は院長の研究に個人的な興味があっただけだから。その過程で少しだけ整理整頓をしただけだわ。
vo_adv_1175001_091.m4a|その薬も、もともと開発しようとしていたものよ。ちょうど、院長の残した設備や貴重な素材が使えると思って、私的に使わせてもらっただけだから。感謝なんてされるいわれはないわ。
vo_adv_1175001_093.m4a|ふふっ。ありがたいと思うなら、これからも誠心誠意、患者と向き合って治療を続けなさい。それじゃあ、私はこれで。
vo_adv_1175001_094.m4a|さて、全部終わったわね。あら。ずいぶんうれしそうだけど、どうしたのかしら？
vo_adv_1175001_095.m4a|もう、{player}君までそんなこと言うのね。私は闇医者なのよ？　いい先生なんかじゃないわ。
vo_adv_1175001_096.m4a|さっきも言った通り、院長のしていた研究に興味があったからまとめただけだし。いい設備を使わせてもらいたかっただけ。ついでに貴重な薬の素材もいくらかもらってきちゃったし。
vo_adv_1175001_097.m4a|いつまでも病院にいてくれなんて言われないように、代わりの労働力を提供するためにやったことよ。
vo_adv_1175001_098.m4a|全部、自分のためにやったこと。善意でやったわけじゃないわ。
vo_adv_1175001_099.m4a|でも……
vo_adv_1175001_100.m4a|もしかしたら、そんな悪い闇医者にも、誰かさんのお人好しがうつってしまった可能性があるのは否定しきれないわね……ふふっ♪
vo_adv_1175002_000.m4a|あっちのカンポーと、そっちのカンポーをあるだけちょうだい。たしかこれも残り少なかったわね……いただけるかしら。
vo_adv_1175002_001.m4a|あら、そんなに真剣に見てどうしたの？
vo_adv_1175002_002.m4a|そうよ。いろんな薬草を原料にしているから、たくさん種類があるの。たとえばこのカンポーなんて、猛毒の植物を使って作られているのよ。
