vo_adv_1053009_000.m4a|ふんふんふーん♪
vo_adv_1053009_001.m4a|うわっ！？　貴公いたのか！？まさか今の、見ていたのでは……なにをって……い、言わせる気か！？
vo_adv_1053009_002.m4a|なにやつ！　……って貴公か。ふー、投げ飛ばさなくてよかった。怪我をしたくなければ、無断で軍人の背に触れてはならん。
vo_adv_1053009_003.m4a|あはははっ！？……って、この大バカ者っ！！　どこを触ってる！？軍人をくすぐるなど、貴公でなければ斬っているところだ！！
vo_adv_1053009_004.m4a|ん？　なぜそんなにうれしそうなのか……だと？……笑うなよ？
vo_adv_1053009_005.m4a|今朝、自主的に身体測定を行ったのだが……伸びていたんだ！　私の身長が！！
vo_adv_1053009_006.m4a|……おい！　なにをジロジロ見ている！？信じられないというのか！？
vo_adv_1053009_007.m4a|言っておくが、嘘ではないぞ！確かにほんの少し……そう、豆粒くらいは伸びたんだ！
vo_adv_1053009_008.m4a|……いや、豆粒は言い過ぎか。米粒くらいは……えっ！？　もう一度測ってみよう！？
vo_adv_1053009_009.m4a|こ、断る！もし気のせいだったらへこむではないかっ！
vo_adv_1053009_012.m4a|……む？ああ、おまえたちか！
vo_adv_1053009_013.m4a|貴公にも紹介しよう。二人とは、森で出会ってな。以来、隣人として懇意にさせてもらっている。
vo_adv_1053009_017.m4a|小さい言うなっ！！まったく。子供は素直というか、正直というか……
vo_adv_1053009_018.m4a|それでおまえたち、今日はどうしたんだ？また稽古をつけてほしいのか？
vo_adv_1053009_020.m4a|なに！？この間も同じ報告をしてなかったか！？
vo_adv_1053009_023.m4a|いや。『大きく』というのは体のことではなく、年齢のことを言ったのだがな……
vo_adv_1053009_024.m4a|しかし、うらやましい限りだ。豆粒米粒だなんて言わず、もっと背が伸びていればリベンジできたが……
vo_adv_1053009_025.m4a|……そうだな。{player}に関係のない話ではない。覚えているか？　以前、開催された決闘大会のことを。
vo_adv_1053009_026.m4a|私も参加するために貴公と訓練を重ねたが、140cm以下は参加できないと言われ、出場すら叶わなかった……
vo_adv_1053009_027.m4a|少し先の話だが……またその大会が開催されるらしくてな。今回こそはと思ったが、私は未だに138cmの壁を突破できていない。……出場など、夢のまた夢というわけだ。
vo_adv_1053009_028.m4a|{player}……
vo_adv_1053009_032.m4a|い、いや……私はもう、ここですっぱり諦めようかと……
vo_adv_1053009_035.m4a|……おまえたち。
vo_adv_1053009_036.m4a|そうだな。これは気合根性の話ではないと思うが、最善を尽くさず諦めるのは性に合わん。
vo_adv_1053009_037.m4a|どんな噂や説だろうとも、最後までやり抜いてみせよう！貴公、すまないが手伝ってくれ！！
vo_adv_1053009_038.m4a|さっそく特訓を始めよう！メモの一番上から下まで、順番に実行していくぞ！
vo_adv_1053009_039.m4a|まずは『身長を強制的に伸ばすストレッチ』……ストレッチは基本中の基本だな！
vo_adv_1053009_040.m4a|やり方は……『木の枝にぶら下がって、両足を引っ張ってもらう』……
vo_adv_1053009_041.m4a|…………こんな方法で本当に伸びるのか？い、いや。疑う前にまずは実践だ！
vo_adv_1053009_042.m4a|よし、貴公！　丈夫そうな枝にぶら下がったぞ！私を思いっきり引っ張ってくれ！！
vo_adv_1053009_043.m4a|言っておくが、上は見るなよ！？……どうしてって、私はスカートだぞ！？　察しろ！
vo_adv_1053009_044.m4a|どんと来い！！……あだっ！　あだだだだ！？
vo_adv_1053009_045.m4a|だ、大丈夫だ！手を緩めなくていい！！
vo_adv_1053009_046.m4a|私は今度こそ大会に出場するのだ！そのためにも……！！
vo_adv_1053009_047.m4a|伸びろぉお！！私の身長ぉおーーー！！！！
vo_adv_1053009_048.m4a|……うわっ！？
vo_adv_1053009_049.m4a|いたた……くないぞ？
vo_adv_1053009_050.m4a|うわあっ！？貴公、すまん！　大丈夫か！？
vo_adv_1053009_051.m4a|し、下敷きにして本当に悪かった……怪我はないか？　……そうか、それは安心した。
vo_adv_1053009_052.m4a|この方法は危険だし、効果もなさそうだな。……はぁ、先は長そうだ。
vo_adv_1053009_053.m4a|次は……『ミツキ先生の診療所で処方される魔法薬を飲むと背が伸びるらしい』？
vo_adv_1053009_054.m4a|背が伸びる魔法薬……？『怪しい』の一言に尽きるのだが……その医者を信じても大丈夫なのだろうか？
vo_adv_1053009_055.m4a|お、おい！？なぜ目を合わせないのだ！？こっちを見て、信用できると言ってくれ！？
vo_adv_1053009_056.m4a|は、はっきり言ってくれ！ごまかされると余計に怪しいのだが！？　むしろ怖いぞ！？
vo_adv_1053009_057.m4a|……なるほど。貴公の話をまとめると、色々と過激な手段を用いるが、医者としての実力は本物で信用できると……
vo_adv_1053009_058.m4a|背を伸ばすためならば、多少のリスクも承知の上だ。その魔法薬、是非とも試してみたい！
vo_adv_1053009_059.m4a|……なに？　貴公が相談してくれるだと？それはありがたい申し出だ！　頼んだぞ！！
vo_adv_1053009_060.m4a|もう話がついたのか？それでどうだった！？
vo_adv_1053010_000.m4a|貴公、どうだ……？
vo_adv_1053010_001.m4a|くぅうう……！　100回測って同じならば、夢でも気のせいでもない！私はこれでようやく大会に……！
vo_adv_1053010_002.m4a|ここまで本当に険しい道のりだった。しかし貴公の支えのおかげで……いや、すまない。気が早かったな！あまりにもうれしくて、つい……
vo_adv_1053010_003.m4a|私の本当の目的は、決闘大会で優勝することだ。出場できると分かった以上、早々に会場へ向かわねば……
vo_adv_1053010_004.m4a|……ん？　別に構わないが……今日は受付だけで、試合はまだ先だぞ？
vo_adv_1053010_005.m4a|……エントリーされる瞬間が見たい？貴公は本当に人がいいな。では存分に見届けてもらうとしよう。
vo_adv_1053010_007.m4a|ああ、はやく順番が回ってこないだろうか。これほど測定が楽しみなのは生まれて初めてだ♪
vo_adv_1053010_008.m4a|それにしても、ずいぶん参加者が多いな……というより。私と同じ、同行者連ればかりのようだが……
vo_adv_1053010_010.m4a|おっと、私の出番だな。ぞんぶんに測ってくれ！！
vo_adv_1053010_012.m4a|貴公、聞いたか！？よし……あとは優勝を目指すだけ──
vo_adv_1053010_014.m4a|右に同じく、一体なんのことだ！？　これは決闘大会なのだろう！？一対一の真剣勝負ではないのか！？
vo_adv_1053010_018.m4a|そ、そうだったのか……しばらく森で特訓するだけの日々だったからな……私のミスだ。しかし、なぜそんなことに……
vo_adv_1053010_021.m4a|そ、そうか……規則ならば、私も従おう。しかし……
vo_adv_1053010_022.m4a|ペアか……{player}になら背中を預けられるのだがな。とはいえ、これ以上私のワガママに付き合わせるわけにもいかん……
vo_adv_1053010_024.m4a|分かった！　情報提供、感謝する。……貴公、すまないがここで待っていてくれ。終わったら共に食事でもしよう。
vo_adv_1053010_025.m4a|私は子供じゃないんだぞ……？心配するな、すぐ決めてくる。
vo_adv_1053010_026.m4a|貴公というやつは……戦いは苦手なくせに。ここまで付き合ってくれただけで十分だ。
vo_adv_1053010_027.m4a|さて、誰に声をかけようか……
vo_adv_1053010_028.m4a|そこの者よ！
vo_adv_1053010_030.m4a|下を見よ！言っておくがな、私はそれほど小さくないぞ！？
vo_adv_1053010_032.m4a|私はモニカ。この大会の参加者だ。ペアが決まっていないようであれば、私と組まないか？
vo_adv_1053010_034.m4a|……まったく、人を見かけで判断するとは情けない。次だ次！
vo_adv_1053010_036.m4a|次っ！！
vo_adv_1053010_037.m4a|…………
vo_adv_1053010_038.m4a|……んぐっ！？　貴公か！？私の口になにを入れ……飴玉？
vo_adv_1053010_039.m4a|しかもこれは……今流行りのレインボー味！この不思議な味覚が病みつきになるんだよな♪
vo_adv_1053010_040.m4a|……すまない。心配して見に来てくれたんだな。これぐらいで落ち込むなど、情けない話だ。
vo_adv_1053010_041.m4a|私は……弱いな。自分の弱さを乗り越えられるぐらい、強くなりたい。
vo_adv_1053010_042.m4a|一緒に？　それは一体──
vo_adv_1053010_044.m4a|今の悲鳴はなんだ！？{player}、行くぞ！
vo_adv_1053010_050.m4a|やめろっ！！
vo_adv_1053010_051.m4a|参加者同士のいざこざに口を出すつもりはないが、これはさすがにやりすぎだぞ……！
vo_adv_1053010_053.m4a|おい！　私は子供では……ま、まん丸！？まん丸とは私のことか！？
vo_adv_1053010_055.m4a|おい！？　どこへ行く！？
vo_adv_1053010_057.m4a|まだ大会は始まっていないのだぞ！正式な場ではない決闘など、ただのケンカだ！騎士道なものか！
vo_adv_1053010_059.m4a|今度は饅頭！？　饅頭と言ったよな！？おまえたち兄弟、さっきから無礼すぎるぞ！？
vo_adv_1053010_060.m4a|くっ、無礼な連中だが……隙がない。あの壁も、剣一振りで砕いたのだろう。めったにお目に掛かれない強者たちだ。
vo_adv_1053010_062.m4a|……誰が抜くものか。決着は、この大会でつける！
vo_adv_1053010_064.m4a|き、貴公……！　出てこなくていい……！これは私の問題だ……！！
