vo_adv_1029010_001.m4a|さっきから何うんうん頭抱えてるんですか、ノゾミさん？
vo_adv_1029010_005.m4a|たしかに。音響盤の売り上げやライブの動員数だけじゃなくて、写真集の売り上げだってトップクラスですし。これより上となると、ランドソルの外にまで目を向けなきゃですね。
vo_adv_1029010_006.m4a|うん、いいと思いますよ。私の作った衣装がもっと多くの人たちに見てもらえるんですから。チカさんもそう思いませんか？
vo_adv_1029010_028.m4a|ちょ、ちょっとほめすぎじゃないでしょうか……？
vo_adv_1029010_035.m4a|ですよね。うれしいけどいきなりすぎてどうしたらいいでしょうか。それに私たち、カルミナ以外の活動もありますしね。
vo_adv_1029010_042.m4a|ノゾミさん！？　本気ですか？
vo_adv_1029010_046.m4a|ちょ、チカさんまで！　ほ、本当にいいんですか？
vo_adv_1029010_048.m4a|う、うぅ……お二人にそんなこと言われたら、やらないわけにはいかないじゃないですか！
vo_adv_1029010_049.m4a|やりますよ。私だってカルミナなんですから！
vo_adv_1029010_064.m4a|お疲れ様です、チカさん。
vo_adv_1029010_066.m4a|はい、まだダンスの練習をしていくって。気合が入ってるのはいいのですけど、ちょっとオーバーワーク気味ですよね。
vo_adv_1029010_068.m4a|騎士さんがついてるから大事にはならないと思いますけど、やっぱり心配ですね。
vo_adv_1029011_001.m4a|……ふぅ、今のとこ、いい感じにできましたよね？
vo_adv_1029011_006.m4a|そんなことないですよ。ねえチカさん。
vo_adv_1029011_009.m4a|ノゾミさん、オーバーワークはしなくなりましたけど、今度は思い悩むことが増えましたね。
vo_adv_1029011_011.m4a|そうですね。こういう時は騎士さんに任せた方がいいかもしれません。
vo_adv_1029012_005.m4a|ちょっと騎士さん、どうです？　お客さん来てますか？
vo_adv_1029012_010.m4a|頼もしいですね。さすがカルミナのセンターです！
vo_adv_1029012_012.m4a|ちょ、ちょっと！　急に空が曇りはじめましたよ！
vo_adv_1029012_013.m4a|ひゃあ！　か、雷まで……これから祭典だっていうのにもう！
vo_adv_1029012_021.m4a|神様にガツンと聴かせてやりましょうね！
vo_adv_1029012_059.m4a|やり切った感出すのは早いですからね。さあ、私たちも最初から飛ばしますよ！　えーい！
vo_adv_1174001_000.m4a|うう……ぎぼぢわるい……船がこんなに揺れるなんて、聞いてません……
vo_adv_1174001_001.m4a|よく考えたら、昨日も遅くまでライブやってたんですよね……日が昇る前に乗船して、寝不足の状態で釣りをすればそりゃこうなるというか……
vo_adv_1174001_002.m4a|でも、せっかくレイ様がオススメしてくれた場所です。明日には移動だし、今日しか行くチャンスがなかったし……
vo_adv_1174001_004.m4a|船長さん、ご心配をおかけしてすみません……
vo_adv_1174001_006.m4a|ギクッ！？
vo_adv_1174001_009.m4a|あの、船長さん。少し休めば大丈夫なので、行ってあげてください……
vo_adv_1174001_011.m4a|ありがとうございます……
vo_adv_1174001_012.m4a|カルミナのアイドルがこんな醜態をさらすなんて幻滅ものですよ。絶対にバレないようにしないと……
vo_adv_1174001_013.m4a|もしかしたら気持ち悪いと思うから気持ち悪いのかも。何も考えずに、風景を眺めていれば少しはマシに──
vo_adv_1174001_014.m4a|あ！　あの子が着ているのは今流行りのワンピース水着！私の店でも作ってみようかな。デザインはそうですね──
vo_adv_1174001_015.m4a|うっ……
vo_adv_1174001_016.m4a|ダメダメ、考え事したら余計に気持ち悪くなります……！これはもう、静かに目を閉じてるしかありません……
vo_adv_1174001_017.m4a|ああ。頭がぼーっとしてきました……本格的にマズイです……私、このままじゃ……
vo_adv_1174001_018.m4a|はい……大丈夫です。ご心配をおかけして、すみません……
vo_adv_1174001_019.m4a|あれ？　今の声って……
vo_adv_1174001_020.m4a|騎士さん……？　なんでここに……？
vo_adv_1174001_021.m4a|……そのコップの水。もしかして私にですか……？じゃあ、いただきます……
vo_adv_1174001_022.m4a|ふぅ、ありがとうございます……騎士さんのおかげで、少しすっきりしました……
vo_adv_1174001_023.m4a|うひゃっ！？
vo_adv_1174001_024.m4a|……だ、大丈夫です。すごい揺れでしたけど、騎士さんが受け止めてくれたおかげで、転ばずにすみました……
vo_adv_1174001_025.m4a|あ、あの……騎士さん……私……
vo_adv_1174001_026.m4a|……………………吐きそうです。
vo_adv_1174001_027.m4a|ご迷惑を、おかけしましたっ！
vo_adv_1174001_028.m4a|最悪です……！騎士さんにあんな見苦しい姿を見せるなんて……！
vo_adv_1174001_029.m4a|うっ……騎士さん、本当に心配してたんだ。悪い人じゃないんですから、ここは素直に……
vo_adv_1174001_030.m4a|はい、おかげさまでこの通り。これなら魚釣りも再開できそうです。
vo_adv_1174001_031.m4a|──え？　私が狙っている魚ですか？それはもちろん、レイ様が以前釣ったという魚です♪
vo_adv_1174001_032.m4a|レイ様がその魚拓を見せてくれたんですけど、たしかこの地方でしか捕れない、虹色の鱗を持った魚なんですよね！
vo_adv_1174001_033.m4a|私も大物を釣って、魚拓を作って、レイ様に褒めてもらうんです♪
vo_adv_1174001_034.m4a|へっ？　騎士さんも！？
vo_adv_1174001_035.m4a|……二人は釣り仲間で、一緒によく魚釣りをしている？
vo_adv_1174001_036.m4a|…………ぜ。
vo_adv_1174001_037.m4a|前言撤回です！騎士さんはレイ様に取り入ろうとする、下劣で、イヤらしい人です！よりにもよって、レイ様と釣りデートだなんて！
vo_adv_1174001_038.m4a|騎士さんには、負けられません！！どっちがレイ様に相応しい魚を捕るか、勝負です！！
vo_adv_1174001_039.m4a|まずは仕掛け作りから！ふふん、仕掛けの作り方は事前に調べてきたんです！
vo_adv_1174001_040.m4a|ええと……釣り糸はこうやって……ううーん。洋服の糸と同じようにはいかないですね。これで合ってるのかな……？
vo_adv_1174001_041.m4a|なんですか、騎士さん。今忙しいので話しかけないでもらっても──
vo_adv_1174001_042.m4a|え？　『今回の仕掛けはシンプルでいい？』
vo_adv_1174001_043.m4a|……ほんとだ。騎士さんのは分かりやすい作りですね。なんだ、それなら私でも簡単にできますよ！
vo_adv_1174001_044.m4a|って、助けられちゃった……でも今回だけ！　今回きりです！
vo_adv_1174001_045.m4a|よし、仕掛け完成です！　ではさっそく釣りますよ！えいっ！！
vo_adv_1174001_046.m4a|こいこい！　騎士さんよりも大きな魚！
vo_adv_1174001_047.m4a|……
vo_adv_1174001_048.m4a|…………
vo_adv_1174001_049.m4a|…………釣れませんね。
vo_adv_1174001_050.m4a|誘う……？
vo_adv_1174001_051.m4a|……ああ！　騎士さんがやってるように、竿を揺らせばいいんですね！やってみます！
vo_adv_1174001_052.m4a|……じゃなくて！！私を見てたら、騎士さんの時間がなくなっちゃいますよ！？
vo_adv_1174001_053.m4a|またそういうこと言って……
vo_adv_1174001_054.m4a|はぁ……騎士さんらしいセリフですね。勝手に敵対心を燃やして、馬鹿みたいです……
vo_adv_1174001_055.m4a|分かりましたよ。
vo_adv_1174001_056.m4a|でも教わる気がない態度をとっておいてご厚意に甘えるというのは礼儀に反するので、改めて言います。
vo_adv_1174001_057.m4a|…………釣り方、教えてください。
vo_adv_1174001_058.m4a|ああっ！？　また引くタイミングを間違えた！？次こそ釣ってみせますから……！
vo_adv_1174001_059.m4a|でも、騎士さんのおかげでちょっとずつコツをつかんできましたよ！なんだか楽しくなってきました♪
vo_adv_1174001_060.m4a|はいはい。それぐらいじゃもう動じませんよ。
vo_adv_1174001_061.m4a|うわわっ！？急に竿が……！　これは手ごたえありです！！
vo_adv_1174001_062.m4a|でも、重くて引き上げられない……！
vo_adv_1174001_063.m4a|えっ！？　騎士さん！？
vo_adv_1174001_064.m4a|……ちょ、ちょっと密着しすぎじゃないですか！？ううっ、意識しない！　集中集中！！
vo_adv_1174001_065.m4a|うぐぐ……あとちょっと……！！
vo_adv_1174001_066.m4a|……っ！　やったー！　釣れました！！
vo_adv_1174001_067.m4a|虹色の魚！　それもかなり大きいですよ！？
vo_adv_1174001_068.m4a|はいっ！
vo_adv_1174001_070.m4a|本当ですか！？
vo_adv_1174001_072.m4a|もちろんです！……ふふっ、これをレイ様にお見せしたら、きっと褒めてもらえますね♪
vo_adv_1174001_074.m4a|…………
vo_adv_1174001_075.m4a|騎士さんの名前も書きましょう。
vo_adv_1174001_076.m4a|何驚いてるんですか。言っておきますけど、断るのはなしですよ。自分だけの手柄にはしたくないので。
vo_adv_1174001_077.m4a|でも次は自分の力で釣ってみせます！
vo_adv_1174002_000.m4a|ん～～～！　いい天気！今日は絶好のサーフィン日和！！
vo_adv_1174002_001.m4a|ノゾミさんやチカさんと来たかったなぁ。でも予定があるならしょうがないですよね……
vo_adv_1174002_002.m4a|そういえば騎士さんも、やけに張り切った様子で出かけていきましたけど……
vo_adv_1174002_003.m4a|別にあの人の予定なんて気にしてませんよ！ええ、これっぽっちも！！
vo_adv_1174002_004.m4a|今日は思いっきりオフを満喫します！いざ！　海へっ！
vo_adv_1174002_005.m4a|……って騎士さん！？なんでここにいるんですか！？
vo_adv_1174002_008.m4a|あ～～～！　それよく言われるんですよね！
vo_adv_1174002_009.m4a|うう……ごめんね。遊ぶならバレないように遊べってプロデューサーに釘刺されてて……
