vo_adv_1208001_000.m4a|おや、お前さん。奇遇だね。
vo_adv_1208001_001.m4a|はは、新年早々元気がいいね。あけましておめでとう。今年もよろしくね。
vo_adv_1208001_002.m4a|お、うれしいこと言ってくれるね。お年玉でもあげたくなっちまうじゃないか。
vo_adv_1208001_003.m4a|ところでお前さん、この後何か用事でもあるかい？
vo_adv_1208001_004.m4a|特にない？　そっか。それなら今からアタシと神殿に行かないか？
vo_adv_1208001_005.m4a|まあ、それもあるけどアタシの目的はそれだけじゃないのさ。
vo_adv_1208001_006.m4a|お守り？　そういえば神殿のお守りはご利益バッチリだって聞いたね。それも悪かないけど、アタシの目当てはまた別なのさ。
vo_adv_1208001_007.m4a|神殿には特別な御神刀が祀られていて、年に一度正月に神官がそれを使った演舞を披露するんだ。これがなかなか見応えがあるらしいから一度見ておこうと思ってね。
vo_adv_1208001_008.m4a|ギルドの連中も誘ったんだけど、みんな用事があってね。せっかく晴れ着も新調したことだしこうして一人で来たってわけさ。
vo_adv_1208001_009.m4a|そういうわけだから、お前さんさえよければ一緒にどうだい？
vo_adv_1208001_010.m4a|付き合ってくれるのかい？　ありがとね。それじゃあ早速神殿に向かおうか。いい席とりたいしさ。
vo_adv_1208001_011.m4a|うーん、始まらないねえ。もうとっくに開演時間は過ぎてるんだけど……
vo_adv_1208001_015.m4a|……なあお前さん、なんだか様子がおかしいと思わないか？舞台はもうできてるし、あとは御神刀持った神官が登場するだけだ。一体何の準備に手間取ってるんだろうね。
vo_adv_1208001_016.m4a|それにあの巫女さん、よく見りゃボロボロじゃないか。単に忙しいだけであんなふうになるのはおかしいよ。
vo_adv_1208001_017.m4a|お前さんもそう思うかい？　こいつは話を聞いた方がよさそうだ。お嬢さん、ちょっといいかい？
vo_adv_1208001_019.m4a|あー、そうじゃないんだ。なあ、一体何が起こってるんだい？アタシらでよければ相談に乗るけど？
vo_adv_1208001_021.m4a|そんな思いつめた様子で言われてもねぇ。大丈夫、こんなおめでたい格好してるけどそれなりに場数は踏んでるよ。
vo_adv_1208001_023.m4a|それに、いつまでも観客を待たせておくわけにはいかないだろ？
vo_adv_1208001_026.m4a|それってどういうことだい？
vo_adv_1208001_028.m4a|なっ、あ、悪霊……？
vo_adv_1208001_031.m4a|そ、そうか、それは大変、だね……
vo_adv_1208001_033.m4a|う、うんまあ、やぶさかではないんだけど……
vo_adv_1208001_034.m4a|お化けの類はちょっとね……
vo_adv_1208001_035.m4a|お、お前さん！
vo_adv_1208001_037.m4a|ああ、これは厄介なことになったね……
vo_adv_1208001_041.m4a|ひあぁっ！
vo_adv_1208001_043.m4a|あ、ああ……だ、大丈夫、こ、これで斬れば、いいんだな？よ、よーし、さっさと終わらせ──
vo_adv_1208001_044.m4a|ひゃああああ！　あーもう！　なんでよりによって悪霊なのさ！これが魔物だったら何の問題もないのに……
vo_adv_1208001_045.m4a|くそっ、いやらしいヤツだ！　速攻で片付けてやる！　はぁ！
vo_adv_1208001_046.m4a|ええいっ！　これで、どうだ！
vo_adv_1208001_048.m4a|まいったね……怖くてまともに敵を見られないし、逃げ腰で太刀筋もブレちまう。
vo_adv_1208001_049.m4a|こんなんじゃ一日やっても終わりゃしない。情けないったらないよ……
vo_adv_1208001_050.m4a|お前さん？　一体何を言ってるのさ。もしかして心の眼で見ろとか言うつもりかい？残念だけど今のアタシにそんな芸当は──
vo_adv_1208001_051.m4a|あ……そうか、その手があったね！それじゃあ頼りにしてるよ、お前さん。
vo_adv_1208001_053.m4a|お、目を閉じたらなんだか落ち着いてきたよ。悪霊を見ずに済んでるからね。
vo_adv_1208001_054.m4a|敵が見えなくても不思議と不安はまるでないね。なんたって、頼れる男が側にいてくれるんだからさ！
vo_adv_1208001_055.m4a|了解した！　これで終わりだぁっ！
vo_adv_1208001_058.m4a|アタシらのことはいいから、早く舞台に行きなよ。お客さんが待ってるからね。
vo_adv_1208001_062.m4a|おいおい、フラフラじゃないか。その体で演舞は難しいだろ……
vo_adv_1208001_064.m4a|え、構わないけど……アンタまさか！
vo_adv_1208001_066.m4a|ま、待っとくれよ、たしかに剣の腕に自信はあるけどあくまで実戦用、演舞なんて人様にお見せするような代物じゃないよ。
vo_adv_1208001_068.m4a|そうは言ってもねぇ……
vo_adv_1208001_069.m4a|まったく、お前さんまで……でも、アタシが悪霊を倒すのにもたついて神官さんに余計な負担をかけちまったからね。
vo_adv_1208001_070.m4a|ここで逃げるわけにはいかないね。分かった、やらせてもらうよ。
vo_adv_1208001_074.m4a|やれやれ、こういう緊張感は初めてだね。
vo_adv_1208001_077.m4a|観客が戸惑うのも無理ないね。ま、アタシはアタシの仕事をするだけさ。見ててくれよ、お前さん！
vo_adv_1208001_078.m4a|はあっ！
vo_adv_1208001_082.m4a|アタシにはお上品な演舞なんてできやしないからね。アタシ流の剣術の舞、どうやらお気に召してくれたみたいだ。
vo_adv_1208001_083.m4a|さあ、もう一段飛ばしていくよ！
vo_adv_1208001_085.m4a|アタシは好き勝手やらせてもらっただけさ。ま、それなりに形になったからよかったよ。
vo_adv_1208001_088.m4a|はは、こいつはうれしいね。でも、一つ手に入れるとなんだか他のも欲しくなるね。
vo_adv_1208001_089.m4a|用心てわけじゃないけど、なにしろ新年早々大変な目に遭っちまったわけだし。
vo_adv_1208001_090.m4a|そうだね。いっぱい福を集めておけば、なにかと心強いってもんだ。
vo_adv_1208001_091.m4a|ふふ、なんだか楽しくなってきたね。
vo_adv_1208002_000.m4a|さて、福を集めようと言ったものの、具体的にどうすりゃいいもんかね。
vo_adv_1208002_001.m4a|お守りをもっと買うってのも手なんだろうけど、それじゃ芸がないしね。
vo_adv_1208002_002.m4a|あれ？　ああ、何かのイベントみたいだな。ふーん、『羽根つきランドソル杯』ね。
vo_adv_1208002_003.m4a|優勝者には今年一番の幸福が訪れる『福人』の称号が与えられ、さらに副賞として豪華賞品も、か。
vo_adv_1208002_004.m4a|こいつは渡りに船じゃないか。飛び入り参加もありみたいだし、行くよ、お前さん！
vo_adv_1208002_005.m4a|何ぼうっとしてるんだい。こいつは二人一組での参加だろ？もちろんお前さんにも付き合ってもらうよ。
vo_adv_1208002_006.m4a|安心しな、お前さんは根性で食らいついてくれればいい。あとはアタシが全部返すからさ。
vo_adv_1208002_007.m4a|さあ、二人で福を掴み取るとしますか！
vo_adv_1208002_008.m4a|一の羽根・赤光乱舞！
vo_adv_1208002_010.m4a|まあね。正月の遊びなら負ける気がしないよ。それにお前さんもなかなかやるじゃないか。さすがアタシの見込んだ男だよ。
vo_adv_1208002_019.m4a|二の羽根・白雷疾駆！
vo_adv_1208002_034.m4a|お前さん、行ったよ！
vo_adv_1208002_036.m4a|甘いね、そらよっ！
