vo_adv_1057009_000.m4a|依頼された荷物はこれで全部になります。間違いがないか、確認してもらえますか？
vo_adv_1057009_002.m4a|ありがとうございます！
vo_adv_1057009_004.m4a|えへへ……何かあれば、また私たちを呼んでください。それじゃあまた！
vo_adv_1057009_005.m4a|んー！　今日も無事にお仕事完了！お疲れさま！
vo_adv_1057009_006.m4a|うん！　特急料金だったからちょっと大変だったけど、気に入ってもらえたみたいだし、頑張ってよかったね。
vo_adv_1057009_007.m4a|最近は私たちを指名してくれるお客さんがほとんどだけど、その分、難易度の高い依頼の相談も来るようになったし、失敗しないように気を付けないと。
vo_adv_1057009_008.m4a|街に戻ったら美味しいごはんを食べて、ゆっくり休もう！
vo_adv_1057009_009.m4a|あれ……？　あの雲……それに、気のせいかな……風が少しだけ……
vo_adv_1057009_010.m4a|ううん、やっぱりそうだ。北西の方にある雲、雨雲だね。風向きが南東だから、北に進むと雲の下を通らないといけない。少し遠回りになるけど、東に迂回しながら街に戻ってもいい？
vo_adv_1057009_011.m4a|ありがとう。いつか空を飛ぶならと思って、気候について勉強し始めたけど、これって地上でも活きる知識だよね。覚えて良かった～！
vo_adv_1057009_012.m4a|そうだね！　あなたと一緒に勉強したからかな？一人よりも誰かと覚えた方が、早く身につくみたい。
vo_adv_1057009_013.m4a|いつか空を旅する日まで、忘れずにちゃんと覚えておかないと……
vo_adv_1057009_014.m4a|えっ……？　ね、ねえ！あれって！　もしかして……！
vo_adv_1057009_015.m4a|やっぱり！　飛空艇だ……！この大陸でも、また飛ぶようになったんだね……！
vo_adv_1057009_016.m4a|どんな人たちが乗ってるんだろ……私も乗ってみたいな。
vo_adv_1057009_017.m4a|それ本当！？　え～っとえ～っと……！……ちょっと待って！　今のって聞き間違いじゃないよね……！？乗せてもらえるかもって、どういうこと……！？
vo_adv_1057009_018.m4a|……すっごくびっくりした！あなたって少し不思議だと思ってたけど、あのウィスタリア商会の人と知り合いだったんだね……！
vo_adv_1057009_019.m4a|……あのね？　もし良かったら、飛空艇に乗せてもらえないか、話をしてみてもらえないかな……？無理だって言うなら、近くで見るだけでもいいから……！　お願い！
vo_adv_1057009_020.m4a|ありがとう！　難しいお願いなのは分かってるから、『奇跡が起きますように～』って祈ってるね。
vo_adv_1057009_021.m4a|こんにちは！　もしかして、この間の話？……どう、だった……？
vo_adv_1057009_022.m4a|だけど……？
vo_adv_1057009_024.m4a|えっと、あなたは……？
vo_adv_1057009_026.m4a|あなたが！？　こ、こんにちは！
vo_adv_1057009_028.m4a|ねえ、ちょっと！いきなり責任者の人が来るなんて聞いてないよ～！
vo_adv_1057009_032.m4a|はい！　遠い道のりなのは分かってます。……それでも、いつか必ず実現してみせます。
vo_adv_1057009_036.m4a|あ、あの……それって！
vo_adv_1057009_038.m4a|もちろんです！　喜んでお引き受けします！
vo_adv_1057009_040.m4a|条件、ですか？
vo_adv_1057009_044.m4a|……断る理由がありません。よろしくお願いします！
vo_adv_1057009_046.m4a|明日……？　明日ですか！？
vo_adv_1057009_048.m4a|……はぁぁぁ～……話がいきなりすぎて、心のままに喋っちゃった……頭がまだ追いつかないよ。
vo_adv_1057009_049.m4a|お話してきてくれてありがとう。何ていうか、あっという間に凄いことが決まっちゃったな……
vo_adv_1057009_050.m4a|でもチャンスが目の前にあるなら、今の自分にできることを全力でやってみるしかないよね。
vo_adv_1057009_051.m4a|今日はお仕事もないし、明日に備えてゆっくり休もうっと。あなたも体調を整えておいてね。
vo_adv_1057009_052.m4a|明日は、二人で一緒に頑張ろう！
vo_adv_1057009_054.m4a|……はい。覚悟はもうできてます。
vo_adv_1057009_057.m4a|よ、よろしくお願いします！
vo_adv_1057009_060.m4a|望むところです！　いきます！
vo_adv_1057009_062.m4a|たあぁぁぁっ！
vo_adv_1057009_064.m4a|きゃっ！　あちゃあ、速攻失敗……
vo_adv_1057009_066.m4a|気を付けて！
vo_adv_1057009_068.m4a|もう一人は引きつけてくれる……今のうちに私が先に叩いておかないと！
vo_adv_1057009_070.m4a|そんなわけ……ありませんっ！
vo_adv_1057009_072.m4a|くっ！　はあっ！！
vo_adv_1057009_074.m4a|ここだ！
vo_adv_1057009_075.m4a|お願い！
vo_adv_1057009_078.m4a|一気に行くよ──
vo_adv_1057009_079.m4a|はあぁぁぁっ！　テンペストブレード！！
vo_adv_1057009_081.m4a|よしっ！　もう一人！
vo_adv_1057009_083.m4a|これで！　おわりですっ！
vo_adv_1057009_086.m4a|はぁ、はぁ……
vo_adv_1057009_090.m4a|……はい！　もちろんです！
vo_adv_1057009_092.m4a|……やった。やったー！やったね！　あははっ！
vo_adv_1057009_093.m4a|さっきのタイミング、ばっちりだったよ！　ありがとう！あそこを逃してたら、攻めきれなくて危なかったかも……
vo_adv_1057009_094.m4a|……これで私たち、本当に空で仕事ができるんだね。
vo_adv_1057009_095.m4a|やったよ父さん……少しずつだけど、今日もまた、父さんに近づけた気がする。
vo_adv_1057009_096.m4a|空の世界でも一緒に頑張ろうね！　二人で一緒に！
vo_adv_1057010_000.m4a|おはようございます！　今日からよろしくおねがいします！
vo_adv_1057010_002.m4a|はい！　……おはよう。今日は頑張ろうね。昨日はよく眠れた？
vo_adv_1057010_003.m4a|あはは、やっぱり？　私だけじゃなくて良かった！そうだよね。あんまり眠れないよね～……
vo_adv_1057010_004.m4a|本当に？　すごいな～！私なんて全然だったよ……えへへ。
vo_adv_1057010_005.m4a|私ね、楽しみで眠れなくなるなんて初めてだったよ。目を瞑ってたから、ちょっとは眠れたけど──
vo_adv_1057010_007.m4a|ごめんなさい。そんなつもりじゃ……
vo_adv_1057010_009.m4a|まかせてください！行こう、{player}！
vo_adv_1057010_010.m4a|よいしょっと……これで全部ですか？
vo_adv_1057010_015.m4a|……！
vo_adv_1057010_016.m4a|ねぇ見て{player}！　飛んでる！私たち、飛んでるよ！
vo_adv_1057010_020.m4a|うわぁ……これが空の景色なんだね！　すごいなぁ……！
vo_adv_1057010_021.m4a|いけない、仕事中だから集中しないと。よーし、頑張るぞー！
vo_adv_1057010_022.m4a|うん！　それじゃあ周囲の警戒、一緒によろしくね！
vo_adv_1057010_024.m4a|そっか、この先は今回の航路で一番危ない所だ。凶暴な魔物の生息域だっていわれてる山の近くを通るから、気を付けないと……
vo_adv_1057010_027.m4a|はいっ！　{player}！固まって戦おう！　背中合わせで！
vo_adv_1057010_028.m4a|ありがとう！
vo_adv_1057010_032.m4a|私たちは近づいてきた魔物を叩けばいいんですね！
vo_adv_1057010_035.m4a|いきますっ！　やあああぁぁぁっ！
vo_adv_1057010_038.m4a|大丈夫ですか！？もう一撃っ！
vo_adv_1057010_040.m4a|もう大丈夫です！　私たちがここを死守します！
vo_adv_1057010_041.m4a|こっちのトドメをお願いっ！{player}の後ろのは、私が倒すっ！！
vo_adv_1057010_042.m4a|やった！　息ピッタリだね！このまま一気にやっつけちゃおう！　てやぁっ！
vo_adv_1057010_047.m4a|はあぁぁぁっ！！
vo_adv_1057010_048.m4a|……あれ？　魔物が近づいてこなくなった……？
vo_adv_1057010_052.m4a|ふぅ……やったね、{player}！
vo_adv_1057010_053.m4a|……あれ？　なんだろう、風の感じが変わった……？
vo_adv_1057010_059.m4a|何があったんですか？
vo_adv_1057010_064.m4a|……大丈夫なのかな。
vo_adv_1057010_067.m4a|……ううん、やっぱり大丈夫じゃない。今の風の流れと、飛空艇の位置……あの航路で行こうとしたら、また魔物に襲われる可能性がある！
