vo_adv_2107001_004.m4a|オマエ──クリスティーナ！？
vo_adv_2107001_005.m4a|久しぶりだなー！　元気にしてたか？　アタシは元気だぞ！っていうかオマエ、こんなところで何やってるんだ？
vo_adv_2107001_007.m4a|うおわっと！？だからって武器を向けるな武器を！　危ないだろー！？
vo_adv_2107001_009.m4a|目当てって……もしかして、ソルオーブか！？
vo_adv_2107001_011.m4a|……目的を教えろ！悪いコトに使うつもりなら、コイツは渡さないぞ！
vo_adv_2107001_014.m4a|陛下って……それじゃオマエ、真那を牢から出す気かっ！？みんなで力をあわせて、どうにかアイツの野望を止められたってのに……させるもんか！　そんなこと！
vo_adv_2107001_016.m4a|くっ──簡単にはやられないぞ！
vo_adv_2107001_021.m4a|アタシはウマいと思うぞ……ってオイ！魔物を倒したのはアタシだっ！クリスティーナは何もしてなかっただろー！
vo_adv_2107001_024.m4a|……っ……
vo_adv_2107001_029.m4a|──あっ、その前に！オマエ、オクトーのこと見てないか？
vo_adv_2107001_031.m4a|んーっと。旅人の男で、ムチを持ってて、銀髪でー……
vo_adv_2107001_033.m4a|そうそう、そんなヤツ！　どうだ！？
vo_adv_2107001_036.m4a|……そっか。ならいいんだ。ありがとな。
vo_adv_2107001_038.m4a|そうなんだよ！アイツってばヒドいんだ！アタシに黙ってまた勝手にどっか行っちゃってさ！
vo_adv_2107001_039.m4a|……っと、その話は後回しだ。まずそっちの事情を教えろよ、クリスティーナ。アタシはバカだから、ちゃんと説明してくれないと納得できない。
vo_adv_2107001_040.m4a|ほんとにオマエは、ソルオーブを集めて……真那を、アイツを外に出すつもりなのか？
vo_adv_2107001_042.m4a|そっかー！　【トゥインクルウィッシュ】のヤツらにソルオーブ集め頼まれてたのかー！それならそうって最初に言えよなー！
vo_adv_2107001_044.m4a|そりゃあ、危なっかしいとは思うけど。でも{player}たちなら、悪いようにはしないだろ！いざとなったら、アタシも力を貸してやるしな！
vo_adv_2107001_046.m4a|ほんと、相変わらずだなオマエは……
vo_adv_2107001_048.m4a|ん……そっかぁ……
vo_adv_2107001_049.m4a|ここしばらく、ずーっと捜し回ってるんだけど、ぜんっぜん足取りがつかめなくってさ。ランドソルの北の街道沿いで何回か目撃情報があった以降は、さっぱり……
vo_adv_2107001_051.m4a|う……た、たしかに……
vo_adv_2107001_052.m4a|オクトー……どこ行っちゃったんだよ。結構、『現実』の記憶も戻ってるはずなのに。……なんでか、気づいてないってフリするし……
vo_adv_2107001_054.m4a|あっ、そうだクリスティーナ！現実のほうの記憶、オマエはちゃんと戻ったか？
vo_adv_2107001_056.m4a|だーっ！　思い出してくれよー！　前にも言ったろ！？晶の……ラビリスタのアジトでさぁ！
vo_adv_2107001_057.m4a|この世界が、夢みたいなもので……アタシたちの本当の世界が別にあるって！
