vo_adv_1067001_000.m4a|……？
vo_adv_1067001_001.m4a|こんにちは〜。何か探し物？この辺りはギャングの縄張りで、結構物騒なところだから、あんまり一人で来ない方がいいよ。
vo_adv_1067001_002.m4a|それとも、誰かを探してるのかな〜？
vo_adv_1067001_003.m4a|わぁ〜♪　すっごい偶然！ホマレって人は、ここにいま〜す☆
vo_adv_1067001_004.m4a|せいか〜い☆お手紙届けに来てくれてありがとう、配達人さん♪
vo_adv_1067001_005.m4a|じゃあ受け取りのサインを……これでよし。さてさて、これは誰からのお手紙でしょ〜？
vo_adv_1067001_006.m4a|ん〜……宛名がないね。ねえ、君は誰からだと思──
vo_adv_1067001_009.m4a|けほっ、けほっ……
vo_adv_1067001_011.m4a|ふぅ……危なかったねラーゴ。君は大丈夫？　怪我してない？一応防御魔法はかけてあげたけど。
vo_adv_1067001_012.m4a|そっか〜。無事ならよかった☆いきなり爆発したから、君もびっくりしたよね〜？
vo_adv_1067001_014.m4a|うん。ちょっとね。この子の届けてくれた手紙が爆発しちゃった。
vo_adv_1067001_016.m4a|こ～らっ。この子は無関係だから怒らないの。爆発に巻き込まれるのが分かってたら、ずっと私のそばにいるはずないよね？
vo_adv_1067001_018.m4a|そうだとしても、これ以上は怒らないこと。次に彼を責めたら私が怒っちゃうから。分かった？
vo_adv_1067001_021.m4a|う～ん……この間から敵対してるところって考えるのが手っ取り早くはあるね～
vo_adv_1067001_022.m4a|とりあえず～、確かめに行ってみよっか？
vo_adv_1067001_025.m4a|ありがと～♪　それじゃあ、お返し……しに行こ？
vo_adv_1067001_026.m4a|……
vo_adv_1067001_027.m4a|あれあれ～？　今の聞こえてなかった？
vo_adv_1067001_028.m4a|うん！　だって君はさっき、見ず知らずの悪い人たちに利用されて死にかけたんだよ～？
vo_adv_1067001_029.m4a|こういう時は～、ちゃ～んと怒らないと♪もし君がここで犯人を放っておいたら、今度は君以外の誰かが利用されちゃうかも。
vo_adv_1067001_030.m4a|たとえ私だけを狙ったものだったとしても、君が巻き込まれたのは事実だよ。
vo_adv_1067001_031.m4a|だったら今ここで、きちんと決着つけに行くのがいいと思うな～♪
vo_adv_1067001_032.m4a|あっ、そうだ～！　まだ名乗ってなかったよね？この辺りを仕切ってるギャング「ロンクーファミリー」のボス、ホマレです♪　よろしくね～☆
vo_adv_1067001_033.m4a|それとこの子はラーゴ。かわいいかわいいドラゴンです☆ラーゴ、挨拶して？
vo_adv_1067001_037.m4a|そんなに心配しなくても大丈夫だよ～っていうか、そんなに血気盛んだとこの子が怯えちゃうでしょ？こういう時でも落ち着いて、笑ってるくらいでいかないと♪
vo_adv_1067001_038.m4a|こんにちは～☆
vo_adv_1067001_040.m4a|あははっ♪分かりやすいリアクションどうもありがと～☆
vo_adv_1067001_042.m4a|はいスト～ップ♪「なんで生きてるんだ」みたいな、つまらないこと聞かないでね？
vo_adv_1067001_044.m4a|術式の完成度はそれなりだったよ～？でも威力をもう少しあげないと、私は倒せないかな☆
vo_adv_1067001_045.m4a|それにしても、あれだけの爆発魔法を仕込んでたのは、一般人を巻き込んでもいいって思ってたよね？
vo_adv_1067001_047.m4a|ひど～い！　人を魔物みたいに言わないでよ～！
vo_adv_1067001_048.m4a|……私を狙うのは百歩譲っていいとしても、配達人が巻き添えになってもいいって考えは、さすがに許せないな～☆
vo_adv_1067001_049.m4a|だってそれを受け入れちゃったら、あなたたちと同じ程度のクズになっちゃうってことだもん。
vo_adv_1067001_050.m4a|ああでも、この子みたいな真っ当に生きてる人たちからしてみれば、私たちみ～んなクズには変わりないのかな？
vo_adv_1067001_052.m4a|そうだね～……謝って♪
vo_adv_1067001_054.m4a|だから～、謝って♪　こっちから事を荒立てるつもりはないけど、一般人を巻き込んだのはさすがに見逃せないから、それについてはハッキリと詫びてほしいな～☆
vo_adv_1067001_056.m4a|ん～？　どうしてあなたが謝らないの？
vo_adv_1067001_059.m4a|……だって。ねえ君。この人をどうするか、君が決めていいよ？
vo_adv_1067001_060.m4a|誠意の表れとして今からここで、スパっと命を散らしてもらうのもよし、困った時にこき使うもよし♪
vo_adv_1067001_061.m4a|何をさせてもいいんだよ？　どうする？
vo_adv_1067001_062.m4a|ふ～ん……そっか～☆でもあっちだって何もしないわけにはいかないから、君の権利、私がもらっちゃうけど……いいよね♪
vo_adv_1067001_063.m4a|残念～！　そこの人のお詫びには何の価値もないんだって！だからもっと上の人……つまり一番偉い人に謝ってほしいって☆
vo_adv_1067001_065.m4a|あと謝罪だけじゃなくて、私たちが対立するきっかけになった縄張りも、責任をとって私に譲れって♪
vo_adv_1067001_067.m4a|下っ端の謝罪で収まりがつかないんだからしょうがないよ～ギャングの抗争に一般人を巻き込んじゃうとこんなことになるんだ～！ああ～怖い怖い！
vo_adv_1067001_069.m4a|謝らない？　それじゃあしょうがないな～ランドソル中の人に広めてあげないと。……あそこのギャングは縄張り争いに一般人を巻き込むから、すっごく危ないって。
