vo_adv_1067007_009.m4a|はいはーい！　入りたい人でーす！失礼しまーす！
vo_adv_1067007_011.m4a|はいこれ、お土産のクレープ♪
vo_adv_1067007_013.m4a|キミが食べないの！？　せっかく作ってきたのに～……
vo_adv_1067007_015.m4a|いやぁ～、そうなんだよね～……クレープのためだけだったらどれだけ良かったことか……あ、ちなみにクレープも本当の理由だから！　ここ大事！
vo_adv_1067007_016.m4a|はじめまして。【ドラゴンズネスト】のギルドマスターさん。ええっと、キミはホマレ……で合ってるよね？　アタシは──
vo_adv_1067007_018.m4a|いんや、好きに呼んでくれていいよ。他人の呼び方にケチつけられるほど人間できてないし。
vo_adv_1067007_020.m4a|今日来たのは他でもなくてさ。【レイジ・レギオン】への対応に協力してほしいんだ。
vo_adv_1067007_022.m4a|そ。あの人たち。どうかな？今のところまでで、手を貸してくれる気になってくれた？
vo_adv_1067007_024.m4a|ちぇっ、ああそうですか～……実は最近、あの人たちからいいようにやられちゃっててさ。さすがになんとかしないとマズいな～って。
vo_adv_1067007_026.m4a|……ったくどこまで見えてるんだか……そうそう、そうなの！　話が早くて助かるよ～！
vo_adv_1067007_027.m4a|ここ最近、連中の動きが活発になってる。アタシのことも味見しに来たしね。
vo_adv_1067007_028.m4a|できれば今よりもっと、ランドソルの守りを厚くしたいんだ。具体的には、街を見張るための目が必要でさ。
vo_adv_1067007_029.m4a|でもそういうのが一番得意なヤツは今、ひっ捕らえられてるから協力は求められない。
vo_adv_1067007_030.m4a|そこでキミの出番ってわけ！キミが持ってる目の力で、網を張ってほしい。というわけで、手を貸してくれない？
vo_adv_1067007_034.m4a|確かに。そうかもしれないね。キミの言うことは、もっともだ。でも……
vo_adv_1067007_035.m4a|お願いだ。どうか手を貸してほしい。少年たちが守り抜いてきた街や世界を、壊させたくないんだ。
vo_adv_1067007_048.m4a|……いやぁ、お見事だ。確かにその目、よく見えるみたいだね。単独で調べたにしては、大した情報量だよ。
vo_adv_1067007_049.m4a|ああ、単独っていうのは「こっちの世界での話」ね？
vo_adv_1067007_050.m4a|アストルムにいながらそこまでの情報を得るには、「あっちの世界」に協力者がいないと無理だもん。
vo_adv_1067007_053.m4a|へぇ……キミにもあるんだ、その目的ってヤツが。
vo_adv_1067007_055.m4a|……それだけ？
vo_adv_1067007_064.m4a|……真っ当に狂っちゃってるね、キミは。とことんまで享楽を求めたいんだ。「メメント・モリ」って言葉を送るよ。
vo_adv_1067007_066.m4a|『Seize　the　day』か……オッケー分かった。ゲームの駒と遊ぶ気はないとなると、さすがにアタシじゃどうこうできないな～……
vo_adv_1067007_067.m4a|これで最後の最後！　お願いだから協力してよ～！ねっ？　ちょっとくらいならいいでしょ～？
vo_adv_1067007_070.m4a|あれ！？　受けてくれるの？さっき断ったじゃん！
vo_adv_1067007_072.m4a|全然褒めてないから！　褒めたつもりないから！っていうか気持ちの問題だったの？最初からそっちで押せばよかったのか～……
vo_adv_1067007_075.m4a|そっか。……何はともあれ、協力してくれるならよかった。
vo_adv_1067007_076.m4a|……っていうかアタシたち、あっちで会ったことある？
vo_adv_1067007_078.m4a|わざとらしい誤魔化しどうも。とはいえアタシ、結構記憶吹っ飛んじゃってるから教えてもらっても思い出せないだろうけど。
vo_adv_1067007_080.m4a|ああうん、そういえばそうかも。とにかくだ。しばらくの間、よろしくね。
vo_adv_1067007_084.m4a|は～い。どしたの？クレープのデリバリー希望？
vo_adv_1067007_086.m4a|……了解。アタシは仲間に連絡とるから、ホマレは出撃よろしく！　じゃ！
vo_adv_1212001_000.m4a|うん……変わらないね、この街は。
vo_adv_1212001_001.m4a|まずはシズルちゃんとリノちゃんの顔を見に行って、その後は少年の様子を見に行こうかな。
vo_adv_1212001_002.m4a|おや……？
vo_adv_1212001_003.m4a|やあ少年！　何してるの？分かった、アタシに会いにきてくれたんだね？
vo_adv_1212001_004.m4a|そこはその通りとか言ってくれてもいいじゃん！……元気そうでよかった。
vo_adv_1212001_005.m4a|せっかく会ったんだし、うちの店に寄っていってよ。シズルちゃんとリノちゃんもきっと喜ぶからさ。
vo_adv_1212001_006.m4a|ささ、善は急げってな感じでレッツゴー！
vo_adv_1212001_007.m4a|シズルちゃん。リノちゃん。ただいま〜！
vo_adv_1212001_010.m4a|あれ？　してなかったっけ？まあいいや。はいこれ、お土産。
vo_adv_1212001_013.m4a|よしよし、今のうちに少年を権能で、二人の前に移動させて……♪
vo_adv_1212001_016.m4a|そしてお土産第二弾がこちらで〜す！
vo_adv_1212001_018.m4a|あるんだ。お姉ちゃんレーダー。
vo_adv_1212001_020.m4a|……リノちゃん？うれしすぎていつもよりバグっちゃってない？
vo_adv_1212001_022.m4a|ああ、よかった。普段通りだった……こほん。店番ありがとう、二人とも。今日は秘密結社はお休みにして、少年と一緒にクレープ屋さんを頑張っちゃうよ〜！
vo_adv_1212001_024.m4a|もちろん！　この店の店長はアタシだし。
vo_adv_1212001_026.m4a|ちょっとちょっと！　ひどいなあ。そこまで言うことないんじゃない？アタシのクレープは決して美味しくないわけじゃないんだよ？
vo_adv_1212001_029.m4a|な、なんだって……！？
vo_adv_1212001_030.m4a|……いやいや、アタシだって何もただフラフラしてたわけじゃないし？レシピだって改良案を考えてたし？
vo_adv_1212001_031.m4a|大丈夫。二人が心配するようなことにはならないよ。というわけで、今日は久々に全員揃って営業しちゃうよ〜！
vo_adv_1212001_034.m4a|はいそこ二人とも〜？早速少年といちゃつかないでくれるかな〜？
vo_adv_1212001_035.m4a|ああそうだ、少年。ちょっとこっち。
vo_adv_1212001_036.m4a|手伝ってもらうのは後でお願いするよ。久しぶりだし、今のうちに少年の診察をしておこうと思って。
vo_adv_1212001_037.m4a|はい、そこでじっとして〜？
vo_adv_1212001_038.m4a|……
vo_adv_1212001_039.m4a|……これは……
vo_adv_1212001_040.m4a|うん！　今のところは異常なし！……あれ？　ちょっと怒ってる？　ふざけたほうがよかった？真剣に診るのが医師としては正しいはずなんだけどなぁ〜……
vo_adv_1212001_041.m4a|その申し訳なさ、今からの手伝いに活かしてもらえると、ラビリスタさんはとっても助かるのでした。ってなわけで、アタシたちも準備開始だ！
vo_adv_1212001_042.m4a|よーし、それじゃあ今日も、みんなのためにクレープを作っていくよ！
vo_adv_1212001_045.m4a|いやぁ……こうして３人で店に立つのも、ずいぶんと久しぶりだね。
vo_adv_1212001_046.m4a|一緒に頑張ってくれるみんなのためにも、美味しいクレープを作ってみせるよ！
vo_adv_1212001_048.m4a|ちょっと待っててね〜すぐに用意するから！
vo_adv_1212001_049.m4a|よっ！　はいっ！
vo_adv_1212001_054.m4a|はい、ミックスベリーお待ちどうさま！
vo_adv_1212001_056.m4a|……ドキドキ！
vo_adv_1212001_061.m4a|ダメだったかぁ〜……切り替えよう！　次次！今日は新しい味のホイップも用意したし、ここからが勝負さ！
vo_adv_1212001_064.m4a|……良くない！　良くないんだよキミたちぃ〜！アタシの心がズタズタだし何より売り上げが〜！
vo_adv_1212001_066.m4a|……いい。今日だけはアタシにやり通させて！ここで意地を張り通せないと自分で自分を許せなくなる！
vo_adv_1212001_069.m4a|──『暖簾に腕押し』……ってああもう！なんでそっちの調子はいいんだよアタシはさぁ！
vo_adv_1212001_070.m4a|少年……今はその優しさがありがたくもあり痛くもあるよ……！　でもありがとう！おかげでまだまだ頑張れそうだよ！
vo_adv_1212001_071.m4a|ありがとうございましたー！
vo_adv_1212001_073.m4a|閉店までになんとか、前日比50％ってところまでは売り上げたね……いやぁ、やっぱりクレープって奥が深い食べ物だなぁ……
vo_adv_1212001_076.m4a|そうだね……二人の努力が無駄にならないよう、精一杯働かせていただきます……二人とも、頼もしくなったね。
vo_adv_1212001_079.m4a|人が感動的な空気を作ったのに即ぶち壊してくれてありがとう！これもまた立派になってくれた証拠かな……
vo_adv_1212001_080.m4a|少年、最後まで付き合ってくれてありがとう！少年が支えてくれたからアタシも踏ん張れたよ！
vo_adv_1212001_081.m4a|お疲れさま。片付けはアタシたちでやるから、少年は帰っていいよ。はいこれ。今日の報酬と、お土産のクレープ。みんなで食べて。
vo_adv_1212001_082.m4a|それじゃあまたね、少年。
vo_adv_1212001_085.m4a|二人ともストップ。今日はまだダメ。明日以降なら少年と遊んできていいから。
vo_adv_1212001_087.m4a|意地悪とかじゃなくて、まだ仕事の途中だから！二人は自分の仕事を放り出すようなところ、少年に見せちゃってもいいんだ？
vo_adv_1212001_090.m4a|……
vo_adv_1212001_091.m4a|……今のところは異常なし、か。
vo_adv_1212001_093.m4a|ごめん二人とも。ちょっとだけ用事を思い出したんだ。少しの間、片付けよろしく！
vo_adv_1212001_095.m4a|やっ。元気してる？
vo_adv_1212001_097.m4a|今のところはまだ何も。
vo_adv_1212001_099.m4a|その可能性がゼロじゃないから、こうして足を運んでるのさ。……これからアタシたちがどうするべきか、話し合う相手がいてくれてよかったよ。
vo_adv_1212002_000.m4a|お待ちどうさまです。こちらが抹茶あずきクリーム味です！
vo_adv_1212002_002.m4a|そしてこちらが──
vo_adv_1212002_003.m4a|っ！！
vo_adv_1212002_005.m4a|ごめんね！　すぐに新しいのを……
vo_adv_1212002_006.m4a|……シズルちゃん。リノちゃん。しばらくお店まかせたいんだけど、いいかな？
vo_adv_1212002_009.m4a|さっきまでは何ともなかったんだけどね。念のため自分で検査してくるから、まずはお客さんに新しいクレープ出してあげて。
vo_adv_1212002_012.m4a|さて……とりあえず自分自身の診察といきますか。鬼が出るか蛇が出るか……
vo_adv_1212002_013.m4a|うーん……異常なしっと。……コイツはとんでもなくおかしいな。異常のない異常か……
vo_adv_1212002_014.m4a|ここまで痕跡や変化がないとなると、アタシ本体ではなく、アタシに関連する外的要因によって誘発された事象……
vo_adv_1212002_015.m4a|もしもしフィオ〜？急で悪いんだけど、少年について確認したいことがあって……
vo_adv_1212002_017.m4a|……何があった？
vo_adv_1212002_019.m4a|隔離？　そこまでの処置が必要だったの？しかも妖精からプレイヤーへのアクセスができない……？その機能に異常はなかったはずだけどな……
vo_adv_1212002_021.m4a|もちろん。すぐに少年と接触してみる。何か分かったら情報共有するよ。
vo_adv_1212002_023.m4a|……思ったよりも良くない状況っぽいな。少年が無事だといいけど……
vo_adv_1212002_024.m4a|こんにちは〜！　誰かいませんか〜？
vo_adv_1212002_025.m4a|……誰もいない？いや、少年はいるのか。でもよかった。ちゃんと眠ってる。肉体は無事だ……
vo_adv_1212002_026.m4a|ちょっと失礼するね。
vo_adv_1212002_027.m4a|七冠の権能を、人の家に無断で入り込むのに使う日が来るとは思わなかったな……
vo_adv_1212002_028.m4a|やあ少年。よく眠ってるね。
vo_adv_1212002_029.m4a|……違うな。眠りじゃない。これはもう、そういうものじゃない。
vo_adv_1212002_030.m4a|見せてもらうよ。キミに何が起きているのか。接続開始──
vo_adv_1212002_031.m4a|──あれ？　繋がらない……そんなバカな。こうなったら、多少強引にでも繋げてやる！
vo_adv_1212002_032.m4a|──っ！
vo_adv_1212002_033.m4a|ぐぅっ！
vo_adv_1212002_034.m4a|こっちからのアクセスがまるで安定しない……！それに隔たりが大きくなってる！
vo_adv_1212002_035.m4a|このままだとマズい……！ひとまず力だけでもアタシの元に回収して──
vo_adv_1212002_036.m4a|ぐああっ！
vo_adv_1212002_037.m4a|っつぅ……しまった！少年！　少年！
vo_adv_1212002_038.m4a|ダメか……くそっ！どうしてこんなことに……
vo_adv_1212002_039.m4a|座標の捕捉は……できてない！ああもうなんでだ！　アタシのバカ！
vo_adv_1212002_040.m4a|こっちが侵食されっぱなしでいると思うなよ……？必ず全部理解してやるからな……！
vo_adv_1212002_041.m4a|ああそうだ。何がなんでも「お前」を解析してやるよ……！もう二度と、失くさせてやるもんか。
vo_adv_1212002_042.m4a|ただいまリノちゃん。シズルちゃん……
vo_adv_1212002_045.m4a|いやあごめんね！ちょっと用事が長引いちゃって！
vo_adv_1212002_046.m4a|実は二人にもう一つお願いしたいことがあってさ……
vo_adv_1212002_048.m4a|ランドソルのいろんなところと人について、調べたいことがあるんだ。そう、これは秘密結社のお仕事です！
vo_adv_1212002_051.m4a|うはぁ、濃厚な嫌味が山盛りだあ……少年のために一肌脱いでほしいと思ったんだけど、嫌ならアタシ一人で──
