vo_adv_1211002_020.m4a|完璧に模倣したはずですが。なぜぺコリーヌではないと気付いたのですか？
vo_adv_1211002_022.m4a|……なるほど。さすがは覇瞳皇帝のプリンセスナイト、と褒めておきましょうか。
vo_adv_1211002_024.m4a|ええ。彼と同様、この数日、昏睡状態が続いています。
vo_adv_1211002_027.m4a|プリンセスが目覚めないなどということは、国家におけるトップシークレット。このことがランドソルの民に知れ渡ればパニックが起きかねません。
vo_adv_1211002_028.m4a|故に、信頼できるごく一部の人間を除き、ぺコリーヌが昏睡していることは秘密にしていたのです。
vo_adv_1211002_030.m4a|だから、ですよ。ぺコリーヌが昏睡していると知れば、貴方はぺコリーヌのためにいろいろと動くでしょう？
vo_adv_1211002_032.m4a|そうすれば、【美食殿】以外のギルドのメンバーにも、ぺコリーヌが昏睡していることはいずれ伝わるでしょう。
vo_adv_1211002_033.m4a|そのギルドメンバーの誰かがうっかり、王女が昏睡していると街の人々に話してしまえば……国中が大パニックに陥る可能性があります。
vo_adv_1211002_035.m4a|もちろん、プリンセスナイトが眠ったままというのも、非常に由々しき事態です。なので、ぺコリーヌを起こす方法が分かれば貴方たちに伝えるつもりでした。
vo_adv_1211002_037.m4a|情報共有なら既にしていますよ。最も、一方的にですが。ぺコリーヌへの変装は見抜けても、貴方たちの周りに飛んでいた蝶にまでは気付かなかったようですね。
vo_adv_1211002_039.m4a|褒め言葉として受け取っておきましょう。……こちらの事情は理解しましたね？それでは、お引き取りを。
vo_adv_1211002_041.m4a|そういうわけにはいきません。今回のこの事態は七冠クラスにも手に負えないものかもしれません。結果が予想できない以上、あまりひっかきまわされては困りますから。
vo_adv_1211002_043.m4a|…………よく聞こえませんでしたが。今、なんと？
vo_adv_1212003_034.m4a|晶。人の城に入ってくる時はノックくらいしなさい。
vo_adv_1212003_036.m4a|いいですよ。
vo_adv_1212003_038.m4a|……貴方にそんなものを期待して、これまでに返ってきたためしがあるとでも？
vo_adv_1212003_040.m4a|そうでしょうね。ですから、つべこべ言わずに早く何をすればいいかを言いなさい。
vo_adv_1212003_042.m4a|……まさかあの真那が、あんな真似をするとは思いませんでした。
vo_adv_1212003_043.m4a|晶。前言を撤回します。初めて貴方からお返しをしてもらいましたね。珍しいものが見れました。
vo_adv_1212003_045.m4a|二つしかない、ではないのですね。
vo_adv_1212003_047.m4a|そうですか。出ていく前に後片付けはしてくださいね。
vo_adv_1212003_049.m4a|当たり前です。自分が選んだ騎士の問題は、自分で片付けなさい。その責任を取れるのは、貴方しかいないのですから。
vo_adv_2107003_099.m4a|本当に。手のひら返しもここまでくると、いっそ清々しいですね。
vo_adv_2107003_105.m4a|構いませんよ。ここにいる私は、本体ではありませんし……手抜きをされて、内通がバレてしまっては元も子もないでしょう？
vo_adv_2107003_108.m4a|的外れな推測と言わざるを得ませんね。現状は、単に利害が一致している関係に過ぎません。
vo_adv_2107003_118.m4a|まあ……ひとまずは、試用期間とするのが良いでしょう。書類仕事でなら、彼女は十分使える人材です。
vo_adv_2107003_120.m4a|ええ。彼女の作った帳簿には、これまで何度か目を通しました。優秀さは保証します……私ほどではありませんが。
vo_adv_2107003_125.m4a|口を滑らせがちなのと、賄賂に弱そうなのは気がかりですが……私腹を肥やす貴族たちに勝手させるよりは、クレジッタのほうがよほどマシでしょう。丁度良いストッパー役もついているようですし。
vo_adv_2107003_175.m4a|…………本当に美味しいクレープかどうかは、疑問ですがね……
vo_adv_2107005_000.m4a|…………
vo_adv_2107005_001.m4a|……ふぅ……
vo_adv_2107005_002.m4a|分身体とはいえ……あれだけクレープを食べさせられると。胸がつかえたような気持ちになりますね……
vo_adv_2107005_003.m4a|……にしても……
