vo_adv_1211001_031.m4a|誰だ、とはずいぶんご挨拶だな、キャル。
vo_adv_1211001_033.m4a|なに。未来の夫が眠りっぱなしだという噂を聞いては、さすがに放っておけんのでな。
vo_adv_1211001_035.m4a|なんだ、聞いていないのか。坊やとは結婚の約束をしているんだよ。
vo_adv_1211001_037.m4a|ほう、妬いているのか。存外、かわいいところもあるじゃないか。まあそんなことよりもだ。今日は坊やを目覚めさせる方法を試しに来た。
vo_adv_1211001_039.m4a|ああ、もちろんだとも。血沸き肉躍る戦いを坊やの近くで繰り広げれば、闘争本能が刺激されて起きるに違いない。
vo_adv_1211001_041.m4a|だが、試して損はあるまい？というわけでだ。誰か強者を連れて来い……む？
vo_adv_1211001_043.m4a|余興くらいにはなりそうなヤツがいるじゃないか。アイツで構わん、戦わせろ！
vo_adv_1211001_046.m4a|待て。それ以上、飲まれては困る。泥酔していて全力を出せませんでした、では興ざめだからな。さあ、構えろ。宴を始めようじゃないか！
vo_adv_1211001_052.m4a|キサマの方こそな、ユキ……全く、興が削がれたよ。……おい、オマエ。麦しゅわでもなんでも買いに行くがいいさ。
vo_adv_1211001_067.m4a|なれるとも。自分はアイドルだと思えば、そいつはもうアイドルだ。
vo_adv_1211001_068.m4a|それにしても、アイドルの歌で目覚めさせる……か。意外と悪くない考えかもしれんぞ？アイドルには奇跡を起こすだけの力があるからな。
vo_adv_1211001_072.m4a|そうだな。オマエたちがどういうアイドルなのか。それを端的にかわいく個性的に表したMCが必要だ。つかみは重要だぞ？　ここですべてが決まるくらいの気持ちでやれ。
vo_adv_1211001_077.m4a|ほう……
vo_adv_1211001_086.m4a|粗削りだが光るものはあったぞ、キャル。またアイドルになりたくなったら、今度はこのワタシが直々にプロデュースしてやろう。
vo_adv_1211001_098.m4a|……さて、ワタシも帰るとしよう。
vo_adv_1211001_099.m4a|退屈なことばかりのこの世界だが……坊やは数少ない例外だ。坊やは『絶対』に目覚める。なぜなら、このワタシが選んだ夫だからな。起きたら伝えろ。今度、刺激的なデートに連れていってやるとな。
vo_adv_2104098_047.m4a|…………
vo_adv_2104098_048.m4a|…………んん？
vo_adv_2104098_050.m4a|おや？おやおやおや？
