vo_adv_1162001_000.m4a|テレ女に行くつもりなんてなかった。
vo_adv_1162002_005.m4a|へっ……いいけど、ねえちゃんやるとラクショー過ぎちゃってゲームになンないからなァ……ていっ。
vo_adv_1162002_007.m4a|いや、ナシナシ。今のノーカンだから。この弦、状態悪すぎ。ちょっと店員サン呼んできて。商品管理どーなってんのつって。
vo_adv_1162002_009.m4a|あ？　上等だコラ、知れて困るような里に生まれてないわ。住民のやんちゃ係数が若干高めなだけの大らかな街だわ。
vo_adv_1162002_010.m4a|ひゃん！
vo_adv_1162002_011.m4a|びっくりした……ああ、なんだ、あんたか……
vo_adv_1162002_013.m4a|ちょ、弟。あんたなんつった今。国語の授業しっかり受けろし。ねえちゃん嫁入り前だからな？　人聞きの悪い表現気ぃ付けれ？
vo_adv_1162002_015.m4a|そういうのいいから。ほら、良い子はまず最初にちゃんと挨拶する。
vo_adv_1162003_067.m4a|あれ。なに、ちょっと手洗いつって、どこまで行ってたの。謎に時間かかってるけど。
vo_adv_1162003_068.m4a|ハ？　マリアと？
vo_adv_1162003_069.m4a|え、どゆこと。あいつまた煽りに来たの。だいじょぶ？　なんかヤなこと言われたら言いなよ？うちナシつけに行ったるから。
vo_adv_1162003_070.m4a|ふーん……なんだろな、あいつ。うちに対してはやたらガン飛ばしてくンだけど──。
vo_adv_1162003_071.m4a|──あ、いた。ほら見てみ？　冗談みたいにシブい顔してこっち睨んでるでしょ。昔ッからああなんだよ、なんでかやたら嫌われててさあ。
vo_adv_1162003_072.m4a|えー、うち何したってのよ。なんであんなメンチ切られなきゃなんないだか、超イミフだわ。
vo_adv_1162004_000.m4a|ちょー、Ａ班そっちの最終点検よろーＣ班ごめ、この廃材そっちに逃がしといてー
vo_adv_1162004_001.m4a|あれ、{player}まだ帰ってなかったんだ？何、どしたの。おつかい頼まれた子供みたいな顔してるけど。
vo_adv_1162004_002.m4a|へぇー、後夜祭ねぇ……チエルそんなことやるんだ。わざわざご苦労っすわ。
vo_adv_1162004_003.m4a|ま、あいつらしいけど。
vo_adv_1162004_004.m4a|おっけ、いいじゃん。したらコレ全部片付けたら、うちも合流するッつっといて。
