vo_adv_1163001_000.m4a|おまえ結局なにがしたいの？　と問われたら──
vo_adv_1163001_001.m4a|私は素敵なアルバムを作りたいんだ。
vo_adv_1163001_002.m4a|俗にいう青春の１ページってやつを、いっぱい集めてファイルして──
vo_adv_1163001_003.m4a|めちゃめちゃ分厚いそのアルバムを、いつでも開いて笑えるよう、心の棚に置いときたいんだ。
vo_adv_1163001_004.m4a|そうしてたとえばずーっと先の未来、おばあちゃんになった私がそのアルバムを開いたとき──
vo_adv_1163001_005.m4a|もっとああしてれば良かったなあとか、若いうちにこうしとけば良かったなあとか、そんな後悔がよぎることなく「ふふっ」と目を細められるような──
vo_adv_1163001_006.m4a|そんなキラキラした思い出を、たくさん作りたいと思ってるんだ。
vo_adv_1163001_007.m4a|一回きりの人生、つまらないじゃつまらない。
vo_adv_1163001_008.m4a|いつかかわいい孫たちに見送られて天国へ旅立つ瞬間、ベッドの上でつぶやく最期の言葉はもう決めてある。
vo_adv_1163001_009.m4a|「ああ楽しかった！」
vo_adv_1163001_010.m4a|今日、私は青春をした。
vo_adv_1163001_011.m4a|青春と書いてアイドルと読むやつをやった。
vo_adv_1163001_012.m4a|いつもステージで戦っているキラキラの歌姫と、同じ目線に立って同じ景色を見たりしたんだ。
vo_adv_1163001_013.m4a|たくさんの熱い視線や歓声を浴びて、ただ顔とスタイルがいいだけの超絶美少女は、ひととき、歌って踊れる超絶アイドルちゃんに進化した。
vo_adv_1163001_014.m4a|二人のバックコーラスを従えて臨んだぶっつけ本番の舞台は、アドリブ頼みの素人にしてはまあまあキラつけた方だと思う。
vo_adv_1163001_015.m4a|クロエ先輩はどこで練習したのか華麗なスピンターンを決めてたし、ユニ先輩はそれを真似して腰をやって、結果みんなにすごくウケてた。そして私は──
vo_adv_1163001_016.m4a|──うん、私はまあ、天才ですから？カルミナちゃんたちの見よう見まねだけども、それなりに映えてたんじゃないかなあって思う。
vo_adv_1163001_017.m4a|本当はノゾミンを前にしてちょっと緊張してたのだけど、ノリと勢いとハートの強さでちぇるんと一発乗りきってやった。
vo_adv_1163001_018.m4a|そしたらみんな、わーわー騒いでぴょんぴょん跳ねてた。控えめに言って大盛況。いい話だにゃー……完。
vo_adv_1163002_000.m4a|こんこ～ん♪失礼しまあす！テレ女のぴかぴか一年生、世界の美少女ちえるんでっす！
vo_adv_1163002_002.m4a|あら認知されてる。流石は学園のアイドル、みんな大好きなかよし部ですね！ちぇる～ん☆
vo_adv_1163002_004.m4a|えっとですね～？実は大会運営委員長のおねえさまに、ちぇる入ったご相談がありましてぇー
vo_adv_1163002_007.m4a|ええ～？　なんでですぅ～？
vo_adv_1163002_010.m4a|あれ……？ねえ{player}先輩、ひょっとしてうちらここでもあんまり歓迎されてないみたいです？
vo_adv_1163002_011.m4a|そうですよ、運営いいんちょー！アイドル界期待の新星ちえるん＆バックコーラス二名による、華麗なライブパフォーマンスをご覧になっておらんのか？
vo_adv_1163002_013.m4a|やん♪　楽しんでもらえましたあ？
vo_adv_1163002_015.m4a|いーんちょノリがいい、アッハ、良かった～！だったらチエルの計画にも乗ってくれますよね！まだまだちぇるっと青春を続けたがりましょう！
vo_adv_1163002_018.m4a|なんでなんで？　なんか問題あります？
vo_adv_1163002_020.m4a|や、違うんです違うんです。もう開催すること自体は大確定しちゃってるんで、逆に時間内でできる規模にスケールダウンして小開催です。
