vo_adv_1164001_000.m4a|続・研究レポート『世界に連なる高次よりの耳目』。
vo_adv_1164001_001.m4a|あるいは『決してサボってたわけではないユニちゃんの言い分』。
vo_adv_1164001_002.m4a|前略、聖テレサ女学院学生課担当者殿。筆者は先般、教務主任マザー・ヒルダを通じて、学院より以下の旨を要請された。
vo_adv_1164001_003.m4a|数日後に開催を控えた文武の祭典『聖学祭』において、ユニ博士は日頃の学習成果を発表されたし──との由。
vo_adv_1164001_004.m4a|言うまでもなく、当学最大の年間行事『聖学祭』には、生徒の父兄や地域住民のみならず多数の教育関係者や出資者・後援者も列席する。
vo_adv_1164001_005.m4a|それら権力者たちに対し、この聖テレサ女学院がいかに優秀な生徒を輩出する教育機関であるか示せということだろう。
vo_adv_1164001_006.m4a|端的に換言すれば、当学は見栄っ張りなのである。筆者を見下ろす教務主任マザー・ヒルダの眼鏡の奥の眼光が、「たまには役に立て、穀潰しの不良優等生が」と暗に告げていた。
vo_adv_1164001_007.m4a|これに対し、筆者の口をついて出た咄嗟の回答は「え無理」の三文字だったが、マザーはそれを容易に諒としなかった。
vo_adv_1164001_008.m4a|貴様は授業にも出ず図書館棟に籠って今日まで何をしてきた？よもや日がな一日ぐうぐう眠り散らかしていたわけではあるまいな？──彼女のランドソルスナギツネのごとき目がそう告げていた。
vo_adv_1164001_009.m4a|よって以下は、筆者にかけられた嫌疑を晴らすべく、これまでの活動経過および付随する陳情をここに記すものである。
vo_adv_1164001_010.m4a|『世界にわだかまる根源的な虚構』。
vo_adv_1164001_011.m4a|かつて筆者が取り組んだとされるその研究課題は、学会に提出するやたちまち大いに嘲笑された。
vo_adv_1164001_012.m4a|そして筆者自身は学術的仮説と誇大妄想を履きちがえた莫迦者との誹りを受け、当該研究は綺麗さっぱり「なかったこと」にされた──。
vo_adv_1164001_013.m4a|──らしい。
vo_adv_1164001_014.m4a|正直よく覚えてない。我々の脳には、精神的外傷となり得る忌まわしい記憶を都合よく忘れる防衛機能が備わっているらしいので、たぶんそれ。
vo_adv_1164001_015.m4a|というか、まあ、正直なんでもいい。とにかく筆者の身にかかる事情は、容易に言語化できるものではない。
vo_adv_1164001_016.m4a|瞼を撫でる朝の陽光が。血を躍らせる夜の高揚が。世界のあらゆる事物事象が、筆者の思考を穏やかに妨害するのである。
vo_adv_1164001_017.m4a|端的に換言すれば、考えるのめんどくさくなる。
vo_adv_1164001_018.m4a|それが筆者生来の気質に由来するものじゃねえのと言われれば、ああ、うん、もともと筆者そういうとこあるしね？と曖昧に濁さなければならないのが我ながら遺憾ではある。
vo_adv_1164001_019.m4a|本来ならば、これは筆者が何らかの認識阻害を被ったとも考えられるわけだが、案の定というか、本邦の有識者たちはその説に耳すら貸さなかった。
vo_adv_1164001_020.m4a|思考停止の誘惑に囚われない真なる識者の一人もいれば、あるいは筆者の研究も今とは異なる結果を招いたかもしれない。だが、しかし、そうはならなかった。
vo_adv_1164001_021.m4a|どうでもいい。ぼくの話なんて、どうせ誰もまともに聞きやしないんだ。
vo_adv_1164001_022.m4a|当学院の図書館棟──通称『象牙の塔』には、きわめて歴史的資料価値の高い文献や古文書が数多ある。端的に換言すれば、宝の山だ。
vo_adv_1164001_023.m4a|だが不思議なことに、いかなる学者も識者もそれらに興味を示さない。あたかも興味を示すこと自体が禁じられているかのように。
vo_adv_1164001_024.m4a|閑話休題。それらの書の中には、神話とも御伽噺ともつかない荒唐無稽な物語もあった。
vo_adv_1164001_025.m4a|例えるならそれは、別なる地平より訪れし異界人たちの活動記録であった。あるいは、そうした異界人同士の交信記録であった。
vo_adv_1164001_026.m4a|ここで筆者は、莫迦者らしく一つの馬鹿げた仮説を立ててみる。もしもそれらの荒唐無稽な冒険譚が『真理』だとした場合──。
vo_adv_1164001_027.m4a|この世界は、我々と地平を異にする高次な存在が創造したある種の箱庭であり──。
vo_adv_1164001_028.m4a|そしてここに息吹く我々もまた、そうした高次存在に連なる系譜であり──。
vo_adv_1164001_029.m4a|つまり、ぶっちゃけ換言すれば、我々は──。
vo_adv_1164001_030.m4a|我々は──あれ、なんだっけ？
vo_adv_1164001_031.m4a|まあいいや。めんどくさい。
vo_adv_1164001_032.m4a|筆者はいわゆるところのメモ魔だ。日常の中に得た学びや気付きを、大なり小なり徒然なるままに記録している。
vo_adv_1164001_033.m4a|そして我が外部記憶たりうるメモ帳の、幾ばくか破り捨てられた項の下にはこう記してある。
vo_adv_1164001_034.m4a|『惰眠を貪れ　余生を愉しめ』
vo_adv_1164001_035.m4a|『示談は成立せり　我こそは勝者』
vo_adv_1164001_036.m4a|その筆跡は、疑いなく筆者自身のものである。要領を得ない筆致は、さながら検閲逃れの暗号のようだ。
vo_adv_1164001_037.m4a|それはきっと、いつかのぼくがぼくへ遺した、賢明なる脅し──あるいは懸命なる祈りだ。
vo_adv_1164001_038.m4a|是非もなし。すでに勝利しているなら、残りの日々は消化試合だ。
vo_adv_1164001_039.m4a|遺言に従い、衆愚に倣い、欺瞞を孕んだ世界でせいぜいお気楽な余生を愉しもう。
vo_adv_1164001_040.m4a|この閉じられた箱庭の中で、いち早く自身の頬を抓ったぼくは幸いだ。夢にあって夢が夢だと気付けたのだから。
vo_adv_1164001_041.m4a|いいとも世界、折り合いをつけてやる。ぼくの学びは他へ向けよう。この長閑な明晰夢をせいぜい愉快に泳がせてもらう。
vo_adv_1164001_042.m4a|だからおまえは勝手に閉じてろ。ぼくはおまえの掌の上で、いつか夢見た青春活劇を勝手に続ける。それで文句はないんだろう？
vo_adv_1164001_043.m4a|くそったれが。
vo_adv_1164001_044.m4a|──前略、学院どの。以上の理由を以って、筆者は『聖学祭』学芸展示への論文提出を全面的に見送らせていただくものとする。
vo_adv_1164001_045.m4a|叫んだところで、どうせ誰にも届かないんだ。
vo_adv_1164001_046.m4a|追伸。むろん学院に籍を置く者の義務として、当該展示には別の形で参加させていただくのでどうか安心されたし。
vo_adv_1164001_047.m4a|新進気鋭の芸術家・ユニ博士の意欲作にご期待ください。かしこ。
vo_adv_1164001_048.m4a|ＯＫロゼッタ、世界は今日も閉じているかい？
vo_adv_1164001_049.m4a|この空のずっと向こうには何があるのだろうな？
vo_adv_1164001_050.m4a|ぼくの得た学びに、果たして意味はあったのだろうか？
vo_adv_1164001_051.m4a|なあロゼッタ、ぼくの声は届いているか？
vo_adv_1164001_053.m4a|ふむ、少々ポエムが過ぎたか……よかろう、では質問を変える。ＯＫロゼッタ、ぼくはまだ馬鹿と呼ばれているか？
vo_adv_1164001_055.m4a|真実は必ずしも幸福を担保しない──なるほど、知らぬが華ということか。
vo_adv_1164001_056.m4a|しかし君、もっと主人に対する言葉を選びたまえよ。知りたいのは要するに、ぼくの選択は正しかったのかということだ。
vo_adv_1164001_058.m4a|ああ言えばこう言う。反抗的な飼い石だ。やれやれ、いったい誰に似たのやら。
vo_adv_1164001_059.m4a|ＯＫロゼッタ、すべてを白か黒かに区分しようなどとは考えるな。そんな二元論は、魂が理系に堕ちるぞ。肝要なるはグラデーションだ。行間を愛せ、世界は曖昧でいいんだ。
vo_adv_1164001_060.m4a|端的に換言すれば、もっとぼくを甘やかそう。
vo_adv_1164001_062.m4a|いい子だ、そういう言葉を待っていた。
vo_adv_1164001_063.m4a|ＯＫロゼッタ。先ほどの戯れ言は、むろん学院に提出するべくもない。跡形もなく破棄しておいてくれたまえ。
vo_adv_1164001_064.m4a|……えっ？ところで大丈夫って何？ユニちゃん世間にどう言われてるの？
vo_adv_1164001_065.m4a|おや、誰か来たようだよロゼッタ。
vo_adv_1164001_067.m4a|ああ、{player}君か。憩いの仮眠所へようこそ、驚かせて済まないね。
vo_adv_1164001_068.m4a|ぼくはご存知、象牙の塔のユニ。こっちは喋る石のロゼッタを人型の素体に乗せてみたものだ。
vo_adv_1164001_069.m4a|いまだ試験段階ゆえ複雑な動作はさせられないが、素体にはぼくに似せた幻影テクスチャーを貼ってある。どうだ、傍目にはまるで双子の美人姉妹だろう。
vo_adv_1164001_070.m4a|そ、そうか……まったくか……いや、自分で言っておいて何だが、君の目ちょっと節穴が過ぎないかね……
vo_adv_1164001_072.m4a|まあ、人型ロゼッタの本運用は数年先になるゆえ、擬体には多少の成長見込みを加味してある。
vo_adv_1164001_073.m4a|身内にも区別がつかないほど酷似させてしまうと、クロエ君やチエル君あたりに色々悪用されかねんしな。似てそうで似てない、でもちょっと似てる絶妙なラインを狙った。
vo_adv_1164001_075.m4a|……さて、休憩という名の現実逃避は終わりだ。ロゼッタ、ぼちぼち自律運動回路の調整を始めるとしよう。
vo_adv_1164001_076.m4a|うん？　なんだね同志、その意外そうな顔は。よもやぼくがクロエ君の猛特訓から逃げて、ただ飼い石を膝枕に惰眠を貪っていたとでも？
vo_adv_1164001_078.m4a|馬鹿を言うんじゃあない。外側からはそう見えたかもしれんが、内実ぼくは回路調整のための思考実験に耽っていたのだ。
vo_adv_1164001_079.m4a|ふむ、分からんかね。ロゼッタには聖学祭でぼくの影武者をさせるつもりなのさ。
vo_adv_1164001_080.m4a|何故だと？君とて生徒会長の話は聞いていただろう、来たる『聖学祭』には我々ユニちゃんズの命運がかかっているのだ。
vo_adv_1164001_082.m4a|ゆえに、負けられない戦いがそこにはある。陸に上がったイルカよりも遅いと評判のユニ博士が、熾烈な運動競技にしゃしゃり出るわけにはゆかんのだ。
vo_adv_1164001_083.m4a|ユニちゃんズはぼくが守る！この夢のような青春活劇は、たとえどんな手を使ってでも終わらせないぞ！
vo_adv_1164001_085.m4a|よせやい、照れるぜ。さあ、君にも手伝ってもらうぞ共同研究者。
vo_adv_1164001_086.m4a|ん？　おい、どうした{player}後輩。何をきょろきょろと左右を見回している。他の誰でもない、君に協力を仰いでいるのだ共同研究者。
vo_adv_1164001_087.m4a|承知している。だから何だね。君に求めるのは知識でも技術でもない。
vo_adv_1164001_088.m4a|以前、言ったはずだぞ。君はただ傍にいてぼくの話を聞いてくれるだけでいいんだ。
vo_adv_1164001_089.m4a|ぼくの学びは、ぼくの為のものだ。元より誰かに伝える意図も野心もありはしない。
vo_adv_1164001_090.m4a|……だけどね？
vo_adv_1164001_091.m4a|もし誰か一人でも耳を傾けてくれる味方がいてくれるなら──。
vo_adv_1164001_092.m4a|ただそれだけで、ぼくの学びも報われる気がするんだよ。
vo_adv_1164001_093.m4a|感謝してる。いつもありがとう。
vo_adv_5064000_016.m4a|おお、同志{player}。数日ぶりじゃあないか、息災かね。ぼくはと言えば、クロエ君の強要する肉体労働から逃げまわる毎日だ。
vo_adv_5064000_021.m4a|おい、大変だクロエ君。せっかく降って湧いた貴重な人足が、流れるように持っていかれる。
vo_adv_5064000_024.m4a|同じくだ。ゆにん。
vo_adv_5064000_025.m4a|ああ、聖学祭を来週に控えているからな。その準備作業だ。
vo_adv_5064000_026.m4a|失敬、他校からの特別編入である君が、知る由はなかったな。
vo_adv_5064000_027.m4a|『聖学祭』。当学院最大級の年間行事さ。全校生徒が日々の学びを競い合い、それによって互いを高め合う──という趣旨のもと開催される、文武の祭典だ。
vo_adv_5064000_033.m4a|クロエ君、軽率に請け負うんじゃあない。君の班とて観覧席の設営で手一杯だろう。やむを得ん、チエル君の方はぼくがサポートに入ろう。
vo_adv_5064000_034.m4a|……うん？どうした{player}後輩、呆けたように大口を開けて。
vo_adv_5064000_037.m4a|さもありなん。古来より、功をひけらかさぬ英雄は誤解されがちなものだ。
vo_adv_5064000_038.m4a|だが我々とて国や民に望まれれば、御旗を振って先陣に立つこともやぶさかではないのだ。端的に換言すれば、やるときはやる。
vo_adv_5064000_040.m4a|やれやれ、失礼な後輩だ。クロエ君、事ここに至った経緯を語ってやるといい。
vo_adv_5064000_051.m4a|なんだと？
vo_adv_5064000_053.m4a|マザー・ヒルダ。生徒が学院の行事に精を出すよう指導するのは教員の務めなのだろうが、すまない、他を当たってはくれまいか。
vo_adv_5064000_054.m4a|ぼくらはすでに老いて久しい。年に一度の祭典に、きゃっきゃと歓声をあげる青さはもはやないのだ。
vo_adv_5064000_059.m4a|それが何かね？
vo_adv_5064000_062.m4a|ほう……？つまり、聖学祭の働き次第で、奨学金審査を良きように計らうと？
vo_adv_5064000_067.m4a|気の毒に……彼女は人付き合いを選ぶべきだな。
vo_adv_5064000_070.m4a|当然だ、それが目当てで何が悪い。そも我々は奨学金の獲得を目的として結成されたギルド、その名も高きユニちゃんズだぞ。
vo_adv_5064000_073.m4a|いかにも。我々がなかよし部と呼ばれることもあるユニちゃんズだ。娘よ、君は何ちゃんズだね。
vo_adv_5064000_077.m4a|ふむ、ぼくのメモによれば……本年度の生徒会は、とりわけ規律違反の取り締まりに注力しているな。なるほど、規律正しい我々と接点がないのは自明の理だ。
vo_adv_5064000_084.m4a|ぶ？
vo_adv_5064000_091.m4a|当然だ。廃部だの解散だのと一方的に伝えられて、はい分かりましたと快諾できる道理はない。
vo_adv_5064000_102.m4a|然り。まずは交渉からだ。クロエ君、その殺し屋のような目はまだ早い。
vo_adv_5064000_107.m4a|木っ端役人では話にならんな。生徒会諸君、責任者を出したまえ。
vo_adv_5064000_108.m4a|ぼくのメモによれば、今年度の生徒会長は──ふむ、マリア君という二年生だな。
vo_adv_5064000_111.m4a|ふむ、同じ室内でこれだけの騒ぎが起きているにも関わらず、我関せずとばかり庶務に没頭しているな。大した胆力だ。端的に換言すれば、茶でも出せ。
vo_adv_5064000_113.m4a|うん？　知っているのかね、クロエ君。
vo_adv_5064000_121.m4a|マリア生徒会長。生徒会憲章に則れば、君の黙秘権は認められないはずだ。議決を通すには当事者へ説明を果たす義務があるだろう。
vo_adv_5064000_132.m4a|おお、なるほど、これはしたり。たしかに我々は、ギルド管理協会にギルド設立の申請書を出した。だが、この学院に対して特別何らかの働きかけをした覚えはないな。
vo_adv_5064000_136.m4a|ふむ、たしかに。無い袖は振れないように、無い部活は消せない。端的に換言すれば、ユニちゃんズは永遠に不滅だ。
vo_adv_5064000_140.m4a|そも考えてみれば、仮に廃部措置を喰らったところで、看板だけ変えてまた同じようなコミュニティを作れば良いだけの話だ。そのときの名称は……そうだな、ユニちゃんズなんてどうだろうか。
vo_adv_5064000_152.m4a|まあまあ、良いではないか君たち。なかよし部が許されぬというならば、よし、今こそユニちゃんズが地獄の底からよみがえる流れだな。
vo_adv_5064000_154.m4a|ぐぬぬ、小癪な詭弁を弄しおって……
vo_adv_5064000_156.m4a|ふん、不条理な結果ばかり一方的に通告されてもな。
vo_adv_5064000_157.m4a|言ったはずだぞ生徒会長。当事者に対して、君には経緯を説明する義務がある。なぜ我々の集合行為が認められないと言うのだ。
vo_adv_5064000_164.m4a|お役所仕事ここに極まれりだ。クロエ君でさえこういうときは「や、ちょっと言いにくいんすけどー」と奥歯にものの挟まった入り方をするぐらいのかわいげがあるぞ。
vo_adv_5064000_170.m4a|では聞くが、我々が具体的に何をしたと言うのだ。ただ漠然と「風紀を乱す」などと言われても──
vo_adv_5064000_172.m4a|……今日はこのぐらいで勘弁してやる。
vo_adv_5064000_179.m4a|ちなみに、ぼくのメモには追記があった。聖テレサ女学院「正義の生徒会」を率いるシスター・マリア。鉄の意思で正義を貫くその様は「鋼の聖女」と畏怖されているらしい。
vo_adv_5064000_182.m4a|え、君たち、ぼくの完璧な理論武装そんな風に思ってたの？
